,Unnamed: 0,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드
0,0,남부동 헤이트먼데이 경산,헤이트먼데이,4.61,202,140,경북 경산시 강변동로 106-1 헤이트먼데이,"11:00 - 22:00
21:50 라스트오더",010-2601-8896,http://instagram.com/hatemonday.gyeongsan,"""월요일이 싫은 우리들의 여유로운 공간, 헤이트먼데이 입니다.""",공사중,"""{'커피가 맛있어요': '38', '디저트가 맛있어요': '32', '음료가 맛있어요': '25', '친절해요': '25', '인테리어가 멋져요': '20'}"""
1,1,중방동 아마랑뜨,아마랑뜨,4.57,117,44,경북 경산시 강변동로 150-9,11:00 - 18:00,010-8233-6247,https://www.instagram.com/amarante_cafe,"""NO INFO""",공사중,"""{'디저트가 맛있어요': '47', '인테리어가 멋져요': '30', '친절해요': '27', '커피가 맛있어요': '19', '매장이 청결해요': '17'}"""
2,2,중방동 세이버커피,세이버커피,4.91,74,44,경북 경산시 강변동로 164 2층 세이버커피,13:00 - 18:00,053-802-0802,https://blog.naver.com/savourcoffee,"""Roasters & Lab
저희 매장은 두 명의 Q-Grader가 매일 엄선한 신선한 생두를 로스팅하여 커피를 제공합니다.
원두납품 및 교육문의 053.802.0802""",공사중,"""{'커피가 맛있어요': '39', '매장이 청결해요': '24', '친절해요': '21', '뷰가 좋아요': '16', '음료가 맛있어요': '13'}"""
3,3,중앙동 허니데이,허니데이,4.81,199,145,경북 경산시 강변서로 193 1층 허니데이,NO INFO,053-814-7921,http://instagram.com/_honeyday_,"""편안한 공간이 되길 바래요
허니데이의 에스프레소 원두는
에티오피아 예가체프(Ethiopia yirgacheffe)와 과테말라 안티구아(guatemala antigua)를 블렌딩한 원두로 구운 아몬드의 고소함과 다크초콜릿의 쌉싸름함, 묵직한 바디감을 느낄 수 있어요

추천커피는 크림치즈라떼
추천음료는 크림쑥라떼 입니다""",공사중,"""{'커피가 맛있어요': '49', '디저트가 맛있어요': '39', '친절해요': '37', '인테리어가 멋져요': '30', '음료가 맛있어요': '24'}"""
4,4,서부2동 논팔로우,논팔로우,초기값,134,73,경북 경산시 강변서로 237 1층,12:00 - 22:00,0507-1303-1404,http://instagram.com/nonfollow_,"""커피와 케이크가 맛있는 채광맛집 감성 카페""",공사중,"""{'커피가 맛있어요': '66', '인테리어가 멋져요': '54', '매장이 청결해요': '46', '디저트가 맛있어요': '45'}"""
5,5,서부2동 팔롬비니,팔롬비니,초기값,96,7,경북 경산시 강변서로 243,10:30 - 22:00,070-4024-5567,NO INFO,"""2층 테라스에서 보이는 강변뷰와 잔잔한 바람에 머리결이 날리는 편안한 카페입니다.교황청 납품 커피의 진한 이탈리아 에스프레소를 경험할수있는 흔치 않는 곳으로 이벤트로 펼쳐지는 한여름밤의 테라스 와인 파티는 황홀합니다.""",공사중,"""{'커피가 맛있어요': '33', '친절해요': '31', '음료가 맛있어요': '28', '매장이 청결해요': '27'}"""
6,6,서부1동 눈꽃이피다,눈꽃이피다,4.55,95,초기값,경북 경산시 경산로 105-1 눈꽃이피다,NO INFO,010-9452-7172,NO INFO,"""사계절 눈꽃빙수전문점 입니다^^""",공사중,"""{'친절해요': '29', '가성비가 좋아요': '18', '음식이 맛있어요': '16', '특별한 메뉴가 있어요': '15', '디저트가 맛있어요': '14'}"""
7,7,서부1동 안녕고양이,안녕고양이,초기값,32,5,경북 경산시 경산로 165 우성빌딩 1층,NO INFO,0507-1349-4010,https://blog.naver.com/eunsuk5233,"""안녕하세요 안녕고양이입니다
경산 유일 고양이카페 자리하고있는 안녕고양이 카페 입니다.
뱅갈고양이전문 분양""",공사중,"""{'친절해요': '25', '동물을 배려한 환경이에요': '17', '주차하기 편해요': '15', '시설이 깔끔해요': '12'}"""
8,8,서부2동 스트로베리문,스트로베리문,초기값,163,43,경북 경산시 경산로 280 상가 B동 37호,NO INFO,0507-1427-6408,https://smartstore.naver.com/strawberrymoon1,"""* 서울에서도 택배시켜 먹는 디저트 맛집! * 모든 메뉴 는 12년 경력의 파티시에가 만들고 있습니다. *사용하 는 주요 재료 소개 - 모든 휘낭시에/케이크시트/...""",공사중,"""{'디저트가 맛있어요': '108', '특별한 메뉴가 있어요': '71', '친절해요': '66', '매장이 청결해요': '44'}"""
9,9,서부1동 가비가,가비가,4.41,24,초기값,경북 경산시 경산로13길 29-10 카페 가비가,NO INFO,0507-1346-5687,https://gaviga.modoo.at,"""저희 가비가는 직접 선별한 원두로 로스팅하여 커피를 추출합니다
더치커피 또한 선별한 원두를 블랜딩하여 내립니다.
수제 꽃차는 식용꽃을 직접 건조하여 꽃에 따라 덖는 횟수가 다르며, 효능의 도움을 주는 중점으로 작업합니다.
수제 마카롱은 직접 꼬끄를 먼저 만들어내고 필링은 좋은치즈로만 사용라며, 달지않게 만듭니다""",공사중,"""{'친절해요': '10', '디저트가 맛있어요': '7', '음료가 맛있어요': '7', '커피가 맛있어요': '5', '사진이 잘 나와요': '5'}"""
