,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,디에이,"카페,디저트",0.0,164,22,대구 북구 경진로 22-12 1층,10:00에 영업 시작,0507-1307-8519,,,,"{'커피가 맛있어요': 101, '친절해요': 96, '음료가 맛있어요': 83, '집중하기 좋아요': 75, '디저트가 맛있어요': 67, '가성비가 좋아요': 54, '매장이 청결해요': 49, '대화하기 좋아요': 49, '인테리어가 멋져요': 43, '좌석이 편해요': 23, '특별한 메뉴가 있어요': 21, '화장실이 깨끗해요': 10, '뷰가 좋아요': 9, '차분한 분위기에요': 5, '사진이 잘 나와요': 5, '아늑해요': 4, '매장이 넓어요': 4, '오래 머무르기 좋아요': 4, '메뉴 구성이 알차요': 3, '야외 공간이 멋져요': 2, '컨셉이 독특해요': 1, '혼술하기 좋아요': 1, '음식이 맛있어요': 1, '양이 많아요': 1, '음악이 좋아요': 1, '종류가 다양해요': 1}",164,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230618_155%2F16870539767030JJ5N_JPEG%2FKakaoTalk_20230618_110543541_05.jpg"""
1,카페달달 경북대점,"카페,디저트",0.0,154,41,대구 북구 대동로6길 38-2 1층 카페달달 경북대점,10:30에 영업 시작,010-5553-6552,,,,"{'디저트가 맛있어요': 81, '친절해요': 72, '인테리어가 멋져요': 55, '커피가 맛있어요': 54, '특별한 메뉴가 있어요': 42, '음료가 맛있어요': 34, '매장이 청결해요': 33, '가성비가 좋아요': 26, '사진이 잘 나와요': 23, '대화하기 좋아요': 14, '화장실이 깨끗해요': 5, '뷰가 좋아요': 5, '좌석이 편해요': 2, '주차하기 편해요': 2, '음식이 맛있어요': 1, '집중하기 좋아요': 1}",151,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221012_271%2F1665581810199dzNAJ_JPEG%2F20221011_111938.jpg"""
2,스테이블모먼트 반석점,"카페,디저트",0.0,2453,745,대구 북구 복현로8길 19-36 스테이블 모먼트,10:00에 영업 시작,0507-1498-8002,,,,"{'뷰가 좋아요': 875, '커피가 맛있어요': 774, '빵이 맛있어요': 615, '인테리어가 멋져요': 411, '음료가 맛있어요': 371, '디저트가 맛있어요': 355, '사진이 잘 나와요': 212, '좌석이 편해요': 210, '주차하기 편해요': 197, '대화하기 좋아요': 197, '친절해요': 185, '매장이 청결해요': 185, '특별한 메뉴가 있어요': 138, '화장실이 깨끗해요': 72, '가성비가 좋아요': 54, '집중하기 좋아요': 39, '매장이 넓어요': 9, '오래 머무르기 좋아요': 4, '야외 공간이 멋져요': 3, '차분한 분위기에요': 1, '컨셉이 독특해요': 1, '아늑해요': 1, '아이와 가기 좋아요': 1, '음악이 좋아요': 1}",1969,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220114_288%2F1642122679247gniOI_JPEG%2F2112FAF7-2B24-4F51-9DCA-B33D75E5D476.jpeg"""
3,코펜하겐커피 본점,갤러리카페,4.93,158,249,대구 북구 대학로13길 13 2층 코펜하겐커피,10:30에 영업 시작,010-3086-5911,,,,"{'커피가 맛있어요': 33, '인테리어가 멋져요': 29, '대화하기 좋아요': 27, '디저트가 맛있어요': 25, '친절해요': 25, '음료가 맛있어요': 21, '매장이 청결해요': 16, '컨셉이 독특해요': 15, '사진이 잘 나와요': 13, '화장실이 깨끗해요': 11, '좌석이 편해요': 9, '음식이 맛있어요': 6, '가성비가 좋아요': 4, '집중하기 좋아요': 3, '주차하기 편해요': 2, '매장이 넓어요': 1}",74,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230629_75%2F16879913445116Wnbb_JPEG%2F20230610_173300.jpg"""
4,모노리스,"카페,디저트",0.0,122,108,대구 동구 평화로 45-12 카페 모노리스,11:00에 영업 시작,010-4671-6987,,,,"{'커피가 맛있어요': 82, '인테리어가 멋져요': 55, '디저트가 맛있어요': 48, '뷰가 좋아요': 42, '친절해요': 35, '음료가 맛있어요': 33, '매장이 청결해요': 24, '사진이 잘 나와요': 18, '특별한 메뉴가 있어요': 18, '대화하기 좋아요': 14, '좌석이 편해요': 10, '가성비가 좋아요': 10, '매장이 넓어요': 7, '집중하기 좋아요': 5, '화장실이 깨끗해요': 5, '음식이 맛있어요': 2, '차분한 분위기에요': 1, '빵이 맛있어요': 1, '아늑해요': 1, '메뉴 구성이 알차요': 1, '야외 공간이 멋져요': 1, '비싼 만큼 가치있어요': 1, '오래 머무르기 좋아요': 1, '건강한 맛이에요': 1, '종류가 다양해요': 1}",120,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230624_33%2F1687604825341NMGTQ_JPEG%2FKakaoTalk_20230624_200453428_03.jpg"""
5,퍼즈스페셜티커피,베이커리,0.0,139,164,대구 북구 공항로 92 1층,11:30에 영업 시작,0507-1411-0888,,,,"{'뷰가 좋아요': 28, '커피가 맛있어요': 22, '빵이 맛있어요': 19, '주차하기 편해요': 9, '친절해요': 7, '사진이 잘 나와요': 6, '음료가 맛있어요': 5, '인테리어가 멋져요': 5, '매장이 청결해요': 5, '야외 공간이 멋져요': 2, '가성비가 좋아요': 2, '대화하기 좋아요': 2, '차분한 분위기에요': 1, '좌석이 편해요': 1, '특별한 메뉴가 있어요': 1}",52,
6,투썸플레이스 북대구IC주유소DT점,카페,4.41,1394,87,대구 북구 동북로 113,08:00에 영업 시작,0507-1367-1222,,,,"{'커피가 맛있어요': 368, '디저트가 맛있어요': 216, '뷰가 좋아요': 177, '음료가 맛있어요': 172, '매장이 청결해요': 156, '친절해요': 147, '주차하기 편해요': 144, '인테리어가 멋져요': 131, '대화하기 좋아요': 112, '좌석이 편해요': 102, '집중하기 좋아요': 76, '사진이 잘 나와요': 49, '화장실이 깨끗해요': 36, '가성비가 좋아요': 34, '특별한 메뉴가 있어요': 34, '매장이 넓어요': 3, '아늑해요': 1, '주문제작을 잘해줘요': 1}",914,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200526_244%2F1590424507510nKEeD_JPEG%2Fk9lmjmsUz8_aMRq9tWB4ILbf.jpg"""
7,스타벅스 경북대점,카페,4.56,3707,122,대구 북구 대학로 75,,1522-3232,,,,"{'커피가 맛있어요': 915, '친절해요': 555, '음료가 맛있어요': 437, '디저트가 맛있어요': 308, '매장이 청결해요': 261, '집중하기 좋아요': 238, '대화하기 좋아요': 143, '특별한 메뉴가 있어요': 104, '화장실이 깨끗해요': 88, '좌석이 편해요': 81, '인테리어가 멋져요': 64, '가성비가 좋아요': 61, '뷰가 좋아요': 47, '사진이 잘 나와요': 26, '주차하기 편해요': 23, '음악이 좋아요': 1, '오래 머무르기 좋아요': 1}",1860,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
8,프롭베이커리,베이커리,0.0,483,174,대구 북구 공항로 10-7 2층(복현동),08:00에 영업 시작,0507-1484-0891,,,,"{'빵이 맛있어요': 385, '친절해요': 210, '커피가 맛있어요': 149, '매장이 청결해요': 135, '특별한 메뉴가 있어요': 116, '인테리어가 멋져요': 92, '음료가 맛있어요': 83, '대화하기 좋아요': 56, '좌석이 편해요': 48, '가성비가 좋아요': 45, '주차하기 편해요': 30, '사진이 잘 나와요': 30, '집중하기 좋아요': 15, '디저트가 맛있어요': 8, '매장이 넓어요': 7, '뷰가 좋아요': 6, '화장실이 깨끗해요': 5, '차분한 분위기에요': 2, '종류가 다양해요': 2, '컨셉이 독특해요': 1}",478,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230404_49%2F16805960320971ybDc_JPEG%2F0.jpeg"""
9,스타벅스 대구복현DT점,카페,0.0,2187,105,대구 북구 대학로 150,,1522-3232,,,,"{'커피가 맛있어요': 1048, '친절해요': 525, '음료가 맛있어요': 484, '디저트가 맛있어요': 399, '매장이 청결해요': 394, '대화하기 좋아요': 280, '주차하기 편해요': 264, '인테리어가 멋져요': 243, '좌석이 편해요': 217, '집중하기 좋아요': 176, '화장실이 깨끗해요': 147, '특별한 메뉴가 있어요': 123, '뷰가 좋아요': 79, '가성비가 좋아요': 61, '사진이 잘 나와요': 50, '매장이 넓어요': 10, '오래 머무르기 좋아요': 4, '비싼 만큼 가치있어요': 3, '아늑해요': 1, '주문제작을 잘해줘요': 1, '음식이 빨리 나와요': 1, '음식이 맛있어요': 1, '아이와 가기 좋아요': 1, '양이 많아요': 1, '메뉴 구성이 알차요': 1}",2143,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
