,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,카페크림,"카페,디저트",0.0,181,66,대구 달서구 서당로3길 70 1층 카페크림,10:30에 영업 시작,0507-1308-4244,,,,"{'디저트가 맛있어요': 122, '친절해요': 116, '매장이 청결해요': 73, '특별한 메뉴가 있어요': 72, '커피가 맛있어요': 56, '인테리어가 멋져요': 52, '음료가 맛있어요': 49, '가성비가 좋아요': 37, '사진이 잘 나와요': 32, '대화하기 좋아요': 31, '좌석이 편해요': 29, '뷰가 좋아요': 20, '집중하기 좋아요': 12, '주차하기 편해요': 7, '화장실이 깨끗해요': 7, '선물하기 좋아요': 3, '아늑해요': 2, '주문제작을 잘해줘요': 1, '음악이 좋아요': 1, '비싼 만큼 가치있어요': 1, '매장이 넓어요': 1, '종류가 다양해요': 1}",180,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230114_34%2F1673630133246P0ON5_JPEG%2F006056E0-310A-4DB0-B933-F0A652B74728.jpeg"""
1,노다웃,카페,4.67,474,316,대구 달서구 서당로7길 64 1층 No doubt,10:00에 영업 시작,070-4158-7777,,,,"{'커피가 맛있어요': 254, '친절해요': 129, '음료가 맛있어요': 81, '매장이 청결해요': 79, '디저트가 맛있어요': 59, '인테리어가 멋져요': 52, '가성비가 좋아요': 49, '특별한 메뉴가 있어요': 45, '대화하기 좋아요': 36, '사진이 잘 나와요': 16, '집중하기 좋아요': 16, '좌석이 편해요': 10, '뷰가 좋아요': 9, '아늑해요': 3, '차분한 분위기에요': 2, '주차하기 편해요': 2, '오래 머무르기 좋아요': 2, '혼밥하기 좋아요': 1, '선물하기 좋아요': 1, '매장이 넓어요': 1, '화장실이 깨끗해요': 1, '종류가 다양해요': 1}",321,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211109_220%2F1636385260556bJlID_JPEG%2FJ7NzrNKv6GFBmFcd-9IQhWXh.jpeg.jpg"""
2,핸즈커피 호산점,카페,4.52,1837,388,대구 달서구 호산동로 148,07:30에 영업 시작,053-585-1607,,,,"{'커피가 맛있어요': 405, '디저트가 맛있어요': 221, '인테리어가 멋져요': 207, '매장이 청결해요': 166, '음료가 맛있어요': 165, '대화하기 좋아요': 140, '친절해요': 126, '주차하기 편해요': 119, '좌석이 편해요': 105, '화장실이 깨끗해요': 76, '집중하기 좋아요': 52, '뷰가 좋아요': 47, '특별한 메뉴가 있어요': 44, '사진이 잘 나와요': 43, '가성비가 좋아요': 28, '매장이 넓어요': 4}",782,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200708_5%2F1594137113646lpmA3_JPEG%2Fg8BnTqR2Zri1JDrXSLH2Jy2W.jpg"""
3,카페얀,"카페,디저트",0.0,335,104,대구 달서구 달서대로109안길 16,09:30에 영업 시작,,,,,"{'커피가 맛있어요': 158, '디저트가 맛있어요': 147, '음료가 맛있어요': 107, '주차하기 편해요': 107, '인테리어가 멋져요': 105, '매장이 청결해요': 79, '대화하기 좋아요': 76, '뷰가 좋아요': 57, '친절해요': 52, '특별한 메뉴가 있어요': 50, '가성비가 좋아요': 44, '사진이 잘 나와요': 43, '좌석이 편해요': 41, '집중하기 좋아요': 37, '화장실이 깨끗해요': 27, '매장이 넓어요': 6, '음악이 좋아요': 2, '오래 머무르기 좋아요': 2, '빵이 맛있어요': 1, '단체모임 하기 좋아요': 1}",327,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230412_10%2F1681264503364LS063_JPEG%2FIMG_1412.jpeg"""
4,스테인드글라스,"카페,디저트",0.0,55,105,"대구 달서구 서당로9길 51 2층, 카페 스테인드글라스 (stained glass)",12:00에 영업 시작,010-3146-1149,,,,"{'커피가 맛있어요': 29, '인테리어가 멋져요': 29, '디저트가 맛있어요': 23, '친절해요': 17, '대화하기 좋아요': 12, '음료가 맛있어요': 10, '사진이 잘 나와요': 8, '뷰가 좋아요': 7, '특별한 메뉴가 있어요': 4, '매장이 청결해요': 4, '좌석이 편해요': 3, '집중하기 좋아요': 3, '화장실이 깨끗해요': 2, '가성비가 좋아요': 1}",55,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230901_89%2F1693549625948Us8eY_JPEG%2F1671191215418.jpg"""
5,카페 오마이데이즈,"카페,디저트",4.69,274,171,대구 달서구 신당로 2 계명아트센터 건너편,10:00에 영업 시작,010-7963-5232,,,,"{'디저트가 맛있어요': 94, '음료가 맛있어요': 64, '친절해요': 62, '커피가 맛있어요': 57, '매장이 청결해요': 43, '인테리어가 멋져요': 31, '대화하기 좋아요': 25, '뷰가 좋아요': 16, '특별한 메뉴가 있어요': 15, '화장실이 깨끗해요': 13, '좌석이 편해요': 12, '가성비가 좋아요': 12, '집중하기 좋아요': 12, '사진이 잘 나와요': 9, '주차하기 편해요': 2}",176,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210102_204%2F1609517394337v3B5q_JPEG%2FnVGgIpM3r718YjQM10HhLvNv.jpeg.jpg"""
6,봉하빵,베이커리,4.58,142,32,대구 달서구 성서서로69길 65,06:00에 영업 시작,,,,,"{'빵이 맛있어요': 73, '가성비가 좋아요': 55, '친절해요': 25, '특별한 메뉴가 있어요': 12, '매장이 청결해요': 9, '커피가 맛있어요': 2, '음료가 맛있어요': 2, '주차하기 편해요': 2, '대화하기 좋아요': 2, '좌석이 편해요': 1, '집중하기 좋아요': 1, '화장실이 깨끗해요': 1}",113,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200329_53%2F1585442993832g9rEx_JPEG%2FV59LHT0kYVIY48ZhixeiIptB.jpg"""
7,우즈베이커리 성서점,베이커리,4.42,2000,230,대구 달서구 달서대로 573 코스텍타워 1층 우즈베이커리 성서점,07:30에 영업 시작,053-262-2089,,,,"{'빵이 맛있어요': 1057, '커피가 맛있어요': 555, '주차하기 편해요': 394, '매장이 청결해요': 338, '좌석이 편해요': 297, '음료가 맛있어요': 290, '친절해요': 268, '대화하기 좋아요': 247, '인테리어가 멋져요': 222, '특별한 메뉴가 있어요': 140, '화장실이 깨끗해요': 84, '집중하기 좋아요': 79, '가성비가 좋아요': 69, '사진이 잘 나와요': 44, '뷰가 좋아요': 44, '디저트가 맛있어요': 2, '매장이 넓어요': 2, '차분한 분위기에요': 1, '아이와 가기 좋아요': 1, '종류가 다양해요': 1}",1800,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210704_75%2F16253983324590XAO8_JPEG%2FMcZmGeeB28wC0QbIDud9r2oX.jpg"""
8,두쇠르,"카페,디저트",0.0,122,69,대구 달서구 계대동문로3안길 34 1층,12:00에 영업 시작,0507-1496-0402,,,,"{'디저트가 맛있어요': 53, '친절해요': 32, '커피가 맛있어요': 25, '음료가 맛있어요': 17, '대화하기 좋아요': 16, '매장이 청결해요': 14, '특별한 메뉴가 있어요': 10, '집중하기 좋아요': 7, '인테리어가 멋져요': 6, '사진이 잘 나와요': 4, '가성비가 좋아요': 4, '뷰가 좋아요': 4, '화장실이 깨끗해요': 3, '주차하기 편해요': 2, '좌석이 편해요': 1}",75,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221020_186%2F1666276649186QU7zC_JPEG%2F0C85F9F6-3F16-400C-8D0C-2C77B3C7C4D7.jpeg"""
9,스타벅스 대구계명대점,카페,4.49,3892,92,대구 달서구 계대동문로 13,,1522-3232,,,,"{'커피가 맛있어요': 957, '음료가 맛있어요': 468, '친절해요': 465, '디저트가 맛있어요': 314, '매장이 청결해요': 232, '집중하기 좋아요': 177, '대화하기 좋아요': 170, '특별한 메뉴가 있어요': 114, '좌석이 편해요': 109, '가성비가 좋아요': 63, '인테리어가 멋져요': 60, '화장실이 깨끗해요': 57, '뷰가 좋아요': 44, '사진이 잘 나와요': 40, '주차하기 편해요': 25, '아늑해요': 2, '비싼 만큼 가치있어요': 2, '매장이 넓어요': 2, '차분한 분위기에요': 1}",1914,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
