,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,카페 몰리스,"카페,디저트",4.69,774,260,대구 달서구 야외음악당로39동길 32 1층 카페몰리스,10:00에 영업 시작,0507-1473-5081,,,,"{'커피가 맛있어요': 217, '디저트가 맛있어요': 172, '인테리어가 멋져요': 127, '음료가 맛있어요': 118, '친절해요': 113, '매장이 청결해요': 111, '좌석이 편해요': 97, '대화하기 좋아요': 80, '집중하기 좋아요': 69, '사진이 잘 나와요': 66, '주차하기 편해요': 51, '가성비가 좋아요': 33, '특별한 메뉴가 있어요': 19, '뷰가 좋아요': 16, '화장실이 깨끗해요': 13, '차분한 분위기에요': 1, '아이와 가기 좋아요': 1, '매장이 넓어요': 1, '오래 머무르기 좋아요': 1}",468,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220624_177%2F1656059192724Ibznb_JPEG%2FKakaoTalk_20210929_110837777.jpg"""
1,스테이어,"카페,디저트",0.0,251,123,대구 달서구 달구벌대로 1726-17,11:30에 영업 시작,0507-1336-3981,,,,"{'디저트가 맛있어요': 134, '커피가 맛있어요': 113, '친절해요': 99, '인테리어가 멋져요': 74, '매장이 청결해요': 71, '음료가 맛있어요': 64, '사진이 잘 나와요': 51, '대화하기 좋아요': 42, '특별한 메뉴가 있어요': 32, '화장실이 깨끗해요': 27, '가성비가 좋아요': 21, '좌석이 편해요': 20, '집중하기 좋아요': 15, '뷰가 좋아요': 13, '주차하기 편해요': 6, '빵이 맛있어요': 3, '매장이 넓어요': 2, '포장이 깔끔해요': 1}",248,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211103_151%2F1635931065554hY2kC_JPEG%2FmPmTRWOZPs6wBABjN-7Z3N6-.jpg"""
2,허니넛,"카페,디저트",0.0,425,258,대구 달서구 야외음악당로39서길 25 1층,11:40에 영업 시작,0507-1335-2911,,,,"{'디저트가 맛있어요': 348, '커피가 맛있어요': 209, '친절해요': 205, '음료가 맛있어요': 185, '매장이 청결해요': 128, '인테리어가 멋져요': 126, '특별한 메뉴가 있어요': 124, '선물하기 좋아요': 123, '사진이 잘 나와요': 103, '포장이 깔끔해요': 92, '가성비가 좋아요': 84, '대화하기 좋아요': 61, '집중하기 좋아요': 16, '매장이 넓어요': 13, '화장실이 깨끗해요': 12, '아늑해요': 6, '음식이 맛있어요': 3, '빵이 맛있어요': 2, '주문제작을 잘해줘요': 2, '종류가 다양해요': 2, '차분한 분위기에요': 1}",424,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220506_282%2F1651801331510s17PE_JPEG%2F48F1FF55-57E1-494A-9796-F9D5A9E0EE10.jpeg"""
3,플러시커피스탠드,"카페,디저트",4.6,452,175,대구 달서구 야외음악당로39안길 7-1 1층,11:30에 영업 시작,0507-1473-1583,,,,"{'커피가 맛있어요': 257, '친절해요': 136, '인테리어가 멋져요': 109, '음료가 맛있어요': 100, '디저트가 맛있어요': 75, '대화하기 좋아요': 69, '매장이 청결해요': 68, '특별한 메뉴가 있어요': 58, '사진이 잘 나와요': 55, '집중하기 좋아요': 22, '좌석이 편해요': 19, '가성비가 좋아요': 18, '화장실이 깨끗해요': 14, '뷰가 좋아요': 9, '음악이 좋아요': 3, '주차하기 편해요': 3, '아늑해요': 2, '차분한 분위기에요': 1}",407,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231027_270%2F1698387310770FoFJq_JPEG%2F%25C8%25A3%25B5%25CE.jpg"""
4,스타벅스 대구광장점,카페,4.51,4442,89,대구 달서구 달구벌대로 1710,,1522-3232,,,,"{'커피가 맛있어요': 1130, '음료가 맛있어요': 537, '친절해요': 533, '디저트가 맛있어요': 366, '매장이 청결해요': 354, '대화하기 좋아요': 305, '좌석이 편해요': 195, '집중하기 좋아요': 186, '인테리어가 멋져요': 146, '화장실이 깨끗해요': 129, '특별한 메뉴가 있어요': 111, '가성비가 좋아요': 105, '사진이 잘 나와요': 43, '뷰가 좋아요': 34, '주차하기 편해요': 28, '매장이 넓어요': 4, '음식이 빨리 나와요': 3, '오래 머무르기 좋아요': 3, '메뉴 구성이 알차요': 2, '포장이 깔끔해요': 2, '차분한 분위기에요': 1, '종류가 다양해요': 1}",2495,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
5,엔제리너스 대구광장점,카페,4.5,1838,66,대구 달서구 달구벌대로 1706,연중무휴,0507-1474-8502,,,,"{'커피가 맛있어요': 398, '집중하기 좋아요': 354, '디저트가 맛있어요': 203, '음료가 맛있어요': 203, '친절해요': 180, '좌석이 편해요': 173, '매장이 청결해요': 149, '대화하기 좋아요': 144, '특별한 메뉴가 있어요': 72, '가성비가 좋아요': 65, '인테리어가 멋져요': 61, '화장실이 깨끗해요': 48, '뷰가 좋아요': 45, '주차하기 편해요': 30, '사진이 잘 나와요': 16, '매장이 넓어요': 4, '음식이 맛있어요': 1}",1251,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220905_13%2F16623678242693JsIs_JPEG%2F%25BF%25A3%25C1%25A9%25B7%25CE%25B0%25ED1.jpg"""
6,일하,"카페,디저트",4.61,278,130,대구 달서구 당산로40길 46,08:00에 영업 시작,010-3113-8880,,,,"{'커피가 맛있어요': 48, '디저트가 맛있어요': 48, '음료가 맛있어요': 24, '매장이 청결해요': 22, '특별한 메뉴가 있어요': 18, '인테리어가 멋져요': 17, '친절해요': 16, '가성비가 좋아요': 14, '대화하기 좋아요': 14, '좌석이 편해요': 7, '화장실이 깨끗해요': 6, '사진이 잘 나와요': 5, '집중하기 좋아요': 3, '뷰가 좋아요': 1}",124,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211126_96%2F1637889314123UmkJG_JPEG%2FB5A54068-C408-4405-BC81-F4A0BD4809F1.jpeg"""
7,파스쿠찌 칠호광장점,카페,4.38,1524,39,대구 달서구 달구벌대로 1696,08:00에 영업 시작,053-624-8497,,,,"{'커피가 맛있어요': 559, '음료가 맛있어요': 199, '디저트가 맛있어요': 183, '친절해요': 155, '대화하기 좋아요': 146, '매장이 청결해요': 129, '좌석이 편해요': 86, '주차하기 편해요': 70, '인테리어가 멋져요': 63, '화장실이 깨끗해요': 58, '집중하기 좋아요': 54, '특별한 메뉴가 있어요': 39, '가성비가 좋아요': 28, '뷰가 좋아요': 25, '사진이 잘 나와요': 17, '매장이 넓어요': 3, '아이와 가기 좋아요': 1, '양이 많아요': 1, '단체모임 하기 좋아요': 1, '종류가 다양해요': 1}",1041,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211030_96%2F1635568335850DT1bW_JPEG%2Fm0TnxfjNKj00_so-axlF0JF0.jpeg.jpg"""
8,이씨점빵,베이커리,4.65,119,74,대구 달서구 달구벌대로344길 48,05:00에 영업 종료,053-622-3135,,,,"{'가성비가 좋아요': 15, '친절해요': 12, '대화하기 좋아요': 11, '인테리어가 멋져요': 9, '매장이 청결해요': 9, '빵이 맛있어요': 8, '특별한 메뉴가 있어요': 8, '좌석이 편해요': 5, '뷰가 좋아요': 3, '음료가 맛있어요': 2, '집중하기 좋아요': 2, '화장실이 깨끗해요': 2, '커피가 맛있어요': 1, '단체모임 하기 좋아요': 1}",58,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200326_127%2F1585229160212Aeui6_JPEG%2FsVdKquRhpWnURycAIEsU8zsk.jpeg.jpg"""
9,도롱도롱,아이스크림,0.0,1125,55,대구 달서구 야외음악당로39길 62 1층 21호,12:00에 영업 시작,0507-1497-3431,,,,"{'디저트가 맛있어요': 867, '친절해요': 772, '매장이 청결해요': 587, '메뉴 구성이 알차요': 373, '특별한 메뉴가 있어요': 346, '음식이 빨리 나와요': 315, '가성비가 좋아요': 301, '인테리어가 멋져요': 187, '아이와 가기 좋아요': 134, '사진이 잘 나와요': 124, '비싼 만큼 가치있어요': 97, '대화하기 좋아요': 46, '음식이 맛있어요': 22, '종류가 다양해요': 18, '뷰가 좋아요': 17, '주차하기 편해요': 15, '양이 많아요': 11, '집중하기 좋아요': 11, '아늑해요': 10, '차분한 분위기에요': 7, '포장이 깔끔해요': 3, '반려동물과 가기 좋아요': 3, '재료가 신선해요': 2, '건강한 맛이에요': 2, '좌석이 편해요': 1, '룸이 잘 되어있어요': 1, '특별한 날 가기 좋아요': 1}",1124,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230701_122%2F1688200400411bYtt4_JPEG%2FIMG_8019.jpeg"""
