,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,프롭베이커리,베이커리,0.0,483,174,대구 북구 공항로 10-7 2층(복현동),08:00에 영업 시작,0507-1484-0891,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230404_49%2F16805960320971ybDc_JPEG%2F0.jpeg"""
1,스톡홀름샐러드 S,브런치카페,0.0,20,16,대구 북구 경진로1길 37 1층 스톡홀름샐러드 S,매주 금요일 휴무,0507-1314-7860,,,,"{'특별한 메뉴가 있어요': 12, '커피가 맛있어요': 10, '인테리어가 멋져요': 10, '가성비가 좋아요': 10, '친절해요': 9, '음료가 맛있어요': 7, '매장이 청결해요': 5, '디저트가 맛있어요': 4, '사진이 잘 나와요': 4, '대화하기 좋아요': 3, '음식이 맛있어요': 2, '매장이 넓어요': 2, '집중하기 좋아요': 2, '건강한 맛이에요': 2, '재료가 신선해요': 1, '메뉴 구성이 알차요': 1, '단체모임 하기 좋아요': 1, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}",20,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230804_291%2F1691138496082Mi1E5_JPEG%2FKakaoTalk_20230804_172356485.jpg"""
2,스타벅스 대구복현DT점,카페,0.0,2187,105,대구 북구 대학로 150,,1522-3232,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
3,블라인드멜론 북문점,"카페,디저트",4.65,515,142,"대구 북구 대학로 111 1층, 2층 블라인드멜론 북문점",10:00에 영업 시작,0507-1306-9071,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180626_145%2F15299886427931aqMv_PNG%2FJz7COGGcd-M7MgGhhtoZ5DRa.png"""
4,커피장인 경대북문점,카페,4.79,714,198,대구 북구 대동로10길 17-2 커피장인 경대북문점,10:30에 영업 시작,0507-1448-2101,,,,"{'커피가 맛있어요': 394, '친절해요': 224, '음료가 맛있어요': 194, '디저트가 맛있어요': 159, '가성비가 좋아요': 156, '대화하기 좋아요': 104, '매장이 청결해요': 85, '특별한 메뉴가 있어요': 71, '집중하기 좋아요': 70, '인테리어가 멋져요': 64, '좌석이 편해요': 46, '사진이 잘 나와요': 14, '화장실이 깨끗해요': 13, '뷰가 좋아요': 7, '음악이 좋아요': 6, '차분한 분위기에요': 4, '아늑해요': 3, '주차하기 편해요': 3, '야외 공간이 멋져요': 1, '포장이 깔끔해요': 1, '종류가 다양해요': 1}",507,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231014_180%2F1697261302583YVtA6_PNG%2FIMG_4197.png"""
5,디에이,"카페,디저트",0.0,164,22,대구 북구 경진로 22-12 1층,10:00에 영업 시작,0507-1307-8519,,,,"{'커피가 맛있어요': 101, '친절해요': 96, '음료가 맛있어요': 83, '집중하기 좋아요': 75, '디저트가 맛있어요': 67, '가성비가 좋아요': 54, '매장이 청결해요': 49, '대화하기 좋아요': 49, '인테리어가 멋져요': 43, '좌석이 편해요': 23, '특별한 메뉴가 있어요': 21, '화장실이 깨끗해요': 10, '뷰가 좋아요': 9, '차분한 분위기에요': 5, '사진이 잘 나와요': 5, '아늑해요': 4, '매장이 넓어요': 4, '오래 머무르기 좋아요': 4, '메뉴 구성이 알차요': 3, '야외 공간이 멋져요': 2, '컨셉이 독특해요': 1, '혼술하기 좋아요': 1, '음식이 맛있어요': 1, '양이 많아요': 1, '음악이 좋아요': 1, '종류가 다양해요': 1}",164,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230618_155%2F16870539767030JJ5N_JPEG%2FKakaoTalk_20230618_110543541_05.jpg"""
6,루트커피,"카페,디저트",4.67,1171,58,대구 북구 대학로 107 1-3층,10:00에 영업 시작,053-955-5999,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190618_129%2F1560850982788gv9Ro_JPEG%2FOKvabcnsNyUVWshnvw3Wbxb0.jpg"""
7,빵끗,"카페,디저트",4.91,284,64,대구 북구 대동로 49 1층 빵끗,12:00에 영업 시작,0507-1317-2683,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190605_224%2F1559661958631v46DE_JPEG%2Fy4W6SeMk_UBwcgta_vaZL91h.jpeg.jpg"""
8,어썸브루커피,카페,4.72,196,121,대구 북구 대학로23길 9 1층,10:00에 영업 시작,053-939-0512,,,,"{'커피가 맛있어요': 81, '친절해요': 62, '디저트가 맛있어요': 52, '음료가 맛있어요': 51, '매장이 청결해요': 30, '대화하기 좋아요': 26, '가성비가 좋아요': 25, '인테리어가 멋져요': 24, '좌석이 편해요': 12, '특별한 메뉴가 있어요': 12, '집중하기 좋아요': 12, '사진이 잘 나와요': 8, '화장실이 깨끗해요': 7, '차분한 분위기에요': 2, '뷰가 좋아요': 2, '메뉴 구성이 알차요': 1, '야외 공간이 멋져요': 1, '주차하기 편해요': 1}",136,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210302_256%2F1614688901962e9eS5_JPEG%2FmDMxlZjFBLb8tCYzUGwHamg8.jpeg.jpg"""
9,샐러브,"카페,디저트",0.0,24,14,대구 북구 동북로 197 1층,10:00에 영업 시작,0507-1362-0991,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230727_215%2F1690424031746sv16y_JPEG%2F1690421872105.jpg"""
