,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,별빛담아,케이크전문,0.0,17,353,대구 남구 안지랑로5길 10-1 별빛담아,09:00에 영업 시작,0507-1407-3421,,,,"{'특별한 메뉴가 있어요': 7, '선물하기 좋아요': 6, '친절해요': 6, '디저트가 맛있어요': 5, '매장이 청결해요': 3, '주차하기 편해요': 2, '커피가 맛있어요': 1, '주문제작을 잘해줘요': 1, '음식이 맛있어요': 1, '인테리어가 멋져요': 1, '사진이 잘 나와요': 1, '가성비가 좋아요': 1}",11,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221219_167%2F1671420381242LYMdc_JPEG%2FKakaoTalk_20221217_144544207.jpg"""
1,민스크,카페,4.39,1396,675,대구 남구 현충로6길 9-2,11:00에 영업 시작,053-656-6292,,,,"{'커피가 맛있어요': 436, '인테리어가 멋져요': 300, '디저트가 맛있어요': 241, '주차하기 편해요': 236, '음료가 맛있어요': 224, '뷰가 좋아요': 181, '대화하기 좋아요': 163, '매장이 청결해요': 149, '친절해요': 136, '사진이 잘 나와요': 114, '특별한 메뉴가 있어요': 75, '좌석이 편해요': 63, '화장실이 깨끗해요': 39, '가성비가 좋아요': 31, '집중하기 좋아요': 24, '매장이 넓어요': 5, '야외 공간이 멋져요': 3, '컨셉이 독특해요': 2, '차분한 분위기에요': 1, '비싼 만큼 가치있어요': 1, '단체모임 하기 좋아요': 1}",954,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200218_11%2F15820174470467G7a6_JPEG%2FsH1Nn2zjcJ0aXIQkXOeYhbX6.jpg"""
2,브리에브레드,베이커리,0.0,47,84,대구 남구 현충로7길 7 브리에브레드,09:00에 영업 시작,0507-1355-5421,,,,"{'빵이 맛있어요': 42, '인테리어가 멋져요': 31, '친절해요': 20, '커피가 맛있어요': 18, '사진이 잘 나와요': 16, '특별한 메뉴가 있어요': 16, '매장이 청결해요': 11, '음료가 맛있어요': 4, '대화하기 좋아요': 3, '가성비가 좋아요': 2, '화장실이 깨끗해요': 2, '차분한 분위기에요': 1, '아늑해요': 1, '뷰가 좋아요': 1}",45,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231001_86%2F1696146108886D30gM_JPEG%2FKakaoTalk_20230930_173838508_03.jpg"""
3,아눅 앞산,베이커리,4.51,2936,2049,대구 남구 앞산순환로 459 아눅 앞산,10:00에 영업 시작,0507-1422-1060,,,,"{'커피가 맛있어요': 984, '빵이 맛있어요': 918, '뷰가 좋아요': 917, '인테리어가 멋져요': 787, '친절해요': 433, '음료가 맛있어요': 401, '사진이 잘 나와요': 397, '특별한 메뉴가 있어요': 357, '매장이 청결해요': 314, '대화하기 좋아요': 265, '음식이 맛있어요': 245, '매장이 넓어요': 124, '디저트가 맛있어요': 114, '주차하기 편해요': 97, '화장실이 깨끗해요': 84, '재료가 신선해요': 67, '가성비가 좋아요': 57, '좌석이 편해요': 45, '집중하기 좋아요': 36, '특별한 날 가기 좋아요': 32, '양이 많아요': 14, '단체모임 하기 좋아요': 13, '야외 공간이 멋져요': 9, '아늑해요': 6, '혼밥하기 좋아요': 4, '건강한 맛이에요': 4, '오래 머무르기 좋아요': 3, '아이와 가기 좋아요': 2, '메뉴 구성이 알차요': 2, '종류가 다양해요': 2, '차분한 분위기에요': 1, '컨셉이 독특해요': 1}",2262,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220913_2%2F1663037598799HC44M_JPEG%2FKakaoTalk_20220913_115245058.jpg"""
4,크래프터,"카페,디저트",4.53,963,634,대구 남구 현충로 41-3,12:00에 영업 시작,0507-1392-4525,,,,"{'디저트가 맛있어요': 617, '커피가 맛있어요': 473, '인테리어가 멋져요': 261, '친절해요': 202, '음료가 맛있어요': 200, '특별한 메뉴가 있어요': 153, '사진이 잘 나와요': 112, '매장이 청결해요': 105, '대화하기 좋아요': 86, '뷰가 좋아요': 45, '화장실이 깨끗해요': 24, '가성비가 좋아요': 14, '좌석이 편해요': 11, '주차하기 편해요': 10, '집중하기 좋아요': 8, '아늑해요': 7, '종류가 다양해요': 4, '음식이 빨리 나와요': 2, '음식이 맛있어요': 2, '선물하기 좋아요': 2, '차분한 분위기에요': 1, '음악이 좋아요': 1}",768,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220920_286%2F1663601216408G2hxX_JPEG%2F7B075C0C-15FD-4F30-B74B-EB8D20E7E319.jpeg"""
5,리을커피,카페,4.99,263,93,대구 남구 큰골5길 17 1층,11:00에 영업 시작,0507-1394-0725,,,,"{'커피가 맛있어요': 173, '디저트가 맛있어요': 161, '친절해요': 146, '인테리어가 멋져요': 105, '음료가 맛있어요': 100, '매장이 청결해요': 78, '대화하기 좋아요': 50, '특별한 메뉴가 있어요': 41, '사진이 잘 나와요': 38, '가성비가 좋아요': 34, '집중하기 좋아요': 25, '좌석이 편해요': 12, '뷰가 좋아요': 8, '화장실이 깨끗해요': 6, '빵이 맛있어요': 4, '아늑해요': 4, '주차하기 편해요': 3, '포장이 깔끔해요': 2, '차분한 분위기에요': 1, '음식이 맛있어요': 1, '선물하기 좋아요': 1, '아이와 가기 좋아요': 1, '반려동물과 가기 좋아요': 1, '오래 머무르기 좋아요': 1}",240,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231012_222%2F1697086963804Fs34k_JPEG%2FIMG_3208.jpeg"""
6,민스크,카페,4.39,1396,675,대구 남구 현충로6길 9-2,11:00에 영업 시작,053-656-6292,,,,"{'커피가 맛있어요': 436, '인테리어가 멋져요': 300, '디저트가 맛있어요': 241, '주차하기 편해요': 236, '음료가 맛있어요': 224, '뷰가 좋아요': 181, '대화하기 좋아요': 163, '매장이 청결해요': 149, '친절해요': 136, '사진이 잘 나와요': 114, '특별한 메뉴가 있어요': 75, '좌석이 편해요': 63, '화장실이 깨끗해요': 39, '가성비가 좋아요': 31, '집중하기 좋아요': 24, '매장이 넓어요': 5, '야외 공간이 멋져요': 3, '컨셉이 독특해요': 2, '차분한 분위기에요': 1, '비싼 만큼 가치있어요': 1, '단체모임 하기 좋아요': 1}",954,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200218_11%2F15820174470467G7a6_JPEG%2FsH1Nn2zjcJ0aXIQkXOeYhbX6.jpg"""
7,읍천리382 본점,카페,4.51,1467,749,대구 남구 안골길 17-1,08:30에 영업 시작,0507-1326-0382,,,,"{'음료가 맛있어요': 433, '디저트가 맛있어요': 403, '커피가 맛있어요': 335, '친절해요': 292, '인테리어가 멋져요': 278, '특별한 메뉴가 있어요': 256, '사진이 잘 나와요': 196, '가성비가 좋아요': 185, '매장이 청결해요': 109, '뷰가 좋아요': 83, '대화하기 좋아요': 74, '좌석이 편해요': 23, '화장실이 깨끗해요': 18, '집중하기 좋아요': 12, '컨셉이 독특해요': 7, '음식이 맛있어요': 5, '야외 공간이 멋져요': 5, '주차하기 편해요': 5, '메뉴 구성이 알차요': 4, '아늑해요': 3, '건강한 맛이에요': 3, '재료가 신선해요': 2, '양이 많아요': 1, '포장이 깔끔해요': 1, '매장이 넓어요': 1}",847,
8,카펠라,"카페,디저트",4.35,2040,639,대구 남구 앞산순환로 449,10:00에 영업 시작,0507-1397-9046,,,,"{'커피가 맛있어요': 407, '뷰가 좋아요': 401, '주차하기 편해요': 307, '인테리어가 멋져요': 260, '디저트가 맛있어요': 259, '음료가 맛있어요': 196, '대화하기 좋아요': 190, '좌석이 편해요': 179, '매장이 청결해요': 151, '친절해요': 114, '사진이 잘 나와요': 100, '화장실이 깨끗해요': 72, '특별한 메뉴가 있어요': 57, '가성비가 좋아요': 40, '집중하기 좋아요': 22, '매장이 넓어요': 3, '차분한 분위기에요': 1, '빵이 맛있어요': 1, '야외 공간이 멋져요': 1}",1221,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220804_89%2F1659613800660nAR9j_JPEG%2FIMG_5837_%25C1%25A6%25B4%25EB%25B7%25CE%25B8%25B8%25B5%25E9%25B1%25E2_%25BA%25B8%25C1%25A4%25BA%25BB.jpg"""
9,플란트,"카페,디저트",0.0,116,259,대구 남구 현충로7길 13-1 플란트,11:00에 영업 시작,0507-1327-2575,,,,"{'커피가 맛있어요': 70, '인테리어가 멋져요': 60, '디저트가 맛있어요': 40, '사진이 잘 나와요': 39, '대화하기 좋아요': 30, '친절해요': 27, '음료가 맛있어요': 24, '매장이 청결해요': 22, '뷰가 좋아요': 22, '좌석이 편해요': 11, '특별한 메뉴가 있어요': 9, '집중하기 좋아요': 6, '가성비가 좋아요': 5, '화장실이 깨끗해요': 5, '차분한 분위기에요': 4, '빵이 맛있어요': 3, '야외 공간이 멋져요': 2, '매장이 넓어요': 2, '아늑해요': 1, '음식이 빨리 나와요': 1, '주차하기 편해요': 1}",114,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230720_30%2F1689862711603g65JR_JPEG%2FC0D76CF0-CD84-4C54-AEF3-EFE4A40334AE.jpeg"""
