,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,쿠모탄 교동 본점,일식당,0.0,933,164,대구 중구 경상감영길 168 1층 쿠모탄,11:30에 영업 시작,0507-1354-9312,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230714_98%2F1689330096720qXagF_JPEG%2FKakaoTalk_20230714_191743240.jpg"""
1,까사넬로,베이커리,4.63,675,704,대구 중구 교동1길 47,12:00에 영업 시작,0507-1395-2984,,,,"{'커피가 맛있어요': 473, '인테리어가 멋져요': 223, '특별한 메뉴가 있어요': 144, '빵이 맛있어요': 134, '친절해요': 130, '사진이 잘 나와요': 112, '음료가 맛있어요': 105, '대화하기 좋아요': 89, '가성비가 좋아요': 60, '매장이 청결해요': 45, '뷰가 좋아요': 27, '화장실이 깨끗해요': 21, '좌석이 편해요': 18, '집중하기 좋아요': 17, '디저트가 맛있어요': 15, '아늑해요': 3, '야외 공간이 멋져요': 3, '주차하기 편해요': 3, '음식이 빨리 나와요': 2, '특별한 날 가기 좋아요': 2, '컨셉이 독특해요': 1, '음식이 맛있어요': 1, '메뉴 구성이 알차요': 1, '오래 머무르기 좋아요': 1, '종류가 다양해요': 1}",649,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230714_182%2F1689314997886tX0d7_JPEG%2FKakaoTalk_20230714_150918319_02.jpg"""
2,몽블랑드파리,"카페,디저트",0.0,132,88,대구 중구 동성로6길 21,09:30에 영업 시작,0507-1473-7904,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231115_183%2F1700026558502qqer1_JPEG%2FKakaoTalk_20230912_104856949_20.jpg"""
3,이씨씨커피,"카페,디저트",4.56,1259,1163,대구 중구 종로 72,08:00에 영업 시작,0507-1421-3928,,,,"{'커피가 맛있어요': 537, '인테리어가 멋져요': 286, '디저트가 맛있어요': 182, '사진이 잘 나와요': 169, '음료가 맛있어요': 163, '친절해요': 151, '대화하기 좋아요': 133, '매장이 청결해요': 77, '뷰가 좋아요': 66, '특별한 메뉴가 있어요': 60, '가성비가 좋아요': 51, '좌석이 편해요': 30, '집중하기 좋아요': 30, '화장실이 깨끗해요': 28, '아늑해요': 6, '차분한 분위기에요': 3, '주차하기 편해요': 3, '음악이 좋아요': 1, '매장이 넓어요': 1, '종류가 다양해요': 1}",784,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210629_213%2F1624923691518EPzwR_JPEG%2FEjc9bumUF_H_jj1ZUUgzr41a.jpeg.jpg"""
4,맨션5,"카페,디저트",4.4,941,1317,대구 중구 중앙대로79길 28 맨션5,10:00에 영업 시작,053-421-1225,,,,"{'커피가 맛있어요': 217, '인테리어가 멋져요': 200, '디저트가 맛있어요': 159, '음료가 맛있어요': 114, '대화하기 좋아요': 103, '사진이 잘 나와요': 92, '매장이 청결해요': 88, '뷰가 좋아요': 82, '친절해요': 60, '특별한 메뉴가 있어요': 60, '좌석이 편해요': 33, '화장실이 깨끗해요': 26, '가성비가 좋아요': 16, '집중하기 좋아요': 15, '주차하기 편해요': 7, '야외 공간이 멋져요': 3, '매장이 넓어요': 2, '아늑해요': 1, '음식이 맛있어요': 1, '음악이 좋아요': 1, '오래 머무르기 좋아요': 1}",565,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210615_221%2F1623743372890EHjph_JPEG%2FE-J2tyBiJON6GE68c7x6tn40.jpeg.jpg"""
5,티클래스,"카페,디저트",4.6,2184,582,대구 중구 동성로2길 87,10:00에 영업 시작,053-252-3555,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230504_297%2F1683195036438Dt7SB_PNG%2F%25BF%25EB%25B7%25AE%25C0%25DB%25C0%25BA.png"""
6,넌테이블,"카페,디저트",4.67,607,928,대구 중구 경상감영길 62 1층 넌테이블,08:00에 영업 시작,0507-1314-1327,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231020_29%2F16977654672544hw6d_JPEG%2FIMG_0163.jpeg"""
7,샌디레이크,"카페,디저트",4.45,709,997,대구 중구 경상감영길 192 샌디레이크,11:00에 영업 시작,010-7773-5330,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230609_278%2F1686296839544MQA6l_JPEG%2F%25BB%25F7%25B5%25F0%25B7%25B9%25C0%25CC%25C5%25A9_%25BF%25DC%25B0%25FC.jpg"""
8,퓨어리즘,"카페,디저트",0.0,116,21,대구 중구 국채보상로142길 20-37,10:30에 영업 시작,0507-1388-3252,,,,"{'인테리어가 멋져요': 86, '커피가 맛있어요': 70, '친절해요': 56, '디저트가 맛있어요': 55, '음료가 맛있어요': 52, '사진이 잘 나와요': 40, '대화하기 좋아요': 38, '매장이 청결해요': 37, '특별한 메뉴가 있어요': 20, '뷰가 좋아요': 18, '집중하기 좋아요': 10, '가성비가 좋아요': 8, '화장실이 깨끗해요': 7, '좌석이 편해요': 5, '아늑해요': 5, '차분한 분위기에요': 3, '매장이 넓어요': 2, '컨셉이 독특해요': 1, '음식이 맛있어요': 1, '건강한 맛이에요': 1}",115,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231012_23%2F1697098338832cOad9_JPEG%2FIMG_5965."""
9,버터베이크,베이커리,0.0,307,117,대구 중구 동성로 22-1 버터베이크,09:30에 영업 시작,010-7687-2921,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230711_87%2F1689004101643csnHJ_JPEG%2F8E7E1CD8-1097-4945-9D46-B8952FA1EA76.jpeg"""
10,호랭커피타운,"카페,디저트",0.0,118,245,대구 중구 경상감영길 150 1층,10:00에 영업 시작,053-252-0799,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230312_248%2F1678553691187S9mno_JPEG%2F1678127163379.jpg"""
