,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,코즈,"카페,디저트",0.0,510,645,대구 중구 달구벌대로 2125-8 COZ,12:00에 영업 시작,0507-1471-7118,,,,"{'커피가 맛있어요': 151, '디저트가 맛있어요': 147, '친절해요': 102, '음료가 맛있어요': 101, '인테리어가 멋져요': 81, '특별한 메뉴가 있어요': 53, '대화하기 좋아요': 51, '사진이 잘 나와요': 45, '매장이 청결해요': 41, '가성비가 좋아요': 16, '좌석이 편해요': 11, '뷰가 좋아요': 9, '집중하기 좋아요': 8, '화장실이 깨끗해요': 5, '주차하기 편해요': 2, '빵이 맛있어요': 1, '아늑해요': 1}",328,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231031_10%2F1698731408548HNcs6_JPEG%2FKakaoTalk_20231031_144928544.jpg"""
1,콩카페 대구동성로로데오점,카페,0.0,339,191,대구 중구 동성로5길 45 2층,11:00에 영업 시작,0504-2015-5745,,,,"{'커피가 맛있어요': 179, '음료가 맛있어요': 138, '특별한 메뉴가 있어요': 118, '인테리어가 멋져요': 111, '디저트가 맛있어요': 55, '친절해요': 53, '매장이 청결해요': 53, '대화하기 좋아요': 52, '사진이 잘 나와요': 31, '좌석이 편해요': 28, '화장실이 깨끗해요': 19, '가성비가 좋아요': 15, '뷰가 좋아요': 9, '집중하기 좋아요': 7, '매장이 넓어요': 6, '컨셉이 독특해요': 4, '음식이 맛있어요': 4, '종류가 다양해요': 3, '양이 많아요': 2, '차분한 분위기에요': 1, '아늑해요': 1, '주문제작을 잘해줘요': 1, '음악이 좋아요': 1, '오래 머무르기 좋아요': 1}",331,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230417_150%2F1681701399802LFsSE_JPEG%2F%25C4%25DA%25C4%25DA%25B3%25D3%25C4%25BF%25C7%25C7%25BD%25BA%25B9%25AB%25B5%25F0.jpeg"""
2,몽블랑드파리,"카페,디저트",0.0,132,88,대구 중구 동성로6길 21,09:30에 영업 시작,0507-1473-7904,,,,"{'디저트가 맛있어요': 77, '인테리어가 멋져요': 58, '특별한 메뉴가 있어요': 55, '커피가 맛있어요': 37, '사진이 잘 나와요': 30, '음료가 맛있어요': 24, '친절해요': 20, '대화하기 좋아요': 17, '매장이 청결해요': 14, '좌석이 편해요': 7, '화장실이 깨끗해요': 4, '컨셉이 독특해요': 2, '가성비가 좋아요': 2, '비싼 만큼 가치있어요': 2, '매장이 넓어요': 2, '종류가 다양해요': 2, '빵이 맛있어요': 1, '아늑해요': 1, '메뉴 구성이 알차요': 1, '집중하기 좋아요': 1, '뷰가 좋아요': 1}",123,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231115_183%2F1700026558502qqer1_JPEG%2FKakaoTalk_20230912_104856949_20.jpg"""
3,랑데자뷰 대구동성로점,"카페,디저트",4.62,922,889,대구 중구 동성로2길 50-9,12:00에 영업 시작,0507-1332-5843,,,,"{'인테리어가 멋져요': 360, '사진이 잘 나와요': 264, '디저트가 맛있어요': 263, '커피가 맛있어요': 248, '음료가 맛있어요': 229, '친절해요': 149, '특별한 메뉴가 있어요': 127, '뷰가 좋아요': 115, '매장이 청결해요': 111, '대화하기 좋아요': 101, '좌석이 편해요': 50, '가성비가 좋아요': 46, '화장실이 깨끗해요': 33, '집중하기 좋아요': 24, '주차하기 편해요': 7, '매장이 넓어요': 7, '컨셉이 독특해요': 5, '음악이 좋아요': 3, '야외 공간이 멋져요': 3, '빵이 맛있어요': 1, '특별한 날 가기 좋아요': 1, '단체모임 하기 좋아요': 1}",661,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210923_35%2F1632382541483utxdh_JPEG%2Fk8PWz0MdkudK1ahJi7k0fKVb.jpg"""
4,슬탕 대구본점,"카페,디저트",0.0,74,115,대구 중구 동성로3길 23 1층,11:00에 영업 시작,0507-1471-0707,,,,"{'디저트가 맛있어요': 60, '친절해요': 30, '특별한 메뉴가 있어요': 29, '매장이 청결해요': 28, '가성비가 좋아요': 22, '커피가 맛있어요': 11, '인테리어가 멋져요': 8, '사진이 잘 나와요': 8, '음료가 맛있어요': 5, '집중하기 좋아요': 4, '대화하기 좋아요': 3, '음식이 맛있어요': 1, '재료가 신선해요': 1, '뷰가 좋아요': 1}",74,
5,오디너리하우스,"카페,디저트",4.54,2266,1330,대구 중구 동성로2길 21-8,12:00에 영업 시작,0507-1423-7826,,,,"{'디저트가 맛있어요': 903, '커피가 맛있어요': 634, '인테리어가 멋져요': 614, '음료가 맛있어요': 379, '사진이 잘 나와요': 259, '대화하기 좋아요': 255, '매장이 청결해요': 235, '특별한 메뉴가 있어요': 234, '친절해요': 212, '좌석이 편해요': 171, '뷰가 좋아요': 56, '가성비가 좋아요': 55, '화장실이 깨끗해요': 55, '집중하기 좋아요': 26, '주차하기 편해요': 10, '매장이 넓어요': 10, '종류가 다양해요': 4, '컨셉이 독특해요': 3, '음식이 빨리 나와요': 2, '음식이 맛있어요': 2, '차분한 분위기에요': 1, '메뉴 구성이 알차요': 1, '오래 머무르기 좋아요': 1}",1624,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220719_66%2F16582209497975mHqx_JPEG%2F62178AD4-CE2D-4703-80F5-67794F2BB26E.jpeg"""
6,스윗앤크림,"카페,디저트",0.0,13,11,대구 중구 동성로6길 75 2층,12:00에 영업 시작,0507-1427-3124,,,,"{'디저트가 맛있어요': 13, '인테리어가 멋져요': 11, '커피가 맛있어요': 10, '친절해요': 6, '사진이 잘 나와요': 5, '음료가 맛있어요': 4, '대화하기 좋아요': 3, '아늑해요': 1, '음악이 좋아요': 1, '특별한 메뉴가 있어요': 1, '매장이 청결해요': 1, '뷰가 좋아요': 1}",13,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231023_163%2F1698029185526fhPxp_JPEG%2FIMG_7004.jpeg"""
7,카페 루시드,카페,4.67,1430,1396,대구 중구 동성로4길 94,12:00에 영업 시작,053-422-7020,,,,"{'디저트가 맛있어요': 638, '특별한 메뉴가 있어요': 479, '친절해요': 164, '매장이 청결해요': 156, '커피가 맛있어요': 138, '음료가 맛있어요': 123, '대화하기 좋아요': 101, '인테리어가 멋져요': 98, '좌석이 편해요': 74, '사진이 잘 나와요': 68, '화장실이 깨끗해요': 49, '가성비가 좋아요': 24, '뷰가 좋아요': 11, '매장이 넓어요': 8, '집중하기 좋아요': 7, '음식이 맛있어요': 5, '양이 많아요': 3, '주차하기 편해요': 2, '비싼 만큼 가치있어요': 2, '아늑해요': 1, '혼밥하기 좋아요': 1, '음식이 빨리 나와요': 1, '메뉴 구성이 알차요': 1, '룸이 잘 되어있어요': 1}",994,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230923_119%2F1695479513812wUXAs_JPEG%2Ftemp_file.jpg"""
8,티클래스,"카페,디저트",4.6,2184,581,대구 중구 동성로2길 87,10:00에 영업 시작,053-252-3555,,,,"{'디저트가 맛있어요': 846, '커피가 맛있어요': 799, '음료가 맛있어요': 421, '친절해요': 369, '대화하기 좋아요': 310, '특별한 메뉴가 있어요': 284, '좌석이 편해요': 181, '인테리어가 멋져요': 142, '매장이 청결해요': 123, '집중하기 좋아요': 104, '뷰가 좋아요': 99, '화장실이 깨끗해요': 66, '가성비가 좋아요': 41, '사진이 잘 나와요': 40, '매장이 넓어요': 15, '차분한 분위기에요': 8, '주차하기 편해요': 8, '비싼 만큼 가치있어요': 6, '아늑해요': 5, '오래 머무르기 좋아요': 4, '빵이 맛있어요': 2, '음악이 좋아요': 2, '차가 맛있어요': 2, '종류가 다양해요': 2, '혼밥하기 좋아요': 1, '메뉴 구성이 알차요': 1}",1406,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230504_297%2F1683195036438Dt7SB_PNG%2F%25BF%25EB%25B7%25AE%25C0%25DB%25C0%25BA.png"""
9,코즈,"카페,디저트",0.0,510,645,대구 중구 달구벌대로 2125-8 COZ,12:00에 영업 시작,0507-1471-7118,,,,"{'커피가 맛있어요': 151, '디저트가 맛있어요': 147, '친절해요': 102, '음료가 맛있어요': 101, '인테리어가 멋져요': 81, '특별한 메뉴가 있어요': 53, '대화하기 좋아요': 51, '사진이 잘 나와요': 45, '매장이 청결해요': 41, '가성비가 좋아요': 16, '좌석이 편해요': 11, '뷰가 좋아요': 9, '집중하기 좋아요': 8, '화장실이 깨끗해요': 5, '주차하기 편해요': 2, '빵이 맛있어요': 1, '아늑해요': 1}",328,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231031_10%2F1698731408548HNcs6_JPEG%2FKakaoTalk_20231031_144928544.jpg"""
