,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,오헤이,"카페,디저트",0.0,73,61,대구 달서구 야외음악당로 265 1층,12:00에 영업 시작,0507-1338-9370,,,,"{'디저트가 맛있어요': 33, '커피가 맛있어요': 31, '친절해요': 28, '뷰가 좋아요': 21, '음료가 맛있어요': 20, '매장이 청결해요': 18, '인테리어가 멋져요': 16, '사진이 잘 나와요': 15, '대화하기 좋아요': 13, '화장실이 깨끗해요': 7, '특별한 메뉴가 있어요': 5, '반려동물과 가기 좋아요': 3, '차분한 분위기에요': 2, '좌석이 편해요': 2, '아늑해요': 1, '가성비가 좋아요': 1, '집중하기 좋아요': 1}",72,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230421_29%2F16820536601869Ceym_PNG%2FKakaoTalk_20230421_140640068.png"""
1,성당못빌,"카페,디저트",4.53,926,878,대구 남구 성당로 54-5 . 1-2층,11:00에 영업 시작,0507-1307-1784,,,,"{'인테리어가 멋져요': 248, '커피가 맛있어요': 189, '뷰가 좋아요': 189, '사진이 잘 나와요': 148, '친절해요': 146, '음료가 맛있어요': 120, '디저트가 맛있어요': 110, '야외 공간이 멋져요': 86, '대화하기 좋아요': 69, '매장이 청결해요': 60, '좌석이 편해요': 39, '화장실이 깨끗해요': 38, '특별한 메뉴가 있어요': 36, '가성비가 좋아요': 15, '특별한 날 가기 좋아요': 15, '빵이 맛있어요': 1, '주차하기 편해요': 1}",548,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230827_294%2F1693067304834A30IX_JPEG%2FA9A8E5C1-B407-446C-9AF0-F754A0F5046D.jpeg"""
2,브리에브레드,베이커리,0.0,48,84,대구 남구 현충로7길 7 브리에브레드,09:00에 영업 시작,0507-1355-5421,,,,"{'빵이 맛있어요': 42, '인테리어가 멋져요': 31, '친절해요': 20, '커피가 맛있어요': 18, '사진이 잘 나와요': 16, '특별한 메뉴가 있어요': 16, '매장이 청결해요': 11, '음료가 맛있어요': 4, '대화하기 좋아요': 3, '가성비가 좋아요': 2, '화장실이 깨끗해요': 2, '차분한 분위기에요': 1, '아늑해요': 1, '뷰가 좋아요': 1}",45,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231001_86%2F1696146108886D30gM_JPEG%2FKakaoTalk_20230930_173838508_03.jpg"""
3,읍천리382 본점,카페,4.51,1467,749,대구 남구 안골길 17-1,08:30에 영업 시작,0507-1326-0382,,,,"{'음료가 맛있어요': 433, '디저트가 맛있어요': 403, '커피가 맛있어요': 335, '친절해요': 292, '인테리어가 멋져요': 278, '특별한 메뉴가 있어요': 256, '사진이 잘 나와요': 196, '가성비가 좋아요': 185, '매장이 청결해요': 109, '뷰가 좋아요': 83, '대화하기 좋아요': 74, '좌석이 편해요': 23, '화장실이 깨끗해요': 18, '집중하기 좋아요': 12, '컨셉이 독특해요': 7, '음식이 맛있어요': 5, '야외 공간이 멋져요': 5, '주차하기 편해요': 5, '메뉴 구성이 알차요': 4, '아늑해요': 3, '건강한 맛이에요': 3, '재료가 신선해요': 2, '양이 많아요': 1, '포장이 깔끔해요': 1, '매장이 넓어요': 1}",847,
4,성당못빌,"카페,디저트",4.53,926,878,대구 남구 성당로 54-5 . 1-2층,11:00에 영업 시작,0507-1307-1784,,,,"{'인테리어가 멋져요': 248, '커피가 맛있어요': 189, '뷰가 좋아요': 189, '사진이 잘 나와요': 148, '친절해요': 146, '음료가 맛있어요': 120, '디저트가 맛있어요': 110, '야외 공간이 멋져요': 86, '대화하기 좋아요': 69, '매장이 청결해요': 60, '좌석이 편해요': 39, '화장실이 깨끗해요': 38, '특별한 메뉴가 있어요': 36, '가성비가 좋아요': 15, '특별한 날 가기 좋아요': 15, '빵이 맛있어요': 1, '주차하기 편해요': 1}",548,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230827_294%2F1693067304834A30IX_JPEG%2FA9A8E5C1-B407-446C-9AF0-F754A0F5046D.jpeg"""
5,프랑제리 뺑드프랑스 이월드점,베이커리,0.0,41,78,대구 달서구 두류공원로 200 푸드폴리탄 프랑제리 뺑드프랑스 이월드점,11:00에 영업 시작,053-657-0927,,,,"{'빵이 맛있어요': 34, '커피가 맛있어요': 15, '음료가 맛있어요': 14, '친절해요': 12, '가성비가 좋아요': 12, '특별한 메뉴가 있어요': 11, '매장이 청결해요': 7, '인테리어가 멋져요': 5, '사진이 잘 나와요': 5, '좌석이 편해요': 1, '디저트가 맛있어요': 1, '대화하기 좋아요': 1, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}",41,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230915_283%2F1694767449782OJqux_JPEG%2F%25BB%25B1%25B5%25E5."""
6,카페 몰리스,"카페,디저트",4.69,774,260,대구 달서구 야외음악당로39동길 32 1층 카페몰리스,10:00에 영업 시작,0507-1473-5081,,,,"{'커피가 맛있어요': 217, '디저트가 맛있어요': 172, '인테리어가 멋져요': 127, '음료가 맛있어요': 118, '친절해요': 113, '매장이 청결해요': 111, '좌석이 편해요': 97, '대화하기 좋아요': 80, '집중하기 좋아요': 69, '사진이 잘 나와요': 66, '주차하기 편해요': 51, '가성비가 좋아요': 33, '특별한 메뉴가 있어요': 19, '뷰가 좋아요': 16, '화장실이 깨끗해요': 13, '차분한 분위기에요': 1, '아이와 가기 좋아요': 1, '매장이 넓어요': 1, '오래 머무르기 좋아요': 1}",468,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220624_177%2F1656059192724Ibznb_JPEG%2FKakaoTalk_20210929_110837777.jpg"""
7,푸푸커피 대구 본점,"카페,디저트",4.49,703,476,대구 달서구 와룡로 169,10:00에 영업 시작,0507-1446-6200,,,,"{'디저트가 맛있어요': 240, '커피가 맛있어요': 182, '친절해요': 125, '음료가 맛있어요': 93, '특별한 메뉴가 있어요': 84, '가성비가 좋아요': 40, '사진이 잘 나와요': 38, '주차하기 편해요': 27, '야외 공간이 멋져요': 24, '인테리어가 멋져요': 16, '매장이 청결해요': 11, '뷰가 좋아요': 9, '대화하기 좋아요': 6, '아이와 가기 좋아요': 5, '화장실이 깨끗해요': 5, '빵이 맛있어요': 3, '좌석이 편해요': 3, '선물하기 좋아요': 3, '반려동물과 가기 좋아요': 3, '음식이 맛있어요': 2, '양이 많아요': 1, '포장이 깔끔해요': 1, '차가 맛있어요': 1}",372,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210617_61%2F1623887418051oMzMo_JPEG%2F2MWEzqNX6-Fb7t8VXJf3MN13.jpeg.jpg"""
8,아눅 앞산,베이커리,4.51,2936,2049,대구 남구 앞산순환로 459 아눅 앞산,10:00에 영업 시작,0507-1422-1060,,,,"{'커피가 맛있어요': 984, '빵이 맛있어요': 918, '뷰가 좋아요': 917, '인테리어가 멋져요': 787, '친절해요': 433, '음료가 맛있어요': 401, '사진이 잘 나와요': 397, '특별한 메뉴가 있어요': 357, '매장이 청결해요': 314, '대화하기 좋아요': 265, '음식이 맛있어요': 245, '매장이 넓어요': 124, '디저트가 맛있어요': 114, '주차하기 편해요': 97, '화장실이 깨끗해요': 84, '재료가 신선해요': 67, '가성비가 좋아요': 57, '좌석이 편해요': 45, '집중하기 좋아요': 36, '특별한 날 가기 좋아요': 32, '양이 많아요': 14, '단체모임 하기 좋아요': 13, '야외 공간이 멋져요': 9, '아늑해요': 6, '혼밥하기 좋아요': 4, '건강한 맛이에요': 4, '오래 머무르기 좋아요': 3, '아이와 가기 좋아요': 2, '메뉴 구성이 알차요': 2, '종류가 다양해요': 2, '차분한 분위기에요': 1, '컨셉이 독특해요': 1}",2262,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220913_2%2F1663037598799HC44M_JPEG%2FKakaoTalk_20220913_115245058.jpg"""
9,오마모리 앞산,"카페,디저트",4.49,957,771,대구 남구 대명남로 167,12:00에 영업 시작,0507-1464-2060,,,,"{'디저트가 맛있어요': 249, '인테리어가 멋져요': 226, '특별한 메뉴가 있어요': 156, '음료가 맛있어요': 151, '커피가 맛있어요': 150, '매장이 청결해요': 150, '대화하기 좋아요': 111, '친절해요': 103, '주차하기 편해요': 86, '사진이 잘 나와요': 85, '화장실이 깨끗해요': 42, '좌석이 편해요': 33, '뷰가 좋아요': 26, '가성비가 좋아요': 21, '집중하기 좋아요': 16, '매장이 넓어요': 3, '차분한 분위기에요': 2, '컨셉이 독특해요': 2, '아늑해요': 1, '음식이 맛있어요': 1, '오래 머무르기 좋아요': 1, '차가 맛있어요': 1}",627,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200506_28%2F1588762626555naFEc_JPEG%2F9nklArbxqlp6ShD4SZwuhDHj.jpg"""
