,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,쩝쩝박사케이크,케이크전문,0.0,40,140,대구 서구 염색공단로7길 3 1층 쩝쩝박사케이크,연중무휴,0507-1327-1360,,,,"{'친절해요': 36, '선물하기 좋아요': 34, '디저트가 맛있어요': 28, '특별한 메뉴가 있어요': 28, '매장이 청결해요': 13, '사진이 잘 나와요': 12, '주차하기 편해요': 9, '인테리어가 멋져요': 6, '가성비가 좋아요': 6, '커피가 맛있어요': 1, '음료가 맛있어요': 1, '비싼 만큼 가치있어요': 1, '특별한 날 가기 좋아요': 1, '뷰가 좋아요': 1}",40,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220805_165%2F16596766196252OqlS_JPEG%2F20220519_164613.jpg"""
1,할리스 대구팔달교DT점,카페,4.44,1809,51,대구 서구 팔달로 34,07:30에 영업 시작,053-341-9595,,,,"{'커피가 맛있어요': 496, '주차하기 편해요': 271, '음료가 맛있어요': 232, '매장이 청결해요': 182, '친절해요': 171, '좌석이 편해요': 170, '대화하기 좋아요': 166, '디저트가 맛있어요': 159, '집중하기 좋아요': 108, '인테리어가 멋져요': 102, '화장실이 깨끗해요': 90, '뷰가 좋아요': 57, '특별한 메뉴가 있어요': 49, '가성비가 좋아요': 47, '사진이 잘 나와요': 12, '매장이 넓어요': 2, '차분한 분위기에요': 1, '음식이 빨리 나와요': 1}",1037,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210302_125%2F161464487124061agC_JPEG%2FK15utTFWXeuNEny1JMXiV57W.jpg"""
2,장가네제과,케이크전문,0.0,15,16,대구 북구 팔달로 45 장가네제과,09:00에 영업 시작,0507-1468-0289,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211019_264%2F1634616029690iUd5k_JPEG%2FMkTkhv4OTL37CpRMGpdRLCGP.JPG.jpg"""
3,카페 우스리,"카페,디저트",0.0,82,6,대구 서구 염색공단로 17 1층 카페 우스리,07:00에 영업 시작,0507-1484-3902,,,,"{'커피가 맛있어요': 63, '친절해요': 55, '매장이 청결해요': 36, '가성비가 좋아요': 24, '음료가 맛있어요': 22, '인테리어가 멋져요': 13, '대화하기 좋아요': 13, '디저트가 맛있어요': 12, '특별한 메뉴가 있어요': 12, '집중하기 좋아요': 6, '주차하기 편해요': 4, '사진이 잘 나와요': 3, '좌석이 편해요': 1, '포장이 깔끔해요': 1, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}",77,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230829_98%2F16932609553485DKML_JPEG%2FIMG_6555.jpeg"""
4,메가MGC커피 대구팔달시장역점,카페,0.0,882,6,대구 북구 팔달로 167 1층,08:00에 영업 시작,053-356-9321,,,,"{'커피가 맛있어요': 347, '가성비가 좋아요': 241, '친절해요': 223, '음료가 맛있어요': 179, '특별한 메뉴가 있어요': 66, '디저트가 맛있어요': 54, '매장이 청결해요': 45, '대화하기 좋아요': 21, '사진이 잘 나와요': 9, '좌석이 편해요': 8, '인테리어가 멋져요': 8, '양이 많아요': 5, '종류가 다양해요': 5, '뷰가 좋아요': 5, '집중하기 좋아요': 4, '메뉴 구성이 알차요': 3, '포장이 깔끔해요': 1, '주차하기 편해요': 1, '화장실이 깨끗해요': 1}",636,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_158%2F1589532384212wDIew_JPEG%2FSca2wRUI3SRsGlypgHuWIbkE.jpg"""
5,더드림커피 북부정류장점,"카페,디저트",4.33,109,7,대구 서구 서대구로 314,08:00에 영업 시작,0507-0284-4831,,,,"{'커피가 맛있어요': 27, '대화하기 좋아요': 16, '음료가 맛있어요': 14, '친절해요': 14, '가성비가 좋아요': 10, '좌석이 편해요': 9, '디저트가 맛있어요': 9, '집중하기 좋아요': 5, '매장이 청결해요': 4, '인테리어가 멋져요': 1, '주차하기 편해요': 1, '사진이 잘 나와요': 1, '특별한 메뉴가 있어요': 1, '뷰가 좋아요': 1}",65,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230915_239%2F1694754410670WX6Ws_JPEG%2FKakaoTalk_20230914_150616128.jpg"""
6,구움,"카페,디저트",0.0,34,19,대구 북구 팔달로27길 77,10:30에 영업 시작,053-352-1146,,,,"{'디저트가 맛있어요': 28, '친절해요': 21, '매장이 청결해요': 12, '커피가 맛있어요': 11, '음료가 맛있어요': 10, '가성비가 좋아요': 8, '인테리어가 멋져요': 6, '특별한 메뉴가 있어요': 6, '대화하기 좋아요': 3, '아늑해요': 2, '사진이 잘 나와요': 2, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}",33,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220310_253%2F1646877591875yj8KS_JPEG%2FScreenshot_20220310-105814_Instagram.jpg"""
7,카페여기,"카페,디저트",0.0,80,3,대구 북구 팔달로 31,07:30에 영업 시작,0507-1385-4113,,,,"{'커피가 맛있어요': 45, '친절해요': 43, '음료가 맛있어요': 23, '디저트가 맛있어요': 15, '대화하기 좋아요': 15, '가성비가 좋아요': 13, '매장이 청결해요': 11, '특별한 메뉴가 있어요': 8, '집중하기 좋아요': 6, '좌석이 편해요': 5, '인테리어가 멋져요': 2, '사진이 잘 나와요': 2}",75,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230506_251%2F1683344832303lpz8Q_JPEG%2FB2476886-36FB-481C-9D75-093CB4682871.jpeg"""
8,오니카케이크,케이크전문,4.78,55,58,대구 서구 고성로15길 21-1 1층,12:00에 영업 시작,0507-1328-4777,,,,"{'디저트가 맛있어요': 27, '친절해요': 20, '선물하기 좋아요': 19, '특별한 메뉴가 있어요': 14, '가성비가 좋아요': 11, '매장이 청결해요': 9, '사진이 잘 나와요': 8, '인테리어가 멋져요': 7, '커피가 맛있어요': 6, '음료가 맛있어요': 3, '주차하기 편해요': 3, '화장실이 깨끗해요': 2, '음식이 맛있어요': 1, '대화하기 좋아요': 1}",33,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220329_255%2F16485398042737Kn6i_JPEG%2FKakaoTalk_20220329_164146473.jpg"""
9,구공카페 팔달점,카페,4.54,86,9,대구 북구 팔달로 147 1층 구공카페,06:30에 영업 시작,053-566-9090,,,,"{'커피가 맛있어요': 36, '친절해요': 25, '가성비가 좋아요': 25, '음료가 맛있어요': 18, '디저트가 맛있어요': 11, '매장이 청결해요': 6, '대화하기 좋아요': 5, '특별한 메뉴가 있어요': 4, '좌석이 편해요': 2, '인테리어가 멋져요': 2, '뷰가 좋아요': 2, '주차하기 편해요': 1, '화장실이 깨끗해요': 1}",72,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221218_124%2F1671371948685J6ucf_JPEG%2F1668245117019.jpg"""
