,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,댐퍼커피 알파시티점,"카페,디저트",4.67,124,42,대구 수성구 알파시티1로35길 17 1층,09:00에 영업 시작,0507-0284-4201,,,,"{'커피가 맛있어요': 66, '매장이 청결해요': 39, '친절해요': 35, '음료가 맛있어요': 26, '대화하기 좋아요': 24, '인테리어가 멋져요': 17, '가성비가 좋아요': 14, '집중하기 좋아요': 13, '디저트가 맛있어요': 9, '뷰가 좋아요': 9, '화장실이 깨끗해요': 5, '사진이 잘 나와요': 4, '주차하기 편해요': 3, '좌석이 편해요': 2, '차분한 분위기에요': 1, '매장이 넓어요': 1, '특별한 메뉴가 있어요': 1, '오래 머무르기 좋아요': 1}",98,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210510_294%2F1620619681518odws8_JPEG%2F563DkEv566ExcxAfVNMK4cPt.jpg"""
1,페일블루닷,"카페,디저트",0.0,34,26,대구 수성구 시지로14길 20 1층,10:00에 영업 시작,0507-1368-0283,,,,"{'디저트가 맛있어요': 28, '커피가 맛있어요': 26, '주차하기 편해요': 17, '매장이 청결해요': 13, '친절해요': 12, '음료가 맛있어요': 11, '가성비가 좋아요': 11, '인테리어가 멋져요': 7, '대화하기 좋아요': 7, '사진이 잘 나와요': 4, '화장실이 깨끗해요': 4, '특별한 메뉴가 있어요': 3, '빵이 맛있어요': 1, '반려동물과 가기 좋아요': 1}",34,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230702_179%2F1688268881103DvqJ9_JPEG%2FIMG_8607."""
2,투썸플레이스 대구사월강변점,카페,0.0,131,40,대구 수성구 성동로 70 지하1층,09:00에 영업 시작,0507-1429-3660,,,,"{'커피가 맛있어요': 77, '인테리어가 멋져요': 60, '디저트가 맛있어요': 40, '음료가 맛있어요': 37, '주차하기 편해요': 34, '친절해요': 28, '사진이 잘 나와요': 25, '뷰가 좋아요': 24, '매장이 청결해요': 22, '대화하기 좋아요': 18, '좌석이 편해요': 8, '화장실이 깨끗해요': 7, '매장이 넓어요': 6, '집중하기 좋아요': 6, '특별한 메뉴가 있어요': 4, '가성비가 좋아요': 3, '아늑해요': 2, '룸이 잘 되어있어요': 2, '차분한 분위기에요': 1, '야외 공간이 멋져요': 1}",129,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231017_289%2F1697468853236H981z_JPEG%2FIMG_20230925_222743_562.jpg"""
3,메종오브 베이커리,베이커리,4.54,1869,399,대구 수성구 달구벌대로650길 57 1층 메종오브 베이커리,08:00에 영업 시작,0507-1414-1172,,,,"{'빵이 맛있어요': 1220, '매장이 청결해요': 355, '친절해요': 340, '커피가 맛있어요': 321, '특별한 메뉴가 있어요': 222, '인테리어가 멋져요': 150, '대화하기 좋아요': 146, '음료가 맛있어요': 132, '가성비가 좋아요': 124, '좌석이 편해요': 59, '사진이 잘 나와요': 45, '화장실이 깨끗해요': 41, '집중하기 좋아요': 18, '뷰가 좋아요': 18, '주차하기 편해요': 8, '종류가 다양해요': 6, '건강한 맛이에요': 4, '매장이 넓어요': 3, '차분한 분위기에요': 2, '디저트가 맛있어요': 2, '아이와 가기 좋아요': 1, '오래 머무르기 좋아요': 1, '단체모임 하기 좋아요': 1}",1487,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220614_93%2F1655186332902VpK86_JPEG%2F%25C1%25A4%25BB%25E7%25B0%25A2_%25283%2529.jpg"""
4,트로스트,베이커리,4.82,436,143,대구 수성구 달구벌대로641길 4-8 2층 트로스트,11:00에 영업 시작,0507-1304-4936,,,,"{'빵이 맛있어요': 115, '커피가 맛있어요': 98, '친절해요': 92, '음료가 맛있어요': 80, '인테리어가 멋져요': 66, '매장이 청결해요': 56, '특별한 메뉴가 있어요': 53, '대화하기 좋아요': 35, '사진이 잘 나와요': 31, '주차하기 편해요': 24, '가성비가 좋아요': 24, '화장실이 깨끗해요': 19, '뷰가 좋아요': 14, '좌석이 편해요': 10, '집중하기 좋아요': 6, '디저트가 맛있어요': 5, '차분한 분위기에요': 1, '아늑해요': 1, '야외 공간이 멋져요': 1, '오래 머무르기 좋아요': 1}",238,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230628_70%2F1687938197612qoYYm_PNG%2FKakaoTalk_Photo_2023-06-27-14-01-11_003.jpeg"""
5,페이스포포,"카페,디저트",0.0,1162,621,대구 수성구 고모로 15-1,10:00에 영업 시작,0507-1333-3645,,,,"{'인테리어가 멋져요': 523, '커피가 맛있어요': 517, '디저트가 맛있어요': 422, '매장이 청결해요': 249, '주차하기 편해요': 233, '음료가 맛있어요': 205, '특별한 메뉴가 있어요': 170, '뷰가 좋아요': 168, '사진이 잘 나와요': 162, '대화하기 좋아요': 162, '좌석이 편해요': 158, '친절해요': 130, '화장실이 깨끗해요': 90, '가성비가 좋아요': 26, '집중하기 좋아요': 20, '매장이 넓어요': 11, '빵이 맛있어요': 4, '음식이 맛있어요': 3, '재료가 신선해요': 3, '야외 공간이 멋져요': 2, '컨셉이 독특해요': 1, '아늑해요': 1, '음악이 좋아요': 1, '기본 안주가 좋아요': 1, '건강한 맛이에요': 1, '단체모임 하기 좋아요': 1}",1144,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220924_299%2F16639841205528Ee7z_JPEG%2F6483A11C-B5F2-4A0B-B9CC-CDAC2E4738E5.jpeg"""
6,까페페르보이,"카페,디저트",4.74,123,51,대구 수성구 달구벌대로 3105 1층,08:00에 영업 시작,0507-1369-5750,,,,"{'커피가 맛있어요': 78, '디저트가 맛있어요': 38, '친절해요': 22, '음료가 맛있어요': 15, '매장이 청결해요': 12, '인테리어가 멋져요': 8, '특별한 메뉴가 있어요': 7, '대화하기 좋아요': 6, '뷰가 좋아요': 6, '좌석이 편해요': 5, '집중하기 좋아요': 5, '가성비가 좋아요': 4, '화장실이 깨끗해요': 4, '사진이 잘 나와요': 2, '차분한 분위기에요': 1, '아늑해요': 1, '음악이 좋아요': 1, '매장이 넓어요': 1}",91,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230820_98%2F1692514230653S3Ob1_JPEG%2FIMG_0375.jpeg"""
7,스스슥,베이커리,0.0,231,104,대구 수성구 신매로 34-1 1층(신매동),08:00에 영업 시작,0507-1366-5145,,,,"{'빵이 맛있어요': 195, '커피가 맛있어요': 108, '친절해요': 101, '특별한 메뉴가 있어요': 73, '매장이 청결해요': 60, '인테리어가 멋져요': 46, '가성비가 좋아요': 36, '음료가 맛있어요': 25, '대화하기 좋아요': 20, '사진이 잘 나와요': 17, '뷰가 좋아요': 4, '차분한 분위기에요': 3, '집중하기 좋아요': 3, '화장실이 깨끗해요': 3, '종류가 다양해요': 3, '좌석이 편해요': 2, '디저트가 맛있어요': 2, '아늑해요': 1, '혼밥하기 좋아요': 1, '메뉴 구성이 알차요': 1, '주차하기 편해요': 1}",230,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230703_118%2F1688374944517mvX31_JPEG%2FKakaoTalk_Photo_2023-07-03-17-52-31_005.jpeg"""
8,롤링핀 시지점,베이커리,4.45,1879,131,대구 수성구 시지로 12 1층,09:30에 영업 시작,0507-1323-1008,,,,"{'빵이 맛있어요': 781, '커피가 맛있어요': 482, '주차하기 편해요': 236, '대화하기 좋아요': 194, '친절해요': 189, '음료가 맛있어요': 180, '뷰가 좋아요': 170, '매장이 청결해요': 134, '인테리어가 멋져요': 118, '좌석이 편해요': 115, '특별한 메뉴가 있어요': 66, '화장실이 깨끗해요': 49, '사진이 잘 나와요': 32, '가성비가 좋아요': 32, '집중하기 좋아요': 29, '매장이 넓어요': 6, '디저트가 맛있어요': 3, '차분한 분위기에요': 2, '아늑해요': 2, '오래 머무르기 좋아요': 2, '음식이 빨리 나와요': 1, '메뉴 구성이 알차요': 1, '야외 공간이 멋져요': 1, '반려동물과 가기 좋아요': 1, '단체모임 하기 좋아요': 1, '종류가 다양해요': 1}",1162,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230926_288%2F1695737689642i4dpi_PNG%2F20230921_022809.png"""
9,카페벨,"카페,디저트",0.0,101,74,대구 수성구 신매로16길 16-6 1층 카페벨,10:00에 영업 시작,0507-1493-7919,,,,"{'디저트가 맛있어요': 64, '친절해요': 58, '음료가 맛있어요': 42, '커피가 맛있어요': 40, '매장이 청결해요': 26, '특별한 메뉴가 있어요': 25, '대화하기 좋아요': 24, '가성비가 좋아요': 20, '인테리어가 멋져요': 18, '사진이 잘 나와요': 17, '집중하기 좋아요': 14, '좌석이 편해요': 3, '뷰가 좋아요': 3}",101,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210909_234%2F1631192430456rKWzA_JPEG%2Fxlin-PMoEMqohG-fhgv6D9JH.jpg"""
