,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,커피르플랑,"카페,디저트",0.0,176,30,대구 동구 동호로2길 37-22 1층,10:00에 영업 시작,053-965-5251,,,,"{'커피가 맛있어요': 100, '친절해요': 83, '인테리어가 멋져요': 77, '매장이 청결해요': 72, '음료가 맛있어요': 69, '디저트가 맛있어요': 50, '대화하기 좋아요': 39, '좌석이 편해요': 31, '뷰가 좋아요': 26, '사진이 잘 나와요': 25, '특별한 메뉴가 있어요': 25, '화장실이 깨끗해요': 17, '가성비가 좋아요': 6, '집중하기 좋아요': 4, '야외 공간이 멋져요': 1, '반려동물과 가기 좋아요': 1, '매장이 넓어요': 1, '단체모임 하기 좋아요': 1, '종류가 다양해요': 1}",176,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230303_33%2F1677817766969FbxYi_JPEG%2F2.jpg"""
1,리터킹 율하각산점,"카페,디저트",0.0,30,2,대구 동구 동호로5길 5 1층 110호,08:30에 영업 시작,0507-1856-7938,,,,"{'가성비가 좋아요': 13, '음료가 맛있어요': 11, '커피가 맛있어요': 9, '친절해요': 7, '디저트가 맛있어요': 6, '특별한 메뉴가 있어요': 4, '매장이 청결해요': 1}",27,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221106_29%2F1667733565700CRYpe_JPEG%2F20221005_081716.jpg"""
2,프라우송 본점,베이커리,4.57,411,135,대구 동구 안심로90길 12,08:00에 영업 시작,0507-1376-5415,,,,"{'빵이 맛있어요': 182, '특별한 메뉴가 있어요': 114, '친절해요': 101, '커피가 맛있어요': 77, '인테리어가 멋져요': 48, '매장이 청결해요': 47, '음료가 맛있어요': 37, '주차하기 편해요': 23, '대화하기 좋아요': 20, '가성비가 좋아요': 15, '사진이 잘 나와요': 10, '뷰가 좋아요': 7, '화장실이 깨끗해요': 6, '좌석이 편해요': 5, '디저트가 맛있어요': 5, '집중하기 좋아요': 5, '재료가 신선해요': 2, '비싼 만큼 가치있어요': 2, '음식이 맛있어요': 1}",294,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230310_74%2F1678450497642WQJKP_JPEG%2FKakaoTalk_Photo_2023-03-10-21-12-51-1.jpeg"""
3,빅핸즈 본점,"카페,디저트",4.53,553,116,대구 동구 동호로9길 65 1층,08:00에 영업 시작,070-4837-5501,,,,"{'커피가 맛있어요': 239, '매장이 청결해요': 136, '친절해요': 127, '음료가 맛있어요': 117, '인테리어가 멋져요': 108, '대화하기 좋아요': 94, '디저트가 맛있어요': 77, '화장실이 깨끗해요': 47, '집중하기 좋아요': 45, '가성비가 좋아요': 44, '사진이 잘 나와요': 36, '좌석이 편해요': 35, '특별한 메뉴가 있어요': 20, '뷰가 좋아요': 14, '아늑해요': 2, '주차하기 편해요': 2, '매장이 넓어요': 2, '차분한 분위기에요': 1, '빵이 맛있어요': 1, '음식이 빨리 나와요': 1, '메뉴 구성이 알차요': 1, '오래 머무르기 좋아요': 1}",353,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230209_29%2F1675917164898KJGdI_JPEG%2FKakaoTalk_20230209_132145546_06.jpg"""
4,카페누 대구혁신도시점,"카페,디저트",0.0,198,32,대구 동구 동내로 34 카페 누,08:00에 영업 시작,053-962-7150,,,,"{'커피가 맛있어요': 125, '친절해요': 89, '매장이 청결해요': 75, '디저트가 맛있어요': 70, '음료가 맛있어요': 67, '주차하기 편해요': 60, '빵이 맛있어요': 48, '대화하기 좋아요': 42, '인테리어가 멋져요': 39, '좌석이 편해요': 34, '뷰가 좋아요': 30, '화장실이 깨끗해요': 22, '특별한 메뉴가 있어요': 16, '집중하기 좋아요': 12, '가성비가 좋아요': 11, '사진이 잘 나와요': 10, '매장이 넓어요': 4, '단체모임 하기 좋아요': 2, '음악이 좋아요': 1, '건강한 맛이에요': 1}",194,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230509_139%2F1683617284049idWK1_JPEG%2F20230325_170144.jpg"""
5,안심제과,"카페,디저트",4.8,80,17,대구 동구 동호로9길 60 1층,12:00에 영업 시작,010-9965-7402,,,,"{'디저트가 맛있어요': 58, '친절해요': 33, '특별한 메뉴가 있어요': 22, '매장이 청결해요': 17, '가성비가 좋아요': 9, '인테리어가 멋져요': 7, '대화하기 좋아요': 4, '커피가 맛있어요': 2, '음료가 맛있어요': 1, '사진이 잘 나와요': 1, '뷰가 좋아요': 1}",71,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231020_134%2F1697767777046AIk6C_JPEG%2FEAB4B2E4-D911-4B5C-9CC8-6A73559A313D.jpeg"""
6,그라노커피,"카페,디저트",0.0,23,1,"대구 동구 안심로90길 29 1층 101호, 201호",09:30에 영업 시작,053-962-2003,,,,"{'커피가 맛있어요': 16, '디저트가 맛있어요': 11, '대화하기 좋아요': 11, '매장이 청결해요': 9, '음료가 맛있어요': 8, '친절해요': 7, '사진이 잘 나와요': 4, '집중하기 좋아요': 4, '인테리어가 멋져요': 3, '좌석이 편해요': 1, '메뉴 구성이 알차요': 1, '가성비가 좋아요': 1, '특별한 메뉴가 있어요': 1, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}",23,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230927_288%2F1695817032780hfOmD_JPEG%2Ftemp_file.jpg"""
7,달라 크레페,크레페,0.0,40,2,대구 동구 반야월로 406 1층,12:00에 영업 시작,010-2162-6223,,,,"{'디저트가 맛있어요': 36, '친절해요': 28, '매장이 청결해요': 14, '인테리어가 멋져요': 9, '특별한 메뉴가 있어요': 9, '좌석이 편해요': 7, '차분한 분위기에요': 3, '양이 많아요': 3, '메뉴 구성이 알차요': 3, '사진이 잘 나와요': 3, '가성비가 좋아요': 3, '뷰가 좋아요': 3, '아늑해요': 2, '음식이 맛있어요': 2, '재료가 신선해요': 2, '음료가 맛있어요': 1, '음식이 빨리 나와요': 1, '주차하기 편해요': 1, '집중하기 좋아요': 1}",40,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231105_156%2F1699187205406Djwzw_JPEG%2F20231105_183615.jpg"""
8,해피디저트데이,"카페,디저트",0.0,17,1,대구 동구 동호로9길 28 1층,11:00에 영업 시작,070-8680-9200,,,,"{'디저트가 맛있어요': 13, '친절해요': 9, '인테리어가 멋져요': 7, '커피가 맛있어요': 6, '음료가 맛있어요': 5, '특별한 메뉴가 있어요': 4, '사진이 잘 나와요': 3, '가성비가 좋아요': 3, '매장이 청결해요': 2, '아늑해요': 1, '음식이 맛있어요': 1, '선물하기 좋아요': 1, '음악이 좋아요': 1, '오래 머무르기 좋아요': 1, '대화하기 좋아요': 1}",16,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230830_90%2F16933476602851ITWJ_JPEG%2Fphoto-output.jpeg"""
9,yum dessert,베이커리,4.61,99,20,대구 동구 동호로11길 22 1층,14:30에 영업 시작,010-9388-9996,,,,"{'친절해요': 27, '빵이 맛있어요': 20, '특별한 메뉴가 있어요': 17, '매장이 청결해요': 7, '음료가 맛있어요': 5, '인테리어가 멋져요': 5, '가성비가 좋아요': 5, '디저트가 맛있어요': 2, '컨셉이 독특해요': 1, '메뉴 구성이 알차요': 1, '사진이 잘 나와요': 1, '매장이 넓어요': 1, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}",51,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180417_265%2F1523943006670prgJj_JPEG%2F6wsL4xC-SmVyO1Okj3L808yZ.JPG.jpg"""
10,상큼한남자들,"카페,디저트",0.0,20,10,대구 동구 동호로 165-1,11:00에 영업 시작,010-9054-4222,,,,"{'친절해요': 12, '매장이 청결해요': 4, '음료가 맛있어요': 3, '커피가 맛있어요': 2, '가성비가 좋아요': 2, '대화하기 좋아요': 2, '디저트가 맛있어요': 1, '인테리어가 멋져요': 1, '사진이 잘 나와요': 1, '집중하기 좋아요': 1, '뷰가 좋아요': 1}",20,
