,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,랜드로드커피,카페,0.0,72,25,대구 중구 봉산문화길 91 1층 랜드로드커피,10:00에 영업 시작,0507-1348-4798,,,,"{'디저트가 맛있어요': 58, '커피가 맛있어요': 48, '친절해요': 43, '인테리어가 멋져요': 40, '음료가 맛있어요': 30, '사진이 잘 나와요': 28, '매장이 청결해요': 24, '특별한 메뉴가 있어요': 15, '대화하기 좋아요': 11, '좌석이 편해요': 10, '화장실이 깨끗해요': 6, '가성비가 좋아요': 3, '집중하기 좋아요': 3, '음식이 맛있어요': 1, '뷰가 좋아요': 1}",72,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231026_237%2F1698307543595QLQwb_JPEG%2FKakaoTalk_20231025_153416289_01.jpg"""
1,밀밭베이커리 미인점,베이커리,4.5,900,73,대구 중구 동덕로30길 85 1층,07:00에 영업 시작,0507-1489-0100,,,,"{'빵이 맛있어요': 482, '친절해요': 163, '특별한 메뉴가 있어요': 111, '매장이 청결해요': 84, '가성비가 좋아요': 52, '커피가 맛있어요': 35, '음료가 맛있어요': 13, '인테리어가 멋져요': 9, '주차하기 편해요': 7, '사진이 잘 나와요': 5, '디저트가 맛있어요': 4, '대화하기 좋아요': 3, '화장실이 깨끗해요': 3, '좌석이 편해요': 2, '종류가 다양해요': 2, '뷰가 좋아요': 2, '아이와 가기 좋아요': 1, '메뉴 구성이 알차요': 1, '집중하기 좋아요': 1}",562,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230825_231%2F1692922553781aFHoq_JPEG%2FKakaoTalk_20230824_120153552_11.jpg"""
2,베이글작업실,베이글,0.0,40,61,대구 중구 봉산문화2길 42-23 1층,10:00에 영업 시작,010-8410-4945,,,,"{'빵이 맛있어요': 36, '친절해요': 20, '특별한 메뉴가 있어요': 16, '매장이 청결해요': 10, '커피가 맛있어요': 8, '인테리어가 멋져요': 5, '사진이 잘 나와요': 5, '메뉴 구성이 알차요': 2, '컨셉이 독특해요': 1, '아늑해요': 1, '음료가 맛있어요': 1, '가성비가 좋아요': 1, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}",39,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230921_121%2F1695290482966laPqT_PNG%2FIMG_6529.png"""
3,르플랑,베이커리,4.47,424,482,대구 중구 동덕로14길 23 리벤빌 1층,12:00에 영업 시작,010-2326-5344,,,,"{'빵이 맛있어요': 172, '특별한 메뉴가 있어요': 91, '친절해요': 79, '매장이 청결해요': 49, '가성비가 좋아요': 38, '인테리어가 멋져요': 29, '커피가 맛있어요': 23, '음료가 맛있어요': 14, '사진이 잘 나와요': 10, '좌석이 편해요': 6, '디저트가 맛있어요': 5, '주차하기 편해요': 3, '대화하기 좋아요': 2, '뷰가 좋아요': 2, '음식이 맛있어요': 1, '재료가 신선해요': 1, '비싼 만큼 가치있어요': 1, '화장실이 깨끗해요': 1, '종류가 다양해요': 1}",214,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220418_105%2F16502471760512MmX4_JPEG%2FBE67F3DF-1365-4CE0-A00F-F85B734A6F8B.jpeg"""
4,노팅힐커피하우스,"카페,디저트",0.0,42,109,대구 중구 명륜로23길 56 1층,09:00에 영업 시작,0507-1384-1420,,,,"{'커피가 맛있어요': 24, '인테리어가 멋져요': 24, '사진이 잘 나와요': 17, '디저트가 맛있어요': 14, '친절해요': 14, '음료가 맛있어요': 7, '특별한 메뉴가 있어요': 6, '매장이 청결해요': 6, '대화하기 좋아요': 3, '좌석이 편해요': 2, '야외 공간이 멋져요': 2, '화장실이 깨끗해요': 2, '뷰가 좋아요': 2, '차분한 분위기에요': 1, '아늑해요': 1, '주차하기 편해요': 1, '반려동물과 가기 좋아요': 1, '집중하기 좋아요': 1}",41,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231025_150%2F16982384937812C92j_JPEG%2F6C34DD5D-22CF-4B72-A7B3-4F6312FBA4A6.jpeg"""
5,구삼커피,"카페,디저트",4.7,309,294,대구 중구 봉산문화2길 16-3 구삼커피,12:00에 영업 시작,0507-1326-2623,,,,"{'디저트가 맛있어요': 188, '인테리어가 멋져요': 163, '친절해요': 137, '사진이 잘 나와요': 118, '특별한 메뉴가 있어요': 116, '커피가 맛있어요': 106, '음료가 맛있어요': 86, '매장이 청결해요': 33, '대화하기 좋아요': 26, '가성비가 좋아요': 19, '좌석이 편해요': 13, '화장실이 깨끗해요': 8, '뷰가 좋아요': 8, '집중하기 좋아요': 4, '주차하기 편해요': 2, '컨셉이 독특해요': 1, '아늑해요': 1, '선물하기 좋아요': 1, '음악이 좋아요': 1, '비싼 만큼 가치있어요': 1, '종류가 다양해요': 1}",262,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230601_129%2F1685598769795O3qxN_JPEG%2FIMG_8170.jpeg"""
6,얼디,"카페,디저트",4.69,260,341,대구 중구 달구벌대로445길 26-5 1층,10:00에 영업 시작,0507-1359-3372,,,,"{'디저트가 맛있어요': 118, '커피가 맛있어요': 91, '친절해요': 61, '음료가 맛있어요': 54, '특별한 메뉴가 있어요': 45, '인테리어가 멋져요': 42, '매장이 청결해요': 33, '사진이 잘 나와요': 17, '대화하기 좋아요': 15, '가성비가 좋아요': 10, '집중하기 좋아요': 8, '좌석이 편해요': 7, '뷰가 좋아요': 5, '화장실이 깨끗해요': 3, '차분한 분위기에요': 1, '아늑해요': 1, '음식이 맛있어요': 1, '포장이 깔끔해요': 1, '반려동물과 가기 좋아요': 1, '매장이 넓어요': 1}",168,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231107_77%2F1699323525830zTC6o_JPEG%2FL1370338-03-01.jpg"""
7,몽블랑드파리,"카페,디저트",0.0,132,88,대구 중구 동성로6길 21,09:30에 영업 시작,0507-1473-7904,,,,"{'디저트가 맛있어요': 77, '인테리어가 멋져요': 58, '특별한 메뉴가 있어요': 55, '커피가 맛있어요': 37, '사진이 잘 나와요': 30, '음료가 맛있어요': 24, '친절해요': 20, '대화하기 좋아요': 17, '매장이 청결해요': 14, '좌석이 편해요': 7, '화장실이 깨끗해요': 4, '컨셉이 독특해요': 2, '가성비가 좋아요': 2, '비싼 만큼 가치있어요': 2, '매장이 넓어요': 2, '종류가 다양해요': 2, '빵이 맛있어요': 1, '아늑해요': 1, '메뉴 구성이 알차요': 1, '집중하기 좋아요': 1, '뷰가 좋아요': 1}",123,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231115_183%2F1700026558502qqer1_JPEG%2FKakaoTalk_20230912_104856949_20.jpg"""
8,랑데자뷰 대구동성로점,"카페,디저트",4.62,922,889,대구 중구 동성로2길 50-9,12:00에 영업 시작,0507-1332-5843,,,,"{'인테리어가 멋져요': 360, '사진이 잘 나와요': 264, '디저트가 맛있어요': 263, '커피가 맛있어요': 248, '음료가 맛있어요': 229, '친절해요': 149, '특별한 메뉴가 있어요': 127, '뷰가 좋아요': 115, '매장이 청결해요': 111, '대화하기 좋아요': 101, '좌석이 편해요': 50, '가성비가 좋아요': 46, '화장실이 깨끗해요': 33, '집중하기 좋아요': 24, '주차하기 편해요': 7, '매장이 넓어요': 7, '컨셉이 독특해요': 5, '음악이 좋아요': 3, '야외 공간이 멋져요': 3, '빵이 맛있어요': 1, '특별한 날 가기 좋아요': 1, '단체모임 하기 좋아요': 1}",661,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210923_35%2F1632382541483utxdh_JPEG%2Fk8PWz0MdkudK1ahJi7k0fKVb.jpg"""
9,슬탕 대구본점,"카페,디저트",0.0,77,118,대구 중구 동성로3길 23 1층,11:00에 영업 시작,0507-1471-0707,,,,"{'디저트가 맛있어요': 60, '친절해요': 30, '특별한 메뉴가 있어요': 29, '매장이 청결해요': 28, '가성비가 좋아요': 22, '커피가 맛있어요': 11, '인테리어가 멋져요': 8, '사진이 잘 나와요': 8, '음료가 맛있어요': 5, '집중하기 좋아요': 4, '대화하기 좋아요': 3, '음식이 맛있어요': 1, '재료가 신선해요': 1, '뷰가 좋아요': 1}",74,
