,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,소디스에스프레소바 경산,카페,0.0,142,280,경북 경산시 백천서로 28-31 지하1층~지상3층,12:00에 영업 시작,0507-1367-9486,,,,"{'커피가 맛있어요': 107, '디저트가 맛있어요': 56, '인테리어가 멋져요': 37, '뷰가 좋아요': 37, '친절해요': 36, '음료가 맛있어요': 33, '주차하기 편해요': 32, '특별한 메뉴가 있어요': 29, '대화하기 좋아요': 28, '좌석이 편해요': 26, '사진이 잘 나와요': 25, '매장이 청결해요': 19, '가성비가 좋아요': 13, '집중하기 좋아요': 6, '화장실이 깨끗해요': 4, '매장이 넓어요': 3, '메뉴 구성이 알차요': 1, '오래 머무르기 좋아요': 1, '종류가 다양해요': 1}",141,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230223_10%2F1677142163814NAGHh_JPEG%2FKakaoTalk_20230223_174722134_12.jpg"""
1,COUCOU꾸꾸,베이커리,4.71,137,15,경북 경산시 장산로4길 25 상가 1층,10:00에 영업 시작,053-792-9329,,,,"{'빵이 맛있어요': 65, '특별한 메뉴가 있어요': 47, '친절해요': 26, '가성비가 좋아요': 17, '매장이 청결해요': 17, '커피가 맛있어요': 7, '음료가 맛있어요': 6, '인테리어가 멋져요': 3, '주차하기 편해요': 3, '디저트가 맛있어요': 1, '사진이 잘 나와요': 1}",87,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210423_19%2F1619187370900gWp0l_JPEG%2Fbh48Yuvqe21M77h9WC1dIQY6.jpg"""
2,프로다카페,"카페,디저트",4.46,1340,224,경북 경산시 백천서로 82 프로다카페,10:30에 영업 시작,053-815-3722,,,,"{'커피가 맛있어요': 379, '뷰가 좋아요': 296, '주차하기 편해요': 241, '매장이 청결해요': 165, '음료가 맛있어요': 149, '친절해요': 137, '대화하기 좋아요': 134, '디저트가 맛있어요': 129, '인테리어가 멋져요': 123, '좌석이 편해요': 89, '화장실이 깨끗해요': 72, '사진이 잘 나와요': 58, '특별한 메뉴가 있어요': 37, '가성비가 좋아요': 36, '집중하기 좋아요': 33, '야외 공간이 멋져요': 1, '매장이 넓어요': 1}",914,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211108_183%2F1636351795808FIoHB_JPEG%2FjbYQopqgJlW3r0jN-2uLl27J.jpg"""
3,더프레젠트,"카페,디저트",4.59,118,126,경북 경산시 선비길 21 카페더프레젠트,12:00에 영업 시작,053-814-5200,,,,"{'커피가 맛있어요': 22, '친절해요': 14, '음료가 맛있어요': 12, '인테리어가 멋져요': 11, '대화하기 좋아요': 11, '디저트가 맛있어요': 9, '매장이 청결해요': 9, '특별한 메뉴가 있어요': 6, '집중하기 좋아요': 6, '좌석이 편해요': 5, '사진이 잘 나와요': 5, '뷰가 좋아요': 3, '주차하기 편해요': 2, '화장실이 깨끗해요': 2, '가성비가 좋아요': 1}",49,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181218_286%2F1545095706695ABUSp_JPEG%2FreyhphbQXT41VL8E_HhNNUEb.jpg"""
4,폴 바셋 경산 옥곡 DT점,카페,0.0,310,47,경북 경산시 삼성현로 207,07:30에 영업 시작,053-813-8550,,,,"{'커피가 맛있어요': 231, '디저트가 맛있어요': 110, '음료가 맛있어요': 76, '매장이 청결해요': 52, '친절해요': 50, '특별한 메뉴가 있어요': 43, '인테리어가 멋져요': 41, '뷰가 좋아요': 36, '주차하기 편해요': 34, '대화하기 좋아요': 28, '가성비가 좋아요': 17, '좌석이 편해요': 15, '화장실이 깨끗해요': 13, '집중하기 좋아요': 8, '사진이 잘 나와요': 5, '아늑해요': 1, '매장이 넓어요': 1, '오래 머무르기 좋아요': 1}",304,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230523_279%2F1684816146811poO9g_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5.jpeg"""
5,스윗플롭,"카페,디저트",0.0,33,21,경북 경산시 경산로13길 3-12 1층 스윗플롭,10:00에 영업 시작,0507-1351-4308,,,,"{'디저트가 맛있어요': 27, '커피가 맛있어요': 22, '친절해요': 18, '매장이 청결해요': 18, '음료가 맛있어요': 9, '인테리어가 멋져요': 7, '특별한 메뉴가 있어요': 4, '대화하기 좋아요': 4, '화장실이 깨끗해요': 4, '가성비가 좋아요': 3, '집중하기 좋아요': 3, '좌석이 편해요': 2, '사진이 잘 나와요': 2, '주문제작을 잘해줘요': 1, '음악이 좋아요': 1, '포장이 깔끔해요': 1, '주차하기 편해요': 1}",32,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230605_152%2F1685946125906xaEkF_JPEG%2FF652BD86-EDEC-49F9-8E4E-79A032E8091E.jpeg"""
6,빽다방 경산옥곡점,테이크아웃커피,4.37,694,21,경북 경산시 경산로16길 2-6 103호,06:00에 영업 시작,053-814-7676,,,,"{'커피가 맛있어요': 222, '음료가 맛있어요': 186, '가성비가 좋아요': 160, '친절해요': 113, '디저트가 맛있어요': 76, '매장이 청결해요': 72, '대화하기 좋아요': 41, '특별한 메뉴가 있어요': 27, '좌석이 편해요': 21, '인테리어가 멋져요': 20, '주차하기 편해요': 15, '집중하기 좋아요': 15, '사진이 잘 나와요': 9, '화장실이 깨끗해요': 9, '뷰가 좋아요': 9, '혼밥하기 좋아요': 1, '음식이 빨리 나와요': 1}",514,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220209_178%2F1644387461442dUXAM_JPEG%2F1641184797888.jpg"""
7,더리터 경산옥곡점,테이크아웃커피,0.0,177,8,경북 경산시 경산로15길 1-5 더리터 옥곡점,08:00에 영업 시작,0507-0284-4036,,,,"{'커피가 맛있어요': 43, '가성비가 좋아요': 33, '친절해요': 31, '음료가 맛있어요': 30, '대화하기 좋아요': 11, '디저트가 맛있어요': 9, '인테리어가 멋져요': 9, '특별한 메뉴가 있어요': 9, '사진이 잘 나와요': 6, '매장이 청결해요': 6, '집중하기 좋아요': 6, '좌석이 편해요': 4, '주차하기 편해요': 1}",113,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210825_173%2F1629866767340FEGvl_JPEG%2FFVeo0A3wVh6QWWRgGSk55XQn.jpg"""
8,다이룬커피,"카페,디저트",0.0,158,51,경북 경산시 백천서로 8,10:00에 영업 시작,0507-1354-6007,,,,"{'커피가 맛있어요': 31, '친절해요': 18, '음료가 맛있어요': 17, '디저트가 맛있어요': 9, '주차하기 편해요': 9, '특별한 메뉴가 있어요': 5, '매장이 청결해요': 5, '대화하기 좋아요': 5, '좌석이 편해요': 3, '가성비가 좋아요': 3, '뷰가 좋아요': 3, '사진이 잘 나와요': 1, '오래 머무르기 좋아요': 1, '집중하기 좋아요': 1, '화장실이 깨끗해요': 1}",52,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191010_195%2F1570718015297hmUN0_JPEG%2FbYOIBbdOG0iot6OFoL_hp5S1.jpeg.jpg"""
9,배스킨라빈스 경산옥곡,아이스크림,4.48,1134,19,경북 경산시 경산로15길 1-1,10:00에 영업 시작,053-811-6311,,,,"{'디저트가 맛있어요': 251, '매장이 청결해요': 211, '친절해요': 202, '인테리어가 멋져요': 74, '특별한 메뉴가 있어요': 66, '음료가 맛있어요': 52, '좌석이 편해요': 47, '가성비가 좋아요': 37, '커피가 맛있어요': 34, '대화하기 좋아요': 29, '뷰가 좋아요': 15, '주차하기 편해요': 14, '사진이 잘 나와요': 13, '집중하기 좋아요': 6, '화장실이 깨끗해요': 4, '음식이 맛있어요': 3, '종류가 다양해요': 2, '음식이 빨리 나와요': 1}",615,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190207_263%2F1549518073913VHxxg_JPEG%2FWzOVG98BAb-9oaMe84QYeDV3.jpg"""
