,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,찰스아노,브런치카페,0.0,188,199,경북 경산시 남산면 삼성현문화길 9 찰스아노,09:00에 영업 시작,0507-1401-3581,,,,"{'인테리어가 멋져요': 105, '뷰가 좋아요': 96, '커피가 맛있어요': 95, '친절해요': 71, '특별한 메뉴가 있어요': 54, '디저트가 맛있어요': 52, '사진이 잘 나와요': 51, '주차하기 편해요': 34, '음료가 맛있어요': 30, '매장이 청결해요': 29, '화장실이 깨끗해요': 15, '야외 공간이 멋져요': 6, '대화하기 좋아요': 6, '음식이 맛있어요': 5, '좌석이 편해요': 3, '음악이 좋아요': 3, '매장이 넓어요': 3, '가성비가 좋아요': 2, '비싼 만큼 가치있어요': 2, '재료가 신선해요': 1, '특별한 날 가기 좋아요': 1, '집중하기 좋아요': 1}",184,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230716_210%2F1689506058016Evszc_JPEG%2FD04E192F-DAE7-442F-ACD3-CA64472B32A8.jpeg"""
1,읍천리382 펜타힐즈점,카페,4.36,414,107,경북 경산시 옥산로 124,09:30에 영업 시작,053-811-0382,,,,"{'음료가 맛있어요': 137, '커피가 맛있어요': 128, '디저트가 맛있어요': 126, '친절해요': 102, '인테리어가 멋져요': 94, '매장이 청결해요': 73, '특별한 메뉴가 있어요': 53, '가성비가 좋아요': 46, '좌석이 편해요': 39, '대화하기 좋아요': 35, '주차하기 편해요': 32, '사진이 잘 나와요': 27, '화장실이 깨끗해요': 14, '집중하기 좋아요': 7, '뷰가 좋아요': 4, '종류가 다양해요': 1}",343,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210702_40%2F1625214176096piJn9_JPEG%2Fq8RRQ8qisuCeRXzxLyeQIRlj.jpg"""
2,룰리커피&룰리바비큐 삼성현점,"카페,디저트",0.0,142,109,경북 경산시 삼성현마을길 24,,0507-1301-7636,,,,"{'커피가 맛있어요': 92, '인테리어가 멋져요': 56, '뷰가 좋아요': 44, '주차하기 편해요': 37, '야외 공간이 멋져요': 36, '디저트가 맛있어요': 35, '사진이 잘 나와요': 33, '특별한 메뉴가 있어요': 28, '음식이 맛있어요': 23, '친절해요': 23, '매장이 청결해요': 23, '음료가 맛있어요': 18, '대화하기 좋아요': 13, '화장실이 깨끗해요': 6, '매장이 넓어요': 4, '좌석이 편해요': 3, '음악이 좋아요': 1, '비싼 만큼 가치있어요': 1}",137,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231101_295%2F1698816733976JLGf7_JPEG%2FKakaoTalk_20231101_135155411.jpg"""
3,그리다빵 영남대본점,베이커리,4.55,2138,655,경북 경산시 청운1로 26 그리다빵영남대본점,09:00에 영업 시작,0507-1401-2788,,,,"{'빵이 맛있어요': 1256, '친절해요': 352, '특별한 메뉴가 있어요': 345, '매장이 청결해요': 324, '인테리어가 멋져요': 187, '커피가 맛있어요': 139, '가성비가 좋아요': 133, '음료가 맛있어요': 106, '사진이 잘 나와요': 57, '대화하기 좋아요': 42, '화장실이 깨끗해요': 25, '좌석이 편해요': 19, '뷰가 좋아요': 18, '주차하기 편해요': 16, '집중하기 좋아요': 13, '디저트가 맛있어요': 10, '메뉴 구성이 알차요': 4, '종류가 다양해요': 4, '매장이 넓어요': 3, '아늑해요': 2, '음식이 맛있어요': 2, '건강한 맛이에요': 1}",1451,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220602_119%2F1654173197237u14dY_JPEG%2F661B8163-C3F8-4A32-B43A-7640F5BD4AEA.jpeg"""
4,두낫디스터브 반곡지,"카페,디저트",4.48,1241,1220,경북 경산시 남산면 반지길 190,10:00에 영업 시작,0507-1417-0366,,,,"{'뷰가 좋아요': 319, '커피가 맛있어요': 279, '인테리어가 멋져요': 149, '빵이 맛있어요': 148, '음료가 맛있어요': 120, '사진이 잘 나와요': 111, '매장이 청결해요': 108, '대화하기 좋아요': 97, '친절해요': 82, '디저트가 맛있어요': 69, '주차하기 편해요': 69, '좌석이 편해요': 60, '화장실이 깨끗해요': 44, '특별한 메뉴가 있어요': 28, '가성비가 좋아요': 18, '집중하기 좋아요': 15, '매장이 넓어요': 1}",744,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221006_169%2F1665034785618KQkee_JPEG%2F09D3DFDC-E59E-43FF-BCBC-E62EA6C55E9B.jpeg"""
5,코너커피,"카페,디저트",0.0,45,24,경북 경산시 청운로 31 (조영동) 1층 코너커피,12:00에 영업 시작,0507-1347-2477,,,,"{'커피가 맛있어요': 28, '음료가 맛있어요': 27, '친절해요': 23, '디저트가 맛있어요': 21, '특별한 메뉴가 있어요': 12, '매장이 청결해요': 12, '가성비가 좋아요': 11, '인테리어가 멋져요': 10, '사진이 잘 나와요': 8, '대화하기 좋아요': 7, '집중하기 좋아요': 5, '뷰가 좋아요': 3, '좌석이 편해요': 2, '아늑해요': 2, '음악이 좋아요': 1, '주차하기 편해요': 1, '종류가 다양해요': 1}",45,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220818_94%2F1660823527870iPHrv_PNG%2F9C5570F4-71AC-426A-AACD-084ECFE8A925.png"""
6,안포레,"카페,디저트",4.44,897,1044,경북 경산시 자인면 원효로 757-5,11:00에 영업 시작,0507-1435-1405,,,,"{'커피가 맛있어요': 303, '뷰가 좋아요': 267, '인테리어가 멋져요': 256, '디저트가 맛있어요': 229, '매장이 청결해요': 208, '친절해요': 200, '음료가 맛있어요': 189, '사진이 잘 나와요': 186, '특별한 메뉴가 있어요': 170, '주차하기 편해요': 165, '대화하기 좋아요': 143, '좌석이 편해요': 97, '화장실이 깨끗해요': 80, '집중하기 좋아요': 68, '가성비가 좋아요': 39, '음식이 맛있어요': 9, '야외 공간이 멋져요': 3, '빵이 맛있어요': 2, '아늑해요': 2, '아이와 가기 좋아요': 2, '차분한 분위기에요': 1, '매장이 넓어요': 1, '오래 머무르기 좋아요': 1}",804,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210730_258%2F1627630723948kRjGI_JPEG%2F0NF2D71Xgc9CJNX8h4MAxdPB.jpg"""
7,찰스아노,브런치카페,0.0,188,199,경북 경산시 남산면 삼성현문화길 9 찰스아노,09:00에 영업 시작,0507-1401-3581,,,,"{'인테리어가 멋져요': 105, '뷰가 좋아요': 96, '커피가 맛있어요': 95, '친절해요': 71, '특별한 메뉴가 있어요': 54, '디저트가 맛있어요': 52, '사진이 잘 나와요': 51, '주차하기 편해요': 34, '음료가 맛있어요': 30, '매장이 청결해요': 29, '화장실이 깨끗해요': 15, '야외 공간이 멋져요': 6, '대화하기 좋아요': 6, '음식이 맛있어요': 5, '좌석이 편해요': 3, '음악이 좋아요': 3, '매장이 넓어요': 3, '가성비가 좋아요': 2, '비싼 만큼 가치있어요': 2, '재료가 신선해요': 1, '특별한 날 가기 좋아요': 1, '집중하기 좋아요': 1}",184,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230716_210%2F1689506058016Evszc_JPEG%2FD04E192F-DAE7-442F-ACD3-CA64472B32A8.jpeg"""
8,우주주택,"카페,디저트",4.63,2033,588,경북 경산시 하양읍 가마실길 26 우주주택,11:00에 영업 시작,0507-1371-0416,,,,"{'디저트가 맛있어요': 1296, '인테리어가 멋져요': 916, '친절해요': 905, '커피가 맛있어요': 828, '음료가 맛있어요': 727, '특별한 메뉴가 있어요': 724, '아늑해요': 645, '사진이 잘 나와요': 539, '야외 공간이 멋져요': 456, '매장이 청결해요': 425, '대화하기 좋아요': 305, '좌석이 편해요': 143, '화장실이 깨끗해요': 70, '주차하기 편해요': 63, '가성비가 좋아요': 50, '뷰가 좋아요': 13, '음악이 좋아요': 11, '차분한 분위기에요': 9, '음식이 맛있어요': 8, '메뉴 구성이 알차요': 8, '비싼 만큼 가치있어요': 8, '룸이 잘 되어있어요': 6, '재료가 신선해요': 5, '양이 많아요': 5, '반려동물과 가기 좋아요': 4, '건강한 맛이에요': 4, '빵이 맛있어요': 3, '집중하기 좋아요': 2, '선물하기 좋아요': 1, '아이와 가기 좋아요': 1, '매장이 넓어요': 1}",1937,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230918_165%2F1695015812864TOhSU_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AFKakaoTalk_20230916_095029008_14.jpg"""
9,카페서서,브런치카페,0.0,27,24,"경북 경산시 솔숲길15길 14 1, 2층",10:00에 영업 시작,0507-1478-8956,,,,"{'커피가 맛있어요': 25, '디저트가 맛있어요': 13, '인테리어가 멋져요': 9, '친절해요': 9, '사진이 잘 나와요': 7, '대화하기 좋아요': 7, '음료가 맛있어요': 6, '특별한 메뉴가 있어요': 5, '뷰가 좋아요': 4, '매장이 청결해요': 3, '가성비가 좋아요': 2, '좌석이 편해요': 1}",27,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_174%2F1695209907275UpKqq_JPEG%2Ftemp_file.jpg"""
