,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,커피키친한일,카페,0.0,574,348,경북 경산시 하양읍 금송로 62,20:00에 영업 종료,070-7706-6212,,"1963년 먼 이국땅에서 온 서양 여성과
이 땅의 사람들이 만나 한 시대의 소명을 살았던 공간에서
2021년 커피키친 한일이 새로운 시간을 이어갑니다.

' Go local '을 추구하며
커피키친 한일은 이 땅의 식재료로
건강한 테이블을 준비하려 합니다.

오래된 건축 공간에서
시간의 계단을 걸으며.

커피와 티, 그리고 브런치_커피키친 한일",,"{'인테리어가 멋져요': 237, '커피가 맛있어요': 170, '주차하기 편해요': 131, '디저트가 맛있어요': 121, '사진이 잘 나와요': 110, '대화하기 좋아요': 101, '음료가 맛있어요': 93, '매장이 청결해요': 90, '친절해요': 78, '특별한 메뉴가 있어요': 76, '뷰가 좋아요': 61, '화장실이 깨끗해요': 56, '좌석이 편해요': 32, '집중하기 좋아요': 24, '가성비가 좋아요': 10, '매장이 넓어요': 4, '차분한 분위기에요': 3, '야외 공간이 멋져요': 2, '컨셉이 독특해요': 1, '아늑해요': 1, '음식이 맛있어요': 1, '메뉴 구성이 알차요': 1, '음악이 좋아요': 1, '오래 머무르기 좋아요': 1, '단체모임 하기 좋아요': 1}",479,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210715_294%2F1626361071836cxedm_JPEG%2Fv_BDtQOwRCfxYDKdbWaNECGe.jpeg.jpg"""
1,다올,카페,0.0,250,34,경북 경산시 와촌면 용천길 133-6 1층,21:00에 영업 종료,0507-1320-8947,,,,"{'커피가 맛있어요': 119, '디저트가 맛있어요': 77, '주차하기 편해요': 72, '뷰가 좋아요': 50, '음료가 맛있어요': 43, '매장이 청결해요': 42, '친절해요': 40, '대화하기 좋아요': 37, '좌석이 편해요': 31, '인테리어가 멋져요': 31, '화장실이 깨끗해요': 21, '사진이 잘 나와요': 12, '가성비가 좋아요': 10, '특별한 메뉴가 있어요': 8, '집중하기 좋아요': 6, '빵이 맛있어요': 2, '매장이 넓어요': 2, '차분한 분위기에요': 1}",247,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221109_268%2F1667949353525M4kam_JPEG%2F20221025_111804.jpg"""
2,제이블랑,"카페,디저트",0.0,210,35,경북 경산시 하양읍 대학로 1517,22:30에 영업 종료,0507-1320-8800,,하양 베이커리 까페 제이블랑,,"{'디저트가 맛있어요': 74, '친절해요': 65, '커피가 맛있어요': 62, '주차하기 편해요': 61, '음료가 맛있어요': 47, '매장이 청결해요': 45, '빵이 맛있어요': 40, '인테리어가 멋져요': 33, '대화하기 좋아요': 28, '가성비가 좋아요': 27, '화장실이 깨끗해요': 18, '좌석이 편해요': 16, '뷰가 좋아요': 11, '특별한 메뉴가 있어요': 9, '사진이 잘 나와요': 8, '집중하기 좋아요': 3, '아늑해요': 1, '매장이 넓어요': 1, '단체모임 하기 좋아요': 1, '종류가 다양해요': 1}",210,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230117_149%2F1673941353933m8YJT_JPEG%2F20230103_105223.jpg"""
3,나잇앤데이,"카페,디저트",4.6,123,48,경북 경산시 진량읍 대구대로 214 나잇앤데이,21:00에 영업 종료,0507-1348-4334,,,,"{'뷰가 좋아요': 40, '커피가 맛있어요': 21, '음료가 맛있어요': 14, '친절해요': 14, '디저트가 맛있어요': 13, '대화하기 좋아요': 13, '주차하기 편해요': 10, '좌석이 편해요': 9, '매장이 청결해요': 9, '가성비가 좋아요': 7, '사진이 잘 나와요': 6, '인테리어가 멋져요': 4, '화장실이 깨끗해요': 4, '집중하기 좋아요': 3, '매장이 넓어요': 1}",67,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200413_181%2F1586752027792nKHe3_JPEG%2FfrXcST55ys_eusqKz9hWtewG.jpeg.jpg"""
4,마고플레인 대구대삼거리점,베이커리,4.41,2420,682,경북 경산시 진량읍 대학로 1383-1,22:40에 라스트오더,0507-1426-7794,,"지역최대규모 베이커리 카페입니다. 
천연효모 발효빵 전문가의 집입니다.

마고플레인은 넓고 아름다운 휴식을 선물합니다 :)",,"{'빵이 맛있어요': 600, '커피가 맛있어요': 368, '주차하기 편해요': 255, '인테리어가 멋져요': 250, '음료가 맛있어요': 222, '친절해요': 134, '대화하기 좋아요': 131, '매장이 청결해요': 127, '뷰가 좋아요': 118, '사진이 잘 나와요': 111, '좌석이 편해요': 102, '특별한 메뉴가 있어요': 93, '집중하기 좋아요': 51, '가성비가 좋아요': 41, '화장실이 깨끗해요': 29, '매장이 넓어요': 15, '디저트가 맛있어요': 5, '야외 공간이 멋져요': 3, '룸이 잘 되어있어요': 3, '단체모임 하기 좋아요': 2, '종류가 다양해요': 2, '음식이 맛있어요': 1, '양이 많아요': 1, '메뉴 구성이 알차요': 1}",969,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220919_198%2F1663578108985d5tQ6_JPEG%2F2%25C3%25FE%25BF%25A1%25BC%25AD%25BC%25F6%25BF%25B5%25C0%25E5.jpg"""
5,마사커피 경산 하양점,카페,4.67,823,30,경북 경산시 하양읍 대학로 1527 마사커피,23:00에 영업 종료,0507-1434-5788,,안녕하세요 마사커피입니다. 친절하고 정직한맛으로 고객분들에게 대접하겠습니다. 많은 방문부탁드리겠습니다^^,,"{'디저트가 맛있어요': 328, '커피가 맛있어요': 271, '친절해요': 239, '음료가 맛있어요': 198, '매장이 청결해요': 128, '대화하기 좋아요': 125, '가성비가 좋아요': 108, '집중하기 좋아요': 106, '좌석이 편해요': 83, '인테리어가 멋져요': 62, '특별한 메뉴가 있어요': 52, '화장실이 깨끗해요': 49, '주차하기 편해요': 30, '뷰가 좋아요': 15, '사진이 잘 나와요': 11, '매장이 넓어요': 8, '음식이 맛있어요': 3, '메뉴 구성이 알차요': 2, '오래 머무르기 좋아요': 2, '음식이 빨리 나와요': 1, '아이와 가기 좋아요': 1, '음악이 좋아요': 1, '룸이 잘 되어있어요': 1, '종류가 다양해요': 1}",607,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190709_93%2F1562648507377UpnnK_JPEG%2FmxbPY9AVcwQCC9clY4aryiAW.jpg"""
6,우유니커피,카페,0.0,46,9,경북 경산시 하양읍 대경로147길 22,,010-2506-4337,,일요 버스킹 준비중입니다.,,"{'커피가 맛있어요': 38, '친절해요': 25, '매장이 청결해요': 14, '음료가 맛있어요': 11, '디저트가 맛있어요': 10, '좌석이 편해요': 8, '대화하기 좋아요': 7, '인테리어가 멋져요': 6, '화장실이 깨끗해요': 6, '가성비가 좋아요': 5, '특별한 메뉴가 있어요': 4, '집중하기 좋아요': 1}",44,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210427_200%2F16195009204178k6Pz_JPEG%2F9YLGixavjCzv4sRRoK7GQP3J.jpg"""
7,메가MGC커피 대구대학점,카페,4.58,961,9,경북 경산시 진량읍 대구대로 244 1층 메가커피,22:30에 영업 종료,0507-1314-9032,,MEGA MGC COFFEE는 커피 및 음료 전문점으로 TAKE OUT 방식의 장소를 불문하고 편안하게 드실 수 있는 BIG SIZE의 컵에 많은 양을 오랫동안 즐기실 수 있도록 하였습니다. 다양한 음료와 100% 아라비카 원두의 진한 커피를 맛 보실 수 있는 커피 전문점입니다.,,"{'커피가 맛있어요': 299, '음료가 맛있어요': 209, '가성비가 좋아요': 194, '친절해요': 102, '디저트가 맛있어요': 95, '특별한 메뉴가 있어요': 47, '매장이 청결해요': 37, '대화하기 좋아요': 23, '주차하기 편해요': 15, '좌석이 편해요': 11, '집중하기 좋아요': 9, '뷰가 좋아요': 8, '인테리어가 멋져요': 6, '사진이 잘 나와요': 4, '화장실이 깨끗해요': 4, '야외 공간이 멋져요': 2, '양이 많아요': 1, '메뉴 구성이 알차요': 1}",636,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230705_298%2F168852139730378YP6_JPEG%2FKakaoTalk_20230511_101939964_05.jpg"""
8,카페거기,"카페,디저트",0.0,133,10,경북 경산시 하양읍 하양로 89 2층,21:30에 라스트오더,0507-1374-7823,,로스터마스터가 콩 볶고 커피지도사가 커피 내리는 카페. 매일 직접 굽는 다양한 수제 구움과자와 식빵 . 브런치 .모임 . 공간 디오 예약 가능,,"{'커피가 맛있어요': 106, '친절해요': 80, '디저트가 맛있어요': 72, '주차하기 편해요': 56, '음료가 맛있어요': 49, '인테리어가 멋져요': 49, '매장이 청결해요': 38, '대화하기 좋아요': 34, '특별한 메뉴가 있어요': 33, '가성비가 좋아요': 21, '사진이 잘 나와요': 17, '집중하기 좋아요': 12, '좌석이 편해요': 3, '화장실이 깨끗해요': 1}",133,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221006_138%2F1665066322937hqwq0_JPEG%2F20220930_191500.jpg"""
9,스타벅스 대구대학교점,카페,4.59,1048,41,경북 경산시 진량읍 대구대로 201,2022.04.29~2024.04.28,1522-3232,,대구대학교 내 주차 가능,,"{'커피가 맛있어요': 427, '음료가 맛있어요': 272, '친절해요': 248, '디저트가 맛있어요': 194, '매장이 청결해요': 168, '대화하기 좋아요': 127, '주차하기 편해요': 105, '집중하기 좋아요': 100, '좌석이 편해요': 75, '인테리어가 멋져요': 70, '화장실이 깨끗해요': 64, '특별한 메뉴가 있어요': 42, '가성비가 좋아요': 35, '뷰가 좋아요': 30, '사진이 잘 나와요': 24, '차분한 분위기에요': 1, '매장이 넓어요': 1}",972,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
