,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,카페솜,"카페,디저트",4.64,76,54,경북 경산시 대학로59길 2 지하 1층,22:30에 영업 종료,0507-1336-3673,,"보드게임을 즐길 수 있는 아늑한 디저트 카페, 'som' 입니다.

입맛을 사로잡을 다양한 음료와 시그니처 디저트 스모어딥을 맛보실 수 있습니다.

[Option]

- 보드게임
- 좌식형룸
- 파우더룸

Would you like 'som'eting to drink? :)",,"{'음료가 맛있어요': 26, '디저트가 맛있어요': 22, '친절해요': 19, '커피가 맛있어요': 16, '대화하기 좋아요': 15, '인테리어가 멋져요': 14, '매장이 청결해요': 13, '특별한 메뉴가 있어요': 11, '좌석이 편해요': 10, '사진이 잘 나와요': 5, '가성비가 좋아요': 5, '집중하기 좋아요': 4, '뷰가 좋아요': 1}",60,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230702_268%2F1688285018102qU8yc_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5%25C6%25C4%25C0%25CF.jpg"""
1,그리다빵 영남대본점,베이커리,4.55,2138,655,경북 경산시 청운1로 26 그리다빵영남대본점,23:00에 영업 종료,0507-1401-2788,,"그리다빵은 우유버터, 천일염, 친환경 무항생제 계란, 동물성 우유생크림을 사용하여 건강한 빵을 그립니다.

그리다빵의 반죽에는 유산균 발효종과 발효배양액종을 사용하여 식감이 부드럽고 속이 편안한 빵을 그립니다.

그리다빵은 매장에서 당일 반죽하여 48시간 이상 저온숙성시켜 구운 따뜻한 빵을 당일 판매만을 원칙으로 운영하고 있으며 하루가 지난 빵은 절대 판매하지 않습니다.",,"{'빵이 맛있어요': 1256, '친절해요': 352, '특별한 메뉴가 있어요': 345, '매장이 청결해요': 324, '인테리어가 멋져요': 187, '커피가 맛있어요': 139, '가성비가 좋아요': 133, '음료가 맛있어요': 106, '사진이 잘 나와요': 57, '대화하기 좋아요': 42, '화장실이 깨끗해요': 25, '좌석이 편해요': 19, '뷰가 좋아요': 18, '주차하기 편해요': 16, '집중하기 좋아요': 13, '디저트가 맛있어요': 10, '메뉴 구성이 알차요': 4, '종류가 다양해요': 4, '매장이 넓어요': 3, '아늑해요': 2, '음식이 맛있어요': 2, '건강한 맛이에요': 1}",1451,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220602_119%2F1654173197237u14dY_JPEG%2F661B8163-C3F8-4A32-B43A-7640F5BD4AEA.jpeg"""
2,켄고커피위크,"카페,디저트",4.67,100,171,경북 경산시 청운로 5,21:30에 영업 종료,0507-1335-4692,,"KENGO 켄고는 견고하다는 뜻으로,
항상 좋은 제품을 고객에게 제공하려는 우리의 신념과
의지를 의미합니다.",,"{'커피가 맛있어요': 26, '친절해요': 19, '디저트가 맛있어요': 13, '음료가 맛있어요': 13, '인테리어가 멋져요': 12, '매장이 청결해요': 11, '대화하기 좋아요': 10, '특별한 메뉴가 있어요': 7, '사진이 잘 나와요': 6, '집중하기 좋아요': 3, '좌석이 편해요': 1, '가성비가 좋아요': 1, '화장실이 깨끗해요': 1, '뷰가 좋아요': 1}",49,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231031_280%2F1698754390879FBUMd_JPEG%2F09A11F55-E2BD-4FAD-A41D-3538632C6248.jpeg"""
3,플라플로,"카페,디저트",4.58,229,167,경북 경산시 대학로 281-1 7층,22:00에 라스트오더,010-4417-5698,,"PLFL(플라플로)는
Placid-flow(잔잔한 흐름, 물결)의 약자로
손님분들의 동선과 시선, 그리고 공간의 확장을
잔잔한 물결에 비유했습니다.
잔잔한 물결이 모여 큰 물결을 이루듯
한 명 한 명 여러 사람들의 흐르는 삶 안에서
자유로움을 만끽하여 PLFL에서 유영하세요.",,"{'뷰가 좋아요': 39, '커피가 맛있어요': 36, '친절해요': 28, '디저트가 맛있어요': 26, '음료가 맛있어요': 23, '매장이 청결해요': 22, '사진이 잘 나와요': 20, '인테리어가 멋져요': 17, '대화하기 좋아요': 14, '화장실이 깨끗해요': 8, '특별한 메뉴가 있어요': 5, '좌석이 편해요': 3, '가성비가 좋아요': 3, '집중하기 좋아요': 3, '아늑해요': 1}",104,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230323_196%2F1679551142901XzwuL_JPEG%2F3AD14389-CAFC-49AB-9CFF-A412ACC0296A_1_105_c.jpeg"""
4,마실커피 영남대점,카페,4.64,371,287,경북 경산시 대학로61길 19,02:00에 영업 종료,053-802-1597,,"'마실나와서 마실커피!'

마실커피는 이름 그대로 '누구든 집 앞에 나와 맛있는 커피를 웃고 즐기며 편안하게 마실 수 있는 카페'를 만들고자 시작하여, 저렴하고 맛있는 커피로 고객들의 가심비를 사로잡아 높은 평가로 성장하고 있는 커피&디저트 전문점입니다.

'카페의 본질은 커피'라는 신념아래 테이크 아웃 카페 최초의 원두 이원화 서비스를 제공하여 마실커피만의 특별하고 고급화된 원두를 통해 고객님의 티타임에 만족과 즐거움을 선사합니다!

편안하고 통통 튀는 초록 간판의 컨셉으로 고객님의 마실에 설렘을 더하고, 아늑한 매장 안 이색 포인트존에서 커피 외의 재미를 느낄 수 있는 공간으로 여러분의 마실을 더욱 풍부하게 만들어 드립니다!

모자를 푹 눌러 쓰고 편안한 복장으로 나와 맛있는 커피와 함께 동네 여기저기 마실을 다니는 귀여운 마실만의 캐릭터처럼,
가볍게 나와 언제나 기분 좋게 머무를 수 있는 커피 공간인
마실커피로 마실오세요 :)

ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
테라스가 있는 '마실커피 영남대점'은
커피로 하루를 시작하기 딱 좋은 오전 8시부터
따뜻하고 달달한 음료에 감성 더할 새벽 2시까지
여러분의 곁에 있을게요 :)

※마실커피가맹점 문의전화 : 1577-0656",,"{'커피가 맛있어요': 134, '음료가 맛있어요': 101, '가성비가 좋아요': 96, '친절해요': 85, '매장이 청결해요': 42, '디저트가 맛있어요': 30, '인테리어가 멋져요': 26, '좌석이 편해요': 19, '특별한 메뉴가 있어요': 19, '대화하기 좋아요': 18, '사진이 잘 나와요': 17, '화장실이 깨끗해요': 12, '뷰가 좋아요': 11, '집중하기 좋아요': 8, '주차하기 편해요': 5, '양이 많아요': 3, '메뉴 구성이 알차요': 1, '종류가 다양해요': 1}",271,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200120_233%2F15794757103426jYEQ_JPEG%2FHfBz9slk6LsicxudLGIQsXGW.jpeg.jpg"""
5,코너커피,"카페,디저트",0.0,45,24,경북 경산시 청운로 31 (조영동) 1층 코너커피,24:00에 영업 종료,0507-1347-2477,,"안녕하세요. 경산 조영동[영남대]에 오렌지타운 위치해 있는 베이커리 카페 '코너커피'입니다.

항상 방문해 주시는 고객님들께 좋은 서비스와 맛있는 수제 디저트로 보답해 드리겠습니다 :)

ㅁ모든 디저트와 베이커리 메뉴는 반죽부터 베이킹까지 100% 수제로 만들며, 프랑스의 프리미엄 버터 브랜드인 프레지덩 버터 등 좋은 재료들만 엄선해 사용합니다.[휘낭시에, 마들렌, 아메리칸쿠키,바스크치즈케이크 등 다양한 메뉴 구성으로 취향에 맞게 즐기실 수 있습니다]

ㅁ지리,기후 등 특별한 환경에서 자란 커피 중 SCAA스페셜티 협회의 검수를 거쳐 기준 점수 80점 이상을 받은 우수한 등급의 커피인 스페셜티 원두를 사용 합니다.

단체주문 및 문의사항은 전화 주시면 자세히 안내해 드리겠습니다.

저희 '코너커피'는 항상 방문해 주시는 고객님들께 좋은 재료들만 사용한 수제 디저트와 베이커리, 좋은 커피만을 제공해 드릴 것을 약속 드립니다:)",,"{'커피가 맛있어요': 28, '음료가 맛있어요': 27, '친절해요': 23, '디저트가 맛있어요': 21, '특별한 메뉴가 있어요': 12, '매장이 청결해요': 12, '가성비가 좋아요': 11, '인테리어가 멋져요': 10, '사진이 잘 나와요': 8, '대화하기 좋아요': 7, '집중하기 좋아요': 5, '뷰가 좋아요': 3, '좌석이 편해요': 2, '아늑해요': 2, '음악이 좋아요': 1, '주차하기 편해요': 1, '종류가 다양해요': 1}",45,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220818_94%2F1660823527870iPHrv_PNG%2F9C5570F4-71AC-426A-AACD-084ECFE8A925.png"""
6,밀로우,"카페,디저트",0.0,137,72,경북 경산시 청운로 57-5 1층,21:30에 라스트오더,0507-1487-7028,,"조각타르트, 빵이 맛있는 베이커리카페",,"{'디저트가 맛있어요': 106, '빵이 맛있어요': 75, '음료가 맛있어요': 72, '친절해요': 60, '커피가 맛있어요': 59, '특별한 메뉴가 있어요': 54, '매장이 청결해요': 40, '인테리어가 멋져요': 36, '사진이 잘 나와요': 27, '아늑해요': 23, '대화하기 좋아요': 18, '좌석이 편해요': 5, '주차하기 편해요': 5, '화장실이 깨끗해요': 5, '차분한 분위기에요': 3, '가성비가 좋아요': 3, '뷰가 좋아요': 3, '주문제작을 잘해줘요': 1, '음식이 맛있어요': 1, '집중하기 좋아요': 1}",136,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230821_185%2F1692587776301ePSSy_JPEG%2FIMG_9265.jpeg"""
7,카페 로띠르,"카페,디저트",0.0,53,48,경북 경산시 청운로 65 1층,매주 목요일 휴무,0507-1323-6226,,"경산 수제 구움과자&과일청 가게입니다!
구움과자는 매일 아침 수제로 만들며 당일생산, 당일판매하고 있어요.

단체주문/답례품 문의 환영합니다:)",,"{'디저트가 맛있어요': 51, '음료가 맛있어요': 33, '친절해요': 32, '커피가 맛있어요': 24, '가성비가 좋아요': 18, '특별한 메뉴가 있어요': 18, '매장이 청결해요': 16, '인테리어가 멋져요': 12, '사진이 잘 나와요': 5, '아늑해요': 3, '대화하기 좋아요': 3, '빵이 맛있어요': 2, '메뉴 구성이 알차요': 2, '집중하기 좋아요': 2, '음식이 맛있어요': 1, '선물하기 좋아요': 1, '음악이 좋아요': 1}",52,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230706_114%2F16886382220466nkNz_JPEG%2FD0B41C9D-CA60-430C-A515-BFDB1A497B17.jpeg"""
8,데일리레코드,카페,4.56,490,413,경북 경산시 대학로53길 8 1층 데일리레코드 카페,22:00에 영업 종료,0507-1300-4160,,"구움과자 단체 예약 받습니다.
단체 예약시 4-5일 전엔 미리 말씀해주셔야 가능합니다.
감사합니다.",,"{'디저트가 맛있어요': 308, '커피가 맛있어요': 149, '음료가 맛있어요': 109, '매장이 청결해요': 104, '인테리어가 멋져요': 97, '친절해요': 82, '대화하기 좋아요': 76, '특별한 메뉴가 있어요': 70, '주차하기 편해요': 40, '사진이 잘 나와요': 40, '좌석이 편해요': 37, '화장실이 깨끗해요': 37, '가성비가 좋아요': 34, '집중하기 좋아요': 30, '뷰가 좋아요': 11, '차분한 분위기에요': 2, '종류가 다양해요': 2, '빵이 맛있어요': 1, '아늑해요': 1, '차가 맛있어요': 1}",439,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220428_228%2F1651117109310JMIrf_JPEG%2F1646379328759-3.jpg"""
9,비둘기는멍청해보여,"카페,디저트",4.66,170,141,경북 경산시 대학로 271,22:00에 영업 종료,010-9920-5676,,안녕하세요 카페 비둘기는 멍청해 보여입니다,,"{'음료가 맛있어요': 45, '커피가 맛있어요': 43, '인테리어가 멋져요': 37, '디저트가 맛있어요': 31, '대화하기 좋아요': 31, '친절해요': 29, '좌석이 편해요': 21, '화장실이 깨끗해요': 17, '집중하기 좋아요': 16, '매장이 청결해요': 15, '사진이 잘 나와요': 14, '특별한 메뉴가 있어요': 11, '가성비가 좋아요': 3, '매장이 넓어요': 2, '차분한 분위기에요': 1, '주차하기 편해요': 1, '반려동물과 가기 좋아요': 1, '오래 머무르기 좋아요': 1, '뷰가 좋아요': 1}",110,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_148%2F15871931405298l7qe_JPEG%2FAHxeYABnuvj1hW5R0UrOsoX5.jpeg.jpg"""
