,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,레이지모닝,"카페,디저트",4.62,1534,604,대구 북구 동천로 5-15 레이지모닝 칠곡점,08:00에 영업 시작,0507-1393-1313,,,,"{'디저트가 맛있어요': 604, '커피가 맛있어요': 514, '매장이 청결해요': 274, '음료가 맛있어요': 250, '인테리어가 멋져요': 234, '친절해요': 208, '대화하기 좋아요': 166, '특별한 메뉴가 있어요': 107, '화장실이 깨끗해요': 89, '사진이 잘 나와요': 86, '좌석이 편해요': 71, '가성비가 좋아요': 40, '뷰가 좋아요': 35, '집중하기 좋아요': 33, '주차하기 편해요': 23, '빵이 맛있어요': 8, '매장이 넓어요': 3, '음식이 맛있어요': 1, '아이와 가기 좋아요': 1, '단체모임 하기 좋아요': 1, '종류가 다양해요': 1}",1081,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231112_100%2F1699768524175rEhdd_JPEG%2F1699676174230.jpg"""
1,만재네 칠곡3지구점,"육류,고기요리",0.0,462,163,대구 북구 동천로 125-7 1층,11:30에 영업 시작,0507-1364-1928,,,,"{'음식이 맛있어요': 392, '고기 질이 좋아요': 351, '매장이 넓어요': 238, '직접 잘 구워줘요': 190, '친절해요': 184, '인테리어가 멋져요': 99, '양이 많아요': 93, '매장이 청결해요': 74, '단체모임 하기 좋아요': 62, '특별한 메뉴가 있어요': 53, '가성비가 좋아요': 23, '반찬이 잘 나와요': 11, '특별한 날 가기 좋아요': 8, '주차하기 편해요': 7, '재료가 신선해요': 4, '잡내가 적어요': 4, '뷰가 좋아요': 3, '메뉴 구성이 알차요': 2, '아늑해요': 1, '음식이 빨리 나와요': 1, '비싼 만큼 가치있어요': 1}",457,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230913_168%2F1694581019415APlTs_JPEG%2F1_%25B8%25B8%25C0%25E7%25B3%25D7_%25B8%25DE%25C0%25CE_%25BB%25E7%25C1%25F8.jpg"""
2,포도도 칠곡3지구점,"카페,디저트",0.0,80,28,대구 북구 동천로24길 5 1층 102호,11:00에 영업 시작,0507-1414-7412,,,,"{'디저트가 맛있어요': 48, '친절해요': 42, '매장이 청결해요': 28, '특별한 메뉴가 있어요': 27, '인테리어가 멋져요': 20, '사진이 잘 나와요': 16, '가성비가 좋아요': 9, '음료가 맛있어요': 5, '양이 많아요': 5, '음식이 맛있어요': 4, '커피가 맛있어요': 3, '아이와 가기 좋아요': 3, '포장이 깔끔해요': 2, '종류가 다양해요': 2, '뷰가 좋아요': 2, '아늑해요': 1, '음식이 빨리 나와요': 1, '메뉴 구성이 알차요': 1, '음악이 좋아요': 1, '반려동물과 가기 좋아요': 1, '비싼 만큼 가치있어요': 1, '매장이 넓어요': 1, '집중하기 좋아요': 1, '대화하기 좋아요': 1, '화장실이 깨끗해요': 1}",79,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230901_125%2F16935401239938Vic0_JPEG%2FKakaoTalk_20230901_124623432_02.jpg"""
3,우유담따,"카페,디저트",4.59,402,205,대구 북구 대천로 80 1층,11:00에 영업 시작,0507-1457-5598,,,,"{'디저트가 맛있어요': 246, '친절해요': 123, '특별한 메뉴가 있어요': 110, '매장이 청결해요': 95, '가성비가 좋아요': 46, '인테리어가 멋져요': 32, '사진이 잘 나와요': 22, '주차하기 편해요': 17, '음료가 맛있어요': 9, '음식이 맛있어요': 8, '커피가 맛있어요': 7, '재료가 신선해요': 7, '빵이 맛있어요': 5, '선물하기 좋아요': 5, '주문제작을 잘해줘요': 4, '비싼 만큼 가치있어요': 3, '메뉴 구성이 알차요': 2, '특별한 날 가기 좋아요': 2, '대화하기 좋아요': 2, '아늑해요': 1, '집중하기 좋아요': 1, '건강한 맛이에요': 1, '종류가 다양해요': 1, '뷰가 좋아요': 1}",289,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230414_53%2F1681462530955iXOjr_JPEG%2FA59DB59E-FF29-45E0-A74A-E06718BE1048.jpeg"""
4,레이지모닝,"카페,디저트",4.62,1534,604,대구 북구 동천로 5-15 레이지모닝 칠곡점,08:00에 영업 시작,0507-1393-1313,,,,"{'디저트가 맛있어요': 604, '커피가 맛있어요': 514, '매장이 청결해요': 274, '음료가 맛있어요': 250, '인테리어가 멋져요': 234, '친절해요': 208, '대화하기 좋아요': 166, '특별한 메뉴가 있어요': 107, '화장실이 깨끗해요': 89, '사진이 잘 나와요': 86, '좌석이 편해요': 71, '가성비가 좋아요': 40, '뷰가 좋아요': 35, '집중하기 좋아요': 33, '주차하기 편해요': 23, '빵이 맛있어요': 8, '매장이 넓어요': 3, '음식이 맛있어요': 1, '아이와 가기 좋아요': 1, '단체모임 하기 좋아요': 1, '종류가 다양해요': 1}",1081,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231112_100%2F1699768524175rEhdd_JPEG%2F1699676174230.jpg"""
5,두낫헤지테이트,카페,4.55,193,274,대구 북구 동천로 127 2층,11:00에 영업 시작,053-313-3313,,,,"{'커피가 맛있어요': 80, '음료가 맛있어요': 60, '디저트가 맛있어요': 57, '인테리어가 멋져요': 48, '친절해요': 25, '특별한 메뉴가 있어요': 21, '매장이 청결해요': 20, '대화하기 좋아요': 20, '좌석이 편해요': 19, '뷰가 좋아요': 13, '사진이 잘 나와요': 12, '화장실이 깨끗해요': 12, '가성비가 좋아요': 9, '주차하기 편해요': 3, '집중하기 좋아요': 3}",148,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220409_258%2F1649512729100HB18s_JPEG%2FKakaoTalk_20220409_225801455_08.jpg"""
6,소디스에스프레소바 대구북구점,카페,0.0,508,431,대구 북구 동천로 135-5 2층,11:00에 영업 시작,0507-1379-9486,,,,"{'커피가 맛있어요': 263, '디저트가 맛있어요': 195, '친절해요': 124, '음료가 맛있어요': 123, '인테리어가 멋져요': 117, '매장이 청결해요': 86, '특별한 메뉴가 있어요': 68, '대화하기 좋아요': 68, '사진이 잘 나와요': 67, '가성비가 좋아요': 38, '좌석이 편해요': 35, '뷰가 좋아요': 21, '주차하기 편해요': 19, '집중하기 좋아요': 10, '화장실이 깨끗해요': 6, '매장이 넓어요': 2, '빵이 맛있어요': 1, '특별한 날 가기 좋아요': 1, '종류가 다양해요': 1}",377,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220424_212%2F1650761739351GfMMt_JPEG%2FKakaoTalk_20220424_085452219_04.jpg"""
7,아침을기다리는빵,베이커리,4.44,1383,502,대구 북구 동천로24길 17,08:00에 영업 시작,,,,,"{'빵이 맛있어요': 766, '특별한 메뉴가 있어요': 189, '가성비가 좋아요': 159, '친절해요': 155, '매장이 청결해요': 124, '커피가 맛있어요': 20, '음료가 맛있어요': 20, '인테리어가 멋져요': 17, '사진이 잘 나와요': 10, '화장실이 깨끗해요': 8, '주차하기 편해요': 6, '디저트가 맛있어요': 5, '메뉴 구성이 알차요': 4, '뷰가 좋아요': 4, '좌석이 편해요': 3, '대화하기 좋아요': 3, '종류가 다양해요': 3, '집중하기 좋아요': 2, '음식이 맛있어요': 1, '재료가 신선해요': 1, '양이 많아요': 1, '건강한 맛이에요': 1}",909,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190113_266%2F15473681845579TVnw_JPEG%2F1b4Tjnc1GfkMe88QO0nZsIgu.jpeg.jpg"""
8,메종드빵,베이커리,0.0,1058,172,대구 북구 동천로 87 메종드빵,09:00에 영업 시작,0507-1438-2356,,,,"{'빵이 맛있어요': 917, '친절해요': 242, '특별한 메뉴가 있어요': 233, '매장이 청결해요': 139, '가성비가 좋아요': 92, '커피가 맛있어요': 71, '음료가 맛있어요': 41, '인테리어가 멋져요': 32, '주차하기 편해요': 23, '사진이 잘 나와요': 8, '집중하기 좋아요': 5, '대화하기 좋아요': 4, '좌석이 편해요': 3, '종류가 다양해요': 3, '뷰가 좋아요': 2, '디저트가 맛있어요': 1, '재료가 신선해요': 1, '건강한 맛이에요': 1, '화장실이 깨끗해요': 1}",1043,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230728_166%2F1690519819543C9F6x_JPEG%2FTKDYD_%252812%2529.jpg"""
9,복호두 칠곡점,호두과자,0.0,35,6,대구 북구 학정로 439 1층 102호,09:30에 영업 시작,0507-1413-3041,,,,"{'디저트가 맛있어요': 22, '친절해요': 15, '매장이 청결해요': 15, '특별한 메뉴가 있어요': 14, '가성비가 좋아요': 12, '선물하기 좋아요': 4, '인테리어가 멋져요': 3, '포장이 깔끔해요': 2, '빵이 맛있어요': 1, '음료가 맛있어요': 1, '음식이 빨리 나와요': 1, '음식이 맛있어요': 1, '재료가 신선해요': 1, '건강한 맛이에요': 1}",32,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231027_66%2F1698397233912J0Rz0_JPEG%2F20231027_151540.jpg"""
