,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,카페이랑,"카페,디저트",0.0,267,61,대구 서구 국채보상로48길 6-7,10:00에 영업 시작,0507-1312-2099,,,,"{'커피가 맛있어요': 85, '친절해요': 59, '대화하기 좋아요': 39, '음료가 맛있어요': 34, '디저트가 맛있어요': 32, '인테리어가 멋져요': 26, '매장이 청결해요': 23, '특별한 메뉴가 있어요': 18, '좌석이 편해요': 17, '집중하기 좋아요': 16, '사진이 잘 나와요': 14, '화장실이 깨끗해요': 11, '주차하기 편해요': 10, '가성비가 좋아요': 10, '뷰가 좋아요': 6, '매장이 넓어요': 1}",150,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230816_112%2F1692166158385THtwL_JPEG%2F%25C0%25CC%25B6%25FB02."""
1,오헤이,"카페,디저트",0.0,73,61,대구 달서구 야외음악당로 265 1층,12:00에 영업 시작,0507-1338-9370,,,,"{'디저트가 맛있어요': 33, '커피가 맛있어요': 31, '친절해요': 28, '뷰가 좋아요': 21, '음료가 맛있어요': 20, '매장이 청결해요': 18, '인테리어가 멋져요': 16, '사진이 잘 나와요': 15, '대화하기 좋아요': 13, '화장실이 깨끗해요': 7, '특별한 메뉴가 있어요': 5, '반려동물과 가기 좋아요': 3, '차분한 분위기에요': 2, '좌석이 편해요': 2, '아늑해요': 1, '가성비가 좋아요': 1, '집중하기 좋아요': 1}",72,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230421_29%2F16820536601869Ceym_PNG%2FKakaoTalk_20230421_140640068.png"""
2,슈슈카롱,"카페,디저트",4.97,944,282,대구 서구 국채보상로34길 12 중리롯데캐슬상가 129동121호 1층,10:00에 영업 시작,010-6889-5211,,,,"{'친절해요': 482, '매장이 청결해요': 349, '특별한 메뉴가 있어요': 335, '가성비가 좋아요': 334, '디저트가 맛있어요': 264, '빵이 맛있어요': 261, '주차하기 편해요': 212, '커피가 맛있어요': 141, '음료가 맛있어요': 106, '인테리어가 멋져요': 75, '사진이 잘 나와요': 48, '대화하기 좋아요': 29, '음식이 맛있어요': 19, '좌석이 편해요': 18, '메뉴 구성이 알차요': 14, '종류가 다양해요': 8, '뷰가 좋아요': 8, '집중하기 좋아요': 7, '화장실이 깨끗해요': 7, '재료가 신선해요': 4, '선물하기 좋아요': 3, '코스요리가 알차요': 2, '양이 많아요': 2, '포장이 깔끔해요': 2, '파티하기 좋아요': 2, '비싼 만큼 가치있어요': 2, '건강한 맛이에요': 2, '술이 다양해요': 1, '차분한 분위기에요': 1, '읽을만한 책이 많아요': 1, '아늑해요': 1, '혼술하기 좋아요': 1, '음식이 빨리 나와요': 1, '아이와 가기 좋아요': 1, '기본 안주가 좋아요': 1, '특별한 날 가기 좋아요': 1, '오래 머무르기 좋아요': 1}",714,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230430_81%2F1682854859252bWRDe_JPEG%2FIMG_5181.jpeg"""
3,퀸즈크라운베이커리카페,"카페,디저트",4.46,4125,508,대구 서구 서대구로 118 1층~4층,08:30에 영업 시작,053-567-8080,,,,"{'디저트가 맛있어요': 1222, '커피가 맛있어요': 980, '인테리어가 멋져요': 675, '좌석이 편해요': 592, '대화하기 좋아요': 546, '음료가 맛있어요': 492, '매장이 청결해요': 418, '친절해요': 322, '주차하기 편해요': 228, '특별한 메뉴가 있어요': 228, '화장실이 깨끗해요': 192, '뷰가 좋아요': 158, '사진이 잘 나와요': 156, '집중하기 좋아요': 151, '가성비가 좋아요': 118, '매장이 넓어요': 9, '빵이 맛있어요': 4, '오래 머무르기 좋아요': 4, '단체모임 하기 좋아요': 4, '아이와 가기 좋아요': 3, '양이 많아요': 2, '종류가 다양해요': 2, '차분한 분위기에요': 1, '음식이 빨리 나와요': 1}",2717,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200717_39%2F1594982403930zEiVo_JPEG%2Fzr8rgmt3mSKtMaZj0E5Ez0m7.jpeg.jpg"""
4,바닐라빌리지,"카페,디저트",0.0,539,539,대구 서구 서대구로 152 원진빌딩 1층,11/17 휴무,0507-1315-5210,,,,"{'인테리어가 멋져요': 288, '디저트가 맛있어요': 259, '커피가 맛있어요': 231, '사진이 잘 나와요': 182, '음료가 맛있어요': 142, '매장이 청결해요': 118, '친절해요': 113, '특별한 메뉴가 있어요': 84, '대화하기 좋아요': 55, '화장실이 깨끗해요': 34, '좌석이 편해요': 30, '가성비가 좋아요': 24, '아늑해요': 16, '매장이 넓어요': 15, '뷰가 좋아요': 12, '빵이 맛있어요': 11, '주차하기 편해요': 9, '집중하기 좋아요': 5, '컨셉이 독특해요': 1, '포장이 깔끔해요': 1}",532,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230212_167%2F1676165675798QB1gG_JPEG%2FKakaoTalk_20230212_103155602.jpg"""
5,까레몽,베이커리,4.38,365,60,대구 서구 서대구로 77 평리청구타운상가,08:30에 영업 시작,053-565-0107,,,,"{'빵이 맛있어요': 212, '친절해요': 110, '매장이 청결해요': 64, '특별한 메뉴가 있어요': 52, '가성비가 좋아요': 49, '인테리어가 멋져요': 17, '음료가 맛있어요': 11, '커피가 맛있어요': 10, '디저트가 맛있어요': 9, '아늑해요': 6, '사진이 잘 나와요': 5, '집중하기 좋아요': 2, '대화하기 좋아요': 2, '건강한 맛이에요': 2, '차분한 분위기에요': 1, '음식이 맛있어요': 1, '메뉴 구성이 알차요': 1, '종류가 다양해요': 1}",251,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230710_62%2F1688974050229OURTQ_JPEG%2F6BB2D1B0-461E-4CB4-B883-BC4C5A2717FB.jpeg"""
6,하프힐,"카페,디저트",0.0,272,183,대구 서구 달구벌대로375길 23-1 하프힐 1층,12:00에 영업 시작,0507-1320-5029,,,,"{'커피가 맛있어요': 121, '디저트가 맛있어요': 115, '친절해요': 109, '음료가 맛있어요': 78, '인테리어가 멋져요': 75, '매장이 청결해요': 44, '대화하기 좋아요': 44, '사진이 잘 나와요': 31, '가성비가 좋아요': 30, '특별한 메뉴가 있어요': 29, '좌석이 편해요': 21, '집중하기 좋아요': 8, '화장실이 깨끗해요': 6, '뷰가 좋아요': 5, '아늑해요': 3, '주차하기 편해요': 2, '차분한 분위기에요': 1, '빵이 맛있어요': 1, '음식이 맛있어요': 1, '음악이 좋아요': 1, '오래 머무르기 좋아요': 1, '건강한 맛이에요': 1, '종류가 다양해요': 1}",218,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231104_289%2F1699064117738ckNXc_JPEG%2FA8AAE696-2574-4171-9CD6-438E003E087C.jpeg"""
7,로비로비,"카페,디저트",0.0,208,209,대구 서구 와룡로90길 55 1층,11:00에 영업 시작,0507-1315-1693,,,,"{'디저트가 맛있어요': 108, '인테리어가 멋져요': 100, '특별한 메뉴가 있어요': 97, '커피가 맛있어요': 80, '친절해요': 71, '매장이 청결해요': 58, '음식이 맛있어요': 51, '음료가 맛있어요': 50, '사진이 잘 나와요': 29, '대화하기 좋아요': 23, '매장이 넓어요': 22, '재료가 신선해요': 14, '가성비가 좋아요': 12, '주차하기 편해요': 8, '뷰가 좋아요': 7, '양이 많아요': 5, '메뉴 구성이 알차요': 5, '음악이 좋아요': 4, '특별한 날 가기 좋아요': 4, '단체모임 하기 좋아요': 4, '좌석이 편해요': 3, '비싼 만큼 가치있어요': 3, '화장실이 깨끗해요': 3, '종류가 다양해요': 3, '혼밥하기 좋아요': 2, '차분한 분위기에요': 1, '컨셉이 독특해요': 1, '아늑해요': 1, '아이와 가기 좋아요': 1, '집중하기 좋아요': 1}",207,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230612_213%2F1686536153446blLWw_JPEG%2F_MG_5862."""
8,삼송빵집 서대구점,베이커리,0.0,11,3,대구 서구 국채보상로 243 한국업사이클센터 1층,09:00에 영업 시작,053-218-0450,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231025_258%2F1698200868965iz3F7_PNG%2F%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F8.png"""
9,스타벅스 대구평리DT점,카페,4.5,4801,118,대구 서구 서대구로 89,,1522-3232,,,,"{'커피가 맛있어요': 1368, '친절해요': 737, '음료가 맛있어요': 595, '디저트가 맛있어요': 403, '매장이 청결해요': 312, '대화하기 좋아요': 221, '특별한 메뉴가 있어요': 169, '좌석이 편해요': 157, '주차하기 편해요': 137, '인테리어가 멋져요': 128, '집중하기 좋아요': 118, '화장실이 깨끗해요': 112, '가성비가 좋아요': 86, '뷰가 좋아요': 63, '사진이 잘 나와요': 49, '차분한 분위기에요': 1, '혼밥하기 좋아요': 1, '오래 머무르기 좋아요': 1, '종류가 다양해요': 1}",2686,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
