,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,크레페영 대구다사점,크레페,0.0,265,39,대구 달성군 다사읍 달구벌대로 874 B동 1층 111호 크레페영,11:30에 영업 시작,0507-1447-6674,,,,"{'디저트가 맛있어요': 240, '친절해요': 192, '매장이 청결해요': 150, '특별한 메뉴가 있어요': 120, '가성비가 좋아요': 118, '음료가 맛있어요': 101, '커피가 맛있어요': 59, '인테리어가 멋져요': 51, '대화하기 좋아요': 20, '사진이 잘 나와요': 16, '음식이 맛있어요': 13, '메뉴 구성이 알차요': 12, '좌석이 편해요': 7, '주차하기 편해요': 6, '아이와 가기 좋아요': 5, '종류가 다양해요': 5, '아늑해요': 4, '음악이 좋아요': 3, '뷰가 좋아요': 3, '양이 많아요': 2, '포장이 깔끔해요': 2, '화장실이 깨끗해요': 2, '주문제작을 잘해줘요': 1, '음식이 빨리 나와요': 1, '비싼 만큼 가치있어요': 1, '집중하기 좋아요': 1}",261,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230806_300%2F1691333146353UYLhF_PNG%2F%25B7%25CE%25B0%25ED.png"""
1,돈까스 무한리필 돈신 동성로,양식,0.0,281,280,대구 중구 남성로 40-1 2층,11:30에 영업 시작,0507-1341-8414,,,,"{'음식이 맛있어요': 192, '가성비가 좋아요': 143, '친절해요': 116, '양이 많아요': 109, '매장이 넓어요': 109, '매장이 청결해요': 100, '재료가 신선해요': 88, '특별한 메뉴가 있어요': 53, '단체모임 하기 좋아요': 40, '인테리어가 멋져요': 30, '혼밥하기 좋아요': 29, '화장실이 깨끗해요': 20, '메뉴 구성이 알차요': 15, '뷰가 좋아요': 11, '샐러드바가 잘 되어있어요': 8, '특별한 날 가기 좋아요': 7, '아이와 가기 좋아요': 4, '대화하기 좋아요': 3, '차분한 분위기에요': 2, '주차하기 편해요': 2, '컨셉이 독특해요': 1, '코스요리가 알차요': 1, '아늑해요': 1, '음악이 좋아요': 1, '사진이 잘 나와요': 1, '룸이 잘 되어있어요': 1, '반찬이 잘 나와요': 1, '향신료가 강하지 않아요': 1, '오래 머무르기 좋아요': 1, '건강한 맛이에요': 1}",274,
2,무화커피,"카페,디저트",4.54,1374,1094,대구 수성구 국채보상로186길 81 2층 무화커피,10:30에 영업 시작,0507-1437-9188,,,,"{'커피가 맛있어요': 596, '뷰가 좋아요': 403, '디저트가 맛있어요': 330, '인테리어가 멋져요': 295, '음료가 맛있어요': 218, '친절해요': 194, '사진이 잘 나와요': 173, '매장이 청결해요': 162, '대화하기 좋아요': 144, '특별한 메뉴가 있어요': 79, '화장실이 깨끗해요': 64, '좌석이 편해요': 63, '주차하기 편해요': 57, '집중하기 좋아요': 25, '가성비가 좋아요': 19, '매장이 넓어요': 14, '음악이 좋아요': 5, '차분한 분위기에요': 4, '야외 공간이 멋져요': 3, '아늑해요': 2, '비싼 만큼 가치있어요': 2, '컨셉이 독특해요': 1, '선물하기 좋아요': 1, '오래 머무르기 좋아요': 1, '차가 맛있어요': 1, '단체모임 하기 좋아요': 1}",869,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200910_61%2F1599720895720loSlI_JPEG%2FnDPRPe_WSbQ2088DZDtgIXrp.jpg"""
3,오디너리하우스,"카페,디저트",4.54,2266,1331,대구 중구 동성로2길 21-8,12:00에 영업 시작,0507-1423-7826,,,,"{'디저트가 맛있어요': 903, '커피가 맛있어요': 634, '인테리어가 멋져요': 614, '음료가 맛있어요': 379, '사진이 잘 나와요': 259, '대화하기 좋아요': 255, '매장이 청결해요': 235, '특별한 메뉴가 있어요': 234, '친절해요': 212, '좌석이 편해요': 171, '뷰가 좋아요': 56, '가성비가 좋아요': 55, '화장실이 깨끗해요': 55, '집중하기 좋아요': 26, '주차하기 편해요': 10, '매장이 넓어요': 10, '종류가 다양해요': 4, '컨셉이 독특해요': 3, '음식이 빨리 나와요': 2, '음식이 맛있어요': 2, '차분한 분위기에요': 1, '메뉴 구성이 알차요': 1, '오래 머무르기 좋아요': 1}",1624,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220719_66%2F16582209497975mHqx_JPEG%2F62178AD4-CE2D-4703-80F5-67794F2BB26E.jpeg"""
4,굿테이스트커피 by 커피맛을조금아는남자,"카페,디저트",0.0,769,471,대구 동구 팔공산로277길 26 26-1(백안동),10:00에 영업 시작,070-8865-4603,,,,"{'커피가 맛있어요': 462, '뷰가 좋아요': 344, '주차하기 편해요': 266, '디저트가 맛있어요': 189, '인테리어가 멋져요': 177, '음료가 맛있어요': 142, '사진이 잘 나와요': 142, '친절해요': 140, '매장이 청결해요': 118, '특별한 메뉴가 있어요': 86, '대화하기 좋아요': 64, '화장실이 깨끗해요': 49, '좌석이 편해요': 16, '가성비가 좋아요': 16, '매장이 넓어요': 13, '집중하기 좋아요': 6, '야외 공간이 멋져요': 4, '차분한 분위기에요': 1, '메뉴 구성이 알차요': 1, '음악이 좋아요': 1, '반려동물과 가기 좋아요': 1, '오래 머무르기 좋아요': 1}",739,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221012_86%2F1665564089201F4CoB_JPEG%2FKakaoTalk_20221012_163906361_02.jpg"""
5,브리니 팔공,"카페,디저트",0.0,1861,915,대구 동구 팔공로206길 4,11:00에 영업 시작,0507-1401-7077,,,,"{'커피가 맛있어요': 966, '인테리어가 멋져요': 764, '뷰가 좋아요': 683, '디저트가 맛있어요': 574, '사진이 잘 나와요': 429, '음료가 맛있어요': 370, '주차하기 편해요': 350, '친절해요': 336, '매장이 청결해요': 281, '대화하기 좋아요': 170, '특별한 메뉴가 있어요': 150, '화장실이 깨끗해요': 111, '좌석이 편해요': 49, '가성비가 좋아요': 38, '야외 공간이 멋져요': 17, '집중하기 좋아요': 13, '매장이 넓어요': 6, '아이와 가기 좋아요': 4, '빵이 맛있어요': 2, '반려동물과 가기 좋아요': 2, '차분한 분위기에요': 1, '컨셉이 독특해요': 1, '메뉴 구성이 알차요': 1, '비싼 만큼 가치있어요': 1, '오래 머무르기 좋아요': 1, '건강한 맛이에요': 1}",1830,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220527_173%2F1653659359783f0kTo_JPEG%2F%25BA%25EA%25B8%25AE%25B4%25CF.%25C6%25C8%25B0%25F8.1-1IMG_0025."""
6,헤이마,카페,4.48,1681,1639,대구 동구 파계로 583,10:00에 영업 시작,053-986-7773,,,,"{'커피가 맛있어요': 355, '인테리어가 멋져요': 287, '디저트가 맛있어요': 240, '뷰가 좋아요': 238, '사진이 잘 나와요': 141, '주차하기 편해요': 132, '음료가 맛있어요': 109, '매장이 청결해요': 98, '친절해요': 86, '대화하기 좋아요': 67, '특별한 메뉴가 있어요': 46, '화장실이 깨끗해요': 40, '좌석이 편해요': 37, '가성비가 좋아요': 31, '집중하기 좋아요': 27, '야외 공간이 멋져요': 8, '매장이 넓어요': 4, '컨셉이 독특해요': 2, '비싼 만큼 가치있어요': 1, '특별한 날 가기 좋아요': 1}",741,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221012_293%2F1665548572242Dzrru_JPEG%2F%25C7%25EC%25C0%25CC%25B8%25B6_%25BB%25E7%25C1%25F82.jpeg"""
7,랑데자뷰 대구동성로점,"카페,디저트",4.62,922,889,대구 중구 동성로2길 50-9,12:00에 영업 시작,0507-1332-5843,,,,"{'인테리어가 멋져요': 360, '사진이 잘 나와요': 264, '디저트가 맛있어요': 263, '커피가 맛있어요': 248, '음료가 맛있어요': 229, '친절해요': 149, '특별한 메뉴가 있어요': 127, '뷰가 좋아요': 115, '매장이 청결해요': 111, '대화하기 좋아요': 101, '좌석이 편해요': 50, '가성비가 좋아요': 46, '화장실이 깨끗해요': 33, '집중하기 좋아요': 24, '주차하기 편해요': 7, '매장이 넓어요': 7, '컨셉이 독특해요': 5, '음악이 좋아요': 3, '야외 공간이 멋져요': 3, '빵이 맛있어요': 1, '특별한 날 가기 좋아요': 1, '단체모임 하기 좋아요': 1}",661,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210923_35%2F1632382541483utxdh_JPEG%2Fk8PWz0MdkudK1ahJi7k0fKVb.jpg"""
8,스타벅스 대구종로고택점,카페,0.0,2041,1575,대구 중구 중앙대로77길 22,08:00에 영업 시작,1522-3232,,,,"{'인테리어가 멋져요': 999, '커피가 맛있어요': 659, '뷰가 좋아요': 579, '사진이 잘 나와요': 532, '음료가 맛있어요': 377, '친절해요': 369, '매장이 청결해요': 338, '디저트가 맛있어요': 291, '대화하기 좋아요': 227, '특별한 메뉴가 있어요': 164, '화장실이 깨끗해요': 120, '좌석이 편해요': 115, '가성비가 좋아요': 50, '집중하기 좋아요': 37, '주차하기 편해요': 28, '야외 공간이 멋져요': 21, '컨셉이 독특해요': 11, '아늑해요': 6, '매장이 넓어요': 5, '차분한 분위기에요': 2, '음악이 좋아요': 2, '오래 머무르기 좋아요': 2, '빵이 맛있어요': 1, '음식이 빨리 나와요': 1, '선물하기 좋아요': 1, '아이와 가기 좋아요': 1, '룸이 잘 되어있어요': 1, '특별한 날 가기 좋아요': 1, '건강한 맛이에요': 1, '종류가 다양해요': 1}",2014,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
9,삼송빵집 본점,베이커리,4.28,4094,1518,대구 중구 중앙대로 397,08:00에 영업 시작,053-254-4064,,,,"{'빵이 맛있어요': 1922, '특별한 메뉴가 있어요': 615, '친절해요': 464, '매장이 청결해요': 307, '가성비가 좋아요': 166, '커피가 맛있어요': 84, '음료가 맛있어요': 64, '인테리어가 멋져요': 63, '대화하기 좋아요': 23, '뷰가 좋아요': 21, '좌석이 편해요': 19, '사진이 잘 나와요': 19, '주차하기 편해요': 14, '집중하기 좋아요': 13, '화장실이 깨끗해요': 11, '디저트가 맛있어요': 5, '음식이 맛있어요': 5, '재료가 신선해요': 4, '종류가 다양해요': 3, '양이 많아요': 2, '건강한 맛이에요': 2, '차분한 분위기에요': 1, '음식이 빨리 나와요': 1, '메뉴 구성이 알차요': 1, '매장이 넓어요': 1}",2423,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200510_106%2F1589094151318RrDw0_JPEG%2FzHfA5u0YZ4pRgWdAjT_6y-DO.jpg"""
10,크래프터,"카페,디저트",4.53,963,634,대구 남구 현충로 41-3,12:00에 영업 시작,0507-1392-4525,,,,"{'디저트가 맛있어요': 617, '커피가 맛있어요': 473, '인테리어가 멋져요': 261, '친절해요': 202, '음료가 맛있어요': 200, '특별한 메뉴가 있어요': 153, '사진이 잘 나와요': 112, '매장이 청결해요': 105, '대화하기 좋아요': 86, '뷰가 좋아요': 45, '화장실이 깨끗해요': 24, '가성비가 좋아요': 14, '좌석이 편해요': 11, '주차하기 편해요': 10, '집중하기 좋아요': 8, '아늑해요': 7, '종류가 다양해요': 4, '음식이 빨리 나와요': 2, '음식이 맛있어요': 2, '선물하기 좋아요': 2, '차분한 분위기에요': 1, '음악이 좋아요': 1}",768,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220920_286%2F1663601216408G2hxX_JPEG%2F7B075C0C-15FD-4F30-B74B-EB8D20E7E319.jpeg"""
11,만재네 들안길점,"육류,고기요리",0.0,1070,471,대구 수성구 들안로 125 1층,12:00에 영업 시작,0507-1371-2270,,,,"{'음식이 맛있어요': 769, '고기 질이 좋아요': 638, '친절해요': 497, '직접 잘 구워줘요': 496, '인테리어가 멋져요': 322, '매장이 넓어요': 298, '매장이 청결해요': 274, '주차하기 편해요': 192, '양이 많아요': 161, '단체모임 하기 좋아요': 148, '특별한 메뉴가 있어요': 129, '가성비가 좋아요': 84, '특별한 날 가기 좋아요': 60, '재료가 신선해요': 40, '뷰가 좋아요': 22, '반찬이 잘 나와요': 11, '혼밥하기 좋아요': 9, '메뉴 구성이 알차요': 7, '비싼 만큼 가치있어요': 4, '화장실이 깨끗해요': 4, '아이와 가기 좋아요': 3, '잡내가 적어요': 3, '룸이 잘 되어있어요': 3, '좌석이 편해요': 2, '아늑해요': 2, '음식이 빨리 나와요': 1, '건강한 맛이에요': 1}",1057,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230810_218%2F16916655199061gXVk_JPEG%2F%25B8%25B8%25C0%25E7%25B3%25D7_%25B8%25DE%25C0%25CE_%25BB%25E7%25C1%25F8.jpg"""
