,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,두낫디스터브 동대구점,"카페,디저트",4.7,883,290,대구 동구 동부로30길 9 나동 1층,10:00에 영업 시작,0507-1394-5125,,,,"{'커피가 맛있어요': 340, '인테리어가 멋져요': 231, '음료가 맛있어요': 198, '친절해요': 175, '대화하기 좋아요': 159, '사진이 잘 나와요': 152, '디저트가 맛있어요': 141, '매장이 청결해요': 122, '좌석이 편해요': 68, '특별한 메뉴가 있어요': 61, '뷰가 좋아요': 55, '가성비가 좋아요': 50, '집중하기 좋아요': 41, '화장실이 깨끗해요': 17, '주차하기 편해요': 7, '반려동물과 가기 좋아요': 3, '매장이 넓어요': 3, '술이 다양해요': 1, '컨셉이 독특해요': 1, '음악이 좋아요': 1}",644,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210612_106%2F16234848770481IRgx_JPEG%2F8peXTgrEeElFjD5ksgE7D3Cq.jpeg.jpg"""
1,대구근대골목단팥빵 동대구역사점,대구근대골목단팥빵,4.34,412,236,대구 동구 동대구로 550,06:00에 영업 시작,053-716-1883,,,,"{'빵이 맛있어요': 115, '친절해요': 43, '특별한 메뉴가 있어요': 36, '매장이 청결해요': 23, '가성비가 좋아요': 16, '커피가 맛있어요': 6, '음료가 맛있어요': 4, '좌석이 편해요': 3, '디저트가 맛있어요': 3, '주차하기 편해요': 3, '사진이 잘 나와요': 3, '인테리어가 멋져요': 2, '비싼 만큼 가치있어요': 2, '화장실이 깨끗해요': 2, '아늑해요': 1, '양이 많아요': 1, '메뉴 구성이 알차요': 1, '종류가 다양해요': 1}",129,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161230_285%2F1483071223962ObgxX_JPEG%2F177180534363087_0.jpeg"""
2,무화커피,"카페,디저트",4.54,1374,1094,대구 수성구 국채보상로186길 81 2층 무화커피,10:30에 영업 시작,0507-1437-9188,,,,"{'커피가 맛있어요': 596, '뷰가 좋아요': 403, '디저트가 맛있어요': 330, '인테리어가 멋져요': 295, '음료가 맛있어요': 218, '친절해요': 194, '사진이 잘 나와요': 173, '매장이 청결해요': 162, '대화하기 좋아요': 144, '특별한 메뉴가 있어요': 79, '화장실이 깨끗해요': 64, '좌석이 편해요': 63, '주차하기 편해요': 57, '집중하기 좋아요': 25, '가성비가 좋아요': 19, '매장이 넓어요': 14, '음악이 좋아요': 5, '차분한 분위기에요': 4, '야외 공간이 멋져요': 3, '아늑해요': 2, '비싼 만큼 가치있어요': 2, '컨셉이 독특해요': 1, '선물하기 좋아요': 1, '오래 머무르기 좋아요': 1, '차가 맛있어요': 1, '단체모임 하기 좋아요': 1}",869,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200910_61%2F1599720895720loSlI_JPEG%2FnDPRPe_WSbQ2088DZDtgIXrp.jpg"""
3,노티드 대구신세계,카페,0.0,165,151,대구 동구 동부로 149 신세계동대구복합환승센터 지하1층,10:30에 영업 시작,,,,,"{'디저트가 맛있어요': 137, '특별한 메뉴가 있어요': 59, '친절해요': 40, '매장이 청결해요': 16, '커피가 맛있어요': 13, '음료가 맛있어요': 12, '주차하기 편해요': 12, '가성비가 좋아요': 10, '사진이 잘 나와요': 3, '화장실이 깨끗해요': 3, '선물하기 좋아요': 2, '빵이 맛있어요': 1, '음식이 맛있어요': 1, '인테리어가 멋져요': 1, '포장이 깔끔해요': 1, '비싼 만큼 가치있어요': 1, '매장이 넓어요': 1, '대화하기 좋아요': 1, '종류가 다양해요': 1}",159,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231017_219%2F1697504008703RjxfT_PNG%2FUntitled-11-03.png"""
4,연화,"카페,디저트",4.65,389,903,대구 동구 동부로34길 3 연화,12:00에 영업 시작,0507-1341-9411,,,,"{'디저트가 맛있어요': 184, '특별한 메뉴가 있어요': 120, '커피가 맛있어요': 117, '음료가 맛있어요': 93, '인테리어가 멋져요': 85, '친절해요': 83, '대화하기 좋아요': 54, '사진이 잘 나와요': 53, '매장이 청결해요': 20, '가성비가 좋아요': 13, '집중하기 좋아요': 10, '아늑해요': 7, '뷰가 좋아요': 5, '차분한 분위기에요': 4, '좌석이 편해요': 4, '음식이 맛있어요': 1, '음악이 좋아요': 1}",290,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210422_214%2F1619060939092uq5Np_JPEG%2Fha1oJwCB6esza6cOMrEinLgA.jpeg.jpg"""
5,인문공학,"카페,디저트",4.45,778,929,대구 동구 동부로 156 인문공학 동대구,11/17 휴무,070-4790-1187,,,,"{'디저트가 맛있어요': 271, '커피가 맛있어요': 245, '친절해요': 149, '인테리어가 멋져요': 147, '음료가 맛있어요': 126, '매장이 청결해요': 85, '대화하기 좋아요': 84, '특별한 메뉴가 있어요': 71, '사진이 잘 나와요': 58, '뷰가 좋아요': 39, '화장실이 깨끗해요': 33, '좌석이 편해요': 30, '집중하기 좋아요': 21, '가성비가 좋아요': 10, '차분한 분위기에요': 4, '주차하기 편해요': 4, '아늑해요': 3, '음악이 좋아요': 2, '비싼 만큼 가치있어요': 1, '매장이 넓어요': 1, '오래 머무르기 좋아요': 1}",511,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230824_206%2F1692855977240f2FOB_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2023-08-24_%25BF%25C0%25C8%25C4_2.46.09.png"""
6,도우맨도넛,도넛,4.72,460,455,대구 동구 동부로30길 3-5 DOUGHMAN,12:00에 영업 시작,0507-1305-1281,,,,"{'디저트가 맛있어요': 233, '친절해요': 116, '커피가 맛있어요': 102, '특별한 메뉴가 있어요': 85, '인테리어가 멋져요': 62, '음료가 맛있어요': 54, '매장이 청결해요': 50, '대화하기 좋아요': 43, '좌석이 편해요': 24, '화장실이 깨끗해요': 22, '사진이 잘 나와요': 20, '가성비가 좋아요': 13, '집중하기 좋아요': 9, '뷰가 좋아요': 6, '아늑해요': 4, '차분한 분위기에요': 3, '빵이 맛있어요': 1, '음식이 맛있어요': 1, '포장이 깔끔해요': 1, '비싼 만큼 가치있어요': 1}",313,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230312_4%2F167859134164234yo7_JPEG%2FA190A8AE-A5D5-4246-B15B-5259AD8333CB.jpeg"""
7,애리스커피스탠드,"카페,디저트",0.0,444,879,대구 동구 동부로32길 2,09:00에 영업 시작,010-2426-3311,,,,"{'커피가 맛있어요': 249, '음료가 맛있어요': 72, '특별한 메뉴가 있어요': 64, '디저트가 맛있어요': 62, '친절해요': 53, '가성비가 좋아요': 52, '인테리어가 멋져요': 49, '사진이 잘 나와요': 26, '매장이 청결해요': 25, '대화하기 좋아요': 16, '뷰가 좋아요': 11, '집중하기 좋아요': 7, '아늑해요': 2, '좌석이 편해요': 1, '음악이 좋아요': 1, '야외 공간이 멋져요': 1, '주차하기 편해요': 1, '화장실이 깨끗해요': 1}",326,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200801_246%2F1596236224761mW8Gq_JPEG%2FxkS7vmR8dGoFa-GbzKZcTENA.jpeg.jpg"""
8,바우트,"카페,디저트",0.0,62,96,대구 동구 동부로26길 18,11:00에 영업 시작,0507-1471-0485,,,,"{'커피가 맛있어요': 52, '인테리어가 멋져요': 42, '디저트가 맛있어요': 32, '음료가 맛있어요': 21, '사진이 잘 나와요': 17, '특별한 메뉴가 있어요': 15, '친절해요': 14, '매장이 청결해요': 14, '대화하기 좋아요': 8, '주차하기 편해요': 7, '매장이 넓어요': 5, '가성비가 좋아요': 4, '뷰가 좋아요': 4, '집중하기 좋아요': 3, '차분한 분위기에요': 1, '음식이 빨리 나와요': 1, '음식이 맛있어요': 1, '화장실이 깨끗해요': 1}",61,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230919_131%2F16951273129191vUMY_JPEG%2F01D9E6C1-993A-4E4D-BA95-2B707ADE7020.jpeg"""
9,수형당,베이커리,0.0,69,198,대구 동구 동대구로 550 선상통로내 수형당,06:00에 영업 시작,053-716-1884,,,,"{'빵이 맛있어요': 49, '특별한 메뉴가 있어요': 33, '친절해요': 19, '주차하기 편해요': 6, '매장이 청결해요': 5, '가성비가 좋아요': 2, '커피가 맛있어요': 1, '인테리어가 멋져요': 1, '비싼 만큼 가치있어요': 1, '뷰가 좋아요': 1}",65,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231019_267%2F16976892655889JQUv_JPEG%2F%25B4%25C9%25B1%25DD%25BB%25A7.jpg"""
