,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,만재네 범어점,"육류,고기요리",0.0,649,354,대구 수성구 상록로 10,11:30에 영업 시작,0507-1463-2017,,,,"{'음식이 맛있어요': 517, '고기 질이 좋아요': 306, '친절해요': 271, '직접 잘 구워줘요': 195, '양이 많아요': 104, '매장이 넓어요': 99, '특별한 메뉴가 있어요': 82, '단체모임 하기 좋아요': 78, '가성비가 좋아요': 70, '매장이 청결해요': 68, '인테리어가 멋져요': 59, '재료가 신선해요': 46, '특별한 날 가기 좋아요': 11, '혼밥하기 좋아요': 9, '반찬이 잘 나와요': 7, '메뉴 구성이 알차요': 6, '화장실이 깨끗해요': 6, '뷰가 좋아요': 6, '잡내가 적어요': 4, '음식이 빨리 나와요': 2, '주차하기 편해요': 2, '차분한 분위기에요': 1, '좌석이 편해요': 1, '컨셉이 독특해요': 1, '아늑해요': 1, '룸이 잘 되어있어요': 1, '건강한 맛이에요': 1, '환기가 잘 돼요': 1}",630,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230811_274%2F16917247073878FToj_JPEG%2F1_%25B8%25B8%25C0%25E7%25B3%25D7_%25B8%25DE%25C0%25CE_%25BB%25E7%25C1%25F8.jpg"""
1,정스콘,"카페,디저트",4.87,116,67,대구 수성구 범어로 119-1,11:00에 영업 시작,0507-1366-7427,,,,"{'디저트가 맛있어요': 83, '친절해요': 66, '매장이 청결해요': 43, '인테리어가 멋져요': 29, '특별한 메뉴가 있어요': 28, '커피가 맛있어요': 24, '음료가 맛있어요': 22, '가성비가 좋아요': 20, '대화하기 좋아요': 19, '사진이 잘 나와요': 18, '화장실이 깨끗해요': 6, '집중하기 좋아요': 5, '주차하기 편해요': 2, '차분한 분위기에요': 1, '좌석이 편해요': 1, '반려동물과 가기 좋아요': 1}",96,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220511_40%2F1652251647689xvHVA_JPEG%2F1652196967969.jpg"""
2,무화커피,"카페,디저트",4.54,1374,1094,대구 수성구 국채보상로186길 81 2층 무화커피,10:30에 영업 시작,0507-1437-9188,,,,"{'커피가 맛있어요': 596, '뷰가 좋아요': 403, '디저트가 맛있어요': 330, '인테리어가 멋져요': 295, '음료가 맛있어요': 218, '친절해요': 194, '사진이 잘 나와요': 173, '매장이 청결해요': 162, '대화하기 좋아요': 144, '특별한 메뉴가 있어요': 79, '화장실이 깨끗해요': 64, '좌석이 편해요': 63, '주차하기 편해요': 57, '집중하기 좋아요': 25, '가성비가 좋아요': 19, '매장이 넓어요': 14, '음악이 좋아요': 5, '차분한 분위기에요': 4, '야외 공간이 멋져요': 3, '아늑해요': 2, '비싼 만큼 가치있어요': 2, '컨셉이 독특해요': 1, '선물하기 좋아요': 1, '오래 머무르기 좋아요': 1, '차가 맛있어요': 1, '단체모임 하기 좋아요': 1}",869,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200910_61%2F1599720895720loSlI_JPEG%2FnDPRPe_WSbQ2088DZDtgIXrp.jpg"""
3,화이트리에 수성점,베이커리,0.0,73,28,대구 수성구 상록로 15 판매시설동 1층 129호,10:00에 영업 시작,053-710-8680,,,,"{'빵이 맛있어요': 67, '친절해요': 18, '특별한 메뉴가 있어요': 12, '매장이 청결해요': 12, '커피가 맛있어요': 8, '인테리어가 멋져요': 5, '주차하기 편해요': 4, '음료가 맛있어요': 3, '가성비가 좋아요': 2, '좌석이 편해요': 1, '대화하기 좋아요': 1}",69,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230906_285%2F1693956448746bGdBE_JPEG%2F%25BF%25C0%25C7%25C2%25C0%25CC%25BA%25A5%25C6%25AE.jpg"""
4,스완네,"카페,디저트",4.55,1874,898,대구 수성구 동대구로80길 73,12:00에 영업 시작,0507-1319-3543,,,,"{'인테리어가 멋져요': 850, '디저트가 맛있어요': 732, '커피가 맛있어요': 601, '사진이 잘 나와요': 530, '뷰가 좋아요': 521, '친절해요': 512, '특별한 메뉴가 있어요': 427, '음료가 맛있어요': 418, '대화하기 좋아요': 328, '매장이 청결해요': 268, '화장실이 깨끗해요': 74, '집중하기 좋아요': 62, '좌석이 편해요': 47, '가성비가 좋아요': 40, '주차하기 편해요': 21, '아늑해요': 15, '야외 공간이 멋져요': 14, '음악이 좋아요': 7, '차분한 분위기에요': 5, '컨셉이 독특해요': 3, '매장이 넓어요': 3, '건강한 맛이에요': 3, '오래 머무르기 좋아요': 2, '빵이 맛있어요': 1, '룸이 잘 되어있어요': 1, '특별한 날 가기 좋아요': 1, '종류가 다양해요': 1}",1474,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220802_101%2F1659410390070KtoQo_JPEG%2F2.jpg"""
5,에폰베이크샵,베이커리,0.0,134,118,대구 수성구 범어로24길 14 1층,12:00에 영업 시작,0507-1431-5153,,,,"{'빵이 맛있어요': 130, '특별한 메뉴가 있어요': 108, '친절해요': 102, '매장이 청결해요': 98, '인테리어가 멋져요': 75, '가성비가 좋아요': 57, '디저트가 맛있어요': 23, '사진이 잘 나와요': 13, '커피가 맛있어요': 8, '음료가 맛있어요': 6, '주차하기 편해요': 4, '음식이 맛있어요': 2, '건강한 맛이에요': 2, '차분한 분위기에요': 1, '좌석이 편해요': 1, '재료가 신선해요': 1}",134,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230822_261%2F1692662439690K4FsA_JPEG%2FIMG_2256.jpeg"""
6,대구 낙타커피,"카페,디저트",0.0,84,61,대구 수성구 들안로 403-1 1층,10:00에 영업 시작,0507-1479-7842,,,,"{'커피가 맛있어요': 62, '디저트가 맛있어요': 33, '인테리어가 멋져요': 32, '특별한 메뉴가 있어요': 28, '친절해요': 21, '대화하기 좋아요': 21, '매장이 청결해요': 19, '음료가 맛있어요': 18, '사진이 잘 나와요': 16, '집중하기 좋아요': 12, '뷰가 좋아요': 8, '가성비가 좋아요': 6, '차분한 분위기에요': 4, '좌석이 편해요': 3, '주차하기 편해요': 3, '아늑해요': 2, '화장실이 깨끗해요': 2, '읽을만한 책이 많아요': 1, '야외 공간이 멋져요': 1, '매장이 넓어요': 1}",84,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230503_135%2F1683099060983EixjR_JPEG%2F%25B4%25EB%25C1%25F6%252B1.jpg"""
7,오크커피,"카페,디저트",4.54,577,637,대구 수성구 달구벌대로496길 11,11:00에 영업 시작,0507-1435-6777,,,,"{'커피가 맛있어요': 131, '인테리어가 멋져요': 117, '디저트가 맛있어요': 76, '대화하기 좋아요': 64, '특별한 메뉴가 있어요': 58, '친절해요': 56, '사진이 잘 나와요': 56, '음료가 맛있어요': 53, '매장이 청결해요': 45, '좌석이 편해요': 31, '집중하기 좋아요': 15, '주차하기 편해요': 14, '뷰가 좋아요': 13, '화장실이 깨끗해요': 9, '가성비가 좋아요': 4, '아늑해요': 2, '차분한 분위기에요': 1, '음악이 좋아요': 1, '야외 공간이 멋져요': 1}",270,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210615_243%2F16237484824170UsP6_JPEG%2Fy0LA9Z33SxenpDNjl0HQ4dmN.jpeg.jpg"""
8,호랑이빵집X에브리블랙,베이커리,4.51,995,849,대구 수성구 달구벌대로495길 10,09:00에 영업 시작,0507-877-3154,,,,"{'빵이 맛있어요': 312, '커피가 맛있어요': 226, '친절해요': 106, '음료가 맛있어요': 90, '매장이 청결해요': 82, '특별한 메뉴가 있어요': 56, '대화하기 좋아요': 56, '인테리어가 멋져요': 46, '좌석이 편해요': 41, '가성비가 좋아요': 38, '집중하기 좋아요': 37, '사진이 잘 나와요': 21, '뷰가 좋아요': 20, '주차하기 편해요': 16, '화장실이 깨끗해요': 16, '차분한 분위기에요': 1, '디저트가 맛있어요': 1, '메뉴 구성이 알차요': 1, '매장이 넓어요': 1, '오래 머무르기 좋아요': 1, '종류가 다양해요': 1}",524,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230110_175%2F16733237268940RfjV_PNG%2F20221123_145423.png"""
9,아눅 베이커스,베이커리,4.59,1498,510,대구 수성구 동대구로58길 15 1층 아눅베이커스,08:00에 영업 시작,0507-1432-1060,,,,"{'빵이 맛있어요': 785, '커피가 맛있어요': 595, '친절해요': 327, '인테리어가 멋져요': 246, '음료가 맛있어요': 221, '특별한 메뉴가 있어요': 197, '매장이 청결해요': 185, '대화하기 좋아요': 149, '사진이 잘 나와요': 85, '디저트가 맛있어요': 64, '뷰가 좋아요': 38, '좌석이 편해요': 35, '화장실이 깨끗해요': 33, '가성비가 좋아요': 23, '주차하기 편해요': 19, '집중하기 좋아요': 13, '건강한 맛이에요': 11, '아늑해요': 10, '음식이 맛있어요': 6, '재료가 신선해요': 4, '비싼 만큼 가치있어요': 4, '차분한 분위기에요': 3, '음식이 빨리 나와요': 3, '종류가 다양해요': 3, '혼밥하기 좋아요': 2, '아이와 가기 좋아요': 1, '메뉴 구성이 알차요': 1, '매장이 넓어요': 1, '단체모임 하기 좋아요': 1}",1132,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220913_90%2F1663042337014AwGSV_JPEG%2FKakaoTalk_20220913_131055930_02.jpg"""
