,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,빵떡임당,베이커리,0.0,18,10,경북 경산시 경안로67길 13-10 1층,20:00에 영업 종료,0507-1372-4241,,직접 빻은 쌀로 만든 디저트와 떡케이크를 정성으로 만들어 판매합니다.,,"{'빵이 맛있어요': 12, '특별한 메뉴가 있어요': 9, '친절해요': 7, '매장이 청결해요': 7, '가성비가 좋아요': 4, '인테리어가 멋져요': 3, '재료가 신선해요': 2, '차분한 분위기에요': 1, '음식이 맛있어요': 1, '아이와 가기 좋아요': 1, '건강한 맛이에요': 1}",18,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230526_149%2F1685092584210qiEeo_JPEG%2F%25B9%25E8%25B9%25CE%25BB%25F3%25C7%25A5.jpg"""
1,라포미 본점,"카페,디저트",4.49,522,153,경북 경산시 중방로 29 1층,24:00에 영업 종료,053-815-8150,,"감성가득한 넓고 예쁜 카페 라포미에요.
경산맛집으로 유명한 라포미 매장에서 즐겨보세요.

또한 북유럽감성의 다양한 예쁜 소품들을 구경 및 인터넷최저가보다 저렴하게 구입 가능합니다.

연인들에겐 데이트코스로 커피한잔하면서, 예쁘고 특별한 소품을 부담없이 선물할 수 있어서 뜻깊은 시간을 보낼 수 있어요.
플리마켓보다 다양한 제품들, 어디서도 구할 수 없는 다양한 제품들로 당신의 마음을 사로잡을 것 입니다.

라포미는 Life For Me 의 약자로 '나를 위한 삶'을 의미합니다.

항상 예쁜 소품들은 비싸서 남들에게 선물하기엔 좋지만 나를 위해는 쉽게 못사셨죠?
라포미로 오시면 그 생각이 바뀌실 겁니다.
마음편하게 오셔서 마음편하게 쉬다 가실 수 있는 그런 따뜻한 곳이 되겠습니다.
항상 모든분들께 덕을 쌓는 다는 마음으로 운영하고 있습니다.
따뜻하게 다가와주세요. 라포미의 모든 직원들은 꼭 그 이상 보답하겠습니다.",,"{'디저트가 맛있어요': 150, '커피가 맛있어요': 143, '음료가 맛있어요': 137, '친절해요': 96, '매장이 청결해요': 66, '인테리어가 멋져요': 64, '좌석이 편해요': 62, '가성비가 좋아요': 48, '특별한 메뉴가 있어요': 48, '대화하기 좋아요': 46, '사진이 잘 나와요': 24, '화장실이 깨끗해요': 23, '주차하기 편해요': 18, '뷰가 좋아요': 10, '집중하기 좋아요': 7, '매장이 넓어요': 2, '음악이 좋아요': 1, '반려동물과 가기 좋아요': 1}",328,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230715_293%2F1689415243055pFOka_JPEG%2F%25B6%25F3%25C6%25F7%25B9%25CC%25BA%25BB%25C1%25A1%25BF%25DC%25B0%25FC.jpg"""
2,올웨이즈어거스트 경산,"카페,디저트",4.63,177,383,경북 경산시 선비길2길 44,21:30에 라스트오더,0507-1330-4623,,"애견동반 불가능 합니다.
아이 동반은 좌석 착석의 경우에만 가능합니다.
별도 sns광고 진행 안해요. 전화 및 메일은 보내지 말아주세요",,"{'커피가 맛있어요': 28, '디저트가 맛있어요': 16, '인테리어가 멋져요': 15, '주차하기 편해요': 12, '친절해요': 11, '뷰가 좋아요': 11, '대화하기 좋아요': 10, '매장이 청결해요': 8, '좌석이 편해요': 7, '음료가 맛있어요': 7, '사진이 잘 나와요': 5, '특별한 메뉴가 있어요': 5, '화장실이 깨끗해요': 4, '집중하기 좋아요': 2, '아늑해요': 1, '가성비가 좋아요': 1}",41,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181110_180%2F1541834201560vNmTy_JPEG%2FLJg-1l-M3yUqEHR2xCTnY07K.jpeg.jpg"""
3,롤링핀 경산점,베이커리,4.5,1004,261,경북 경산시 경안로50길 6 롤링핀,22:00에 영업 종료,0507-1359-9200,,"압구정 식빵/치아바타 등 빵으로 유명한 롤링핀

대구 수성못 유명 빵집 롤링핀을 경산에서도 만나보세요~

경산 맛집 소담숯불 경산점 바로 옆, 코난 크로스핏 옆
세명병원 근처 주차하기 좋은 카페
홈플러스 경산점 근처 대형 카페
중방이편한세상, 중방 서희스타힐스 도보 5분 거리 카페
경산 빵집, 중방동 빵집",,"{'빵이 맛있어요': 448, '커피가 맛있어요': 259, '주차하기 편해요': 177, '친절해요': 176, '대화하기 좋아요': 143, '음료가 맛있어요': 118, '매장이 청결해요': 107, '좌석이 편해요': 82, '특별한 메뉴가 있어요': 70, '인테리어가 멋져요': 68, '가성비가 좋아요': 46, '집중하기 좋아요': 45, '화장실이 깨끗해요': 30, '사진이 잘 나와요': 12, '매장이 넓어요': 8, '뷰가 좋아요': 6, '디저트가 맛있어요': 3, '차분한 분위기에요': 2, '아이와 가기 좋아요': 2, '아늑해요': 1, '음식이 맛있어요': 1, '오래 머무르기 좋아요': 1, '단체모임 하기 좋아요': 1}",570,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230911_28%2F1694427514804cOAuv_JPEG%2FKakaoTalk_20230903_105621773_02.jpg"""
4,COUCOU꾸꾸,베이커리,4.71,137,15,경북 경산시 장산로4길 25 상가 1층,20:00에 영업 종료,053-792-9329,,"르꼬르동블루파리 출신 파티쉐가 직접 만드는 디저트!
매일 최고의 재료로 준비하는 꾸꾸만의 디저트 메뉴가 항상준비!",,"{'빵이 맛있어요': 65, '특별한 메뉴가 있어요': 47, '친절해요': 26, '가성비가 좋아요': 17, '매장이 청결해요': 17, '커피가 맛있어요': 7, '음료가 맛있어요': 6, '인테리어가 멋져요': 3, '주차하기 편해요': 3, '디저트가 맛있어요': 1, '사진이 잘 나와요': 1}",87,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210423_19%2F1619187370900gWp0l_JPEG%2Fbh48Yuvqe21M77h9WC1dIQY6.jpg"""
5,드리브,"카페,디저트",0.0,191,217,경북 경산시 중방동 615-4,21:00에 라스트오더,010-4689-0688,,경산 로스터리 매장으로 여러분들께 좋은 커피와 행복한 하루를 선물하겠습니다. 주차장 주소: 중방동 615-4,,"{'커피가 맛있어요': 119, '인테리어가 멋져요': 62, '사진이 잘 나와요': 54, '음료가 맛있어요': 52, '디저트가 맛있어요': 49, '친절해요': 47, '주차하기 편해요': 35, '매장이 청결해요': 34, '대화하기 좋아요': 30, '뷰가 좋아요': 22, '좌석이 편해요': 14, '특별한 메뉴가 있어요': 14, '집중하기 좋아요': 12, '화장실이 깨끗해요': 12, '가성비가 좋아요': 6, '아늑해요': 2, '차분한 분위기에요': 1, '음악이 좋아요': 1, '야외 공간이 멋져요': 1, '매장이 넓어요': 1}",191,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230501_172%2F1682938747404aCReT_JPEG%2FIMG_6263.jpg"""
6,카페 산57,"카페,디저트",4.43,1886,262,경북 경산시 삼성현로 164-2,22:00에 라스트오더,0507-1380-2300,,"앤틱카페 산57은 우아하고 고급스러운 앤틱분위기에 취하고 야외 정원과 루프탑은 꽃과 바람에 취하는 감성카페로 함께 하겠습니다.
아낌없이 주는 카페 산57이 되겠습니다.",,"{'커피가 맛있어요': 484, '인테리어가 멋져요': 359, '주차하기 편해요': 347, '뷰가 좋아요': 347, '빵이 맛있어요': 261, '음료가 맛있어요': 212, '대화하기 좋아요': 194, '매장이 청결해요': 192, '좌석이 편해요': 182, '친절해요': 150, '디저트가 맛있어요': 85, '화장실이 깨끗해요': 83, '사진이 잘 나와요': 75, '야외 공간이 멋져요': 52, '특별한 메뉴가 있어요': 42, '가성비가 좋아요': 41, '집중하기 좋아요': 9, '음악이 좋아요': 2, '매장이 넓어요': 2, '컨셉이 독특해요': 1, '음식이 맛있어요': 1, '양이 많아요': 1}",1313,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220518_144%2F16528618902016GPkC_JPEG%2F1608132346747.jpg"""
7,피카커피 인더플레이스,"카페,디저트",4.58,1194,661,경북 경산시 경산로 215 피카커피 인더플레이스(추석연휴 정상영업),22:30에 라스트오더,0507-1356-0706,,"안녕하세요 피카커피의 두번째 공간, 피카커피 인더플레이스 입니다:)

피카란 스웨덴어로 '커피', '커피를 마시다' 를 뜻하는 말입니다.
스웨덴에서는 하루에 2번, 하던 일을 멈추고 피카타임을 가지는데요,
오늘도 바쁘게 살아가는 우리에게 피카타임을 선사하는 건 어떨까요?

피카커피 인더플레이스 는 한번 더 당신에게 쉬어감을 선사하고 싶습니다.
피카커피 인더플레이스 에서 행복한 피카타임을 가지며 쉬어가세요:)

Enjoy your fika!",,"{'커피가 맛있어요': 425, '주차하기 편해요': 255, '인테리어가 멋져요': 245, '음료가 맛있어요': 232, '매장이 청결해요': 213, '디저트가 맛있어요': 193, '대화하기 좋아요': 145, '친절해요': 137, '사진이 잘 나와요': 102, '좌석이 편해요': 91, '뷰가 좋아요': 72, '화장실이 깨끗해요': 60, '특별한 메뉴가 있어요': 54, '집중하기 좋아요': 53, '가성비가 좋아요': 27, '매장이 넓어요': 5, '아늑해요': 2, '아이와 가기 좋아요': 1}",902,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210511_159%2F1620702971694VGfPI_JPEG%2FF6aU_GClMbw4LVZJG7J0Xz5O.jpg"""
8,제이제이 에스프레소 바,"카페,디저트",0.0,126,220,경북 경산시 성암로9길 23-3 1층 제이제이 에스프레소 바,21:00에 영업 종료,0507-1447-0155,,"카페 리뉴얼을 하고 7월1일 제이제이에스프레소바로 새롭게 오픈하였습니다! 신상카페인만큼 고객 한분 한분을 더 세심하게 모시겠습니다.

카페 컨셉을 통째로 바꾸고 커피, 디저트 메뉴도 직접 개발했습니다

커피는 액체로 된 소통이다라는 철학을 가지고 고객분들과 소통하겠습니다. 찾아와주셔서 감사합니다.

경산역과 정평역에서 도보로도 찾아와주시는 분들이 계시니 많은 방문 부탁드립니다 :) 경산 옥산동에서 가장 친절하고, 맛있는 카페가 되겠습니다.",,"{'커피가 맛있어요': 96, '친절해요': 63, '특별한 메뉴가 있어요': 63, '디저트가 맛있어요': 60, '인테리어가 멋져요': 51, '음료가 맛있어요': 45, '컨셉이 독특해요': 39, '아늑해요': 28, '사진이 잘 나와요': 20, '매장이 청결해요': 12, '가성비가 좋아요': 9, '좌석이 편해요': 6, '대화하기 좋아요': 6, '주차하기 편해요': 4, '화장실이 깨끗해요': 2, '음악이 좋아요': 1}",119,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220803_196%2F1659458869917kWHVQ_JPEG%2F1.jpg"""
9,스타벅스 경산중방DT점,카페,4.6,3748,158,경북 경산시 경안로 222,2021.12.20~2023.12.19,1522-3232,,1.주차가능 2.주차장위치: 건물 전면 스타벅스 전용주차장 3.주차가능대수: 14대 4.주차조건: 매장 이용시 무료 5.주차요금 정산방법: 정산없이 출차,,"{'커피가 맛있어요': 1077, '친절해요': 546, '음료가 맛있어요': 430, '디저트가 맛있어요': 366, '주차하기 편해요': 314, '매장이 청결해요': 292, '대화하기 좋아요': 212, '집중하기 좋아요': 132, '좌석이 편해요': 120, '화장실이 깨끗해요': 106, '특별한 메뉴가 있어요': 90, '인테리어가 멋져요': 86, '가성비가 좋아요': 62, '뷰가 좋아요': 42, '사진이 잘 나와요': 29, '비싼 만큼 가치있어요': 4, '종류가 다양해요': 3, '매장이 넓어요': 2, '차분한 분위기에요': 1, '음식이 빨리 나와요': 1, '재료가 신선해요': 1, '메뉴 구성이 알차요': 1}",2092,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
