,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,카페도담히,"카페,디저트",0.0,153,275,대구 중구 교동3길 26 1층 카페 도담히,22:00에 영업 종료,0507-1320-3548,,재료나 디저트는 직접 준비하고 있습니다,,"{'커피가 맛있어요': 56, '디저트가 맛있어요': 43, '음료가 맛있어요': 34, '특별한 메뉴가 있어요': 33, '친절해요': 26, '대화하기 좋아요': 18, '인테리어가 멋져요': 16, '사진이 잘 나와요': 16, '매장이 청결해요': 13, '가성비가 좋아요': 12, '아늑해요': 3, '뷰가 좋아요': 3, '좌석이 편해요': 2, '차분한 분위기에요': 1, '빵이 맛있어요': 1, '주차하기 편해요': 1, '집중하기 좋아요': 1}",93,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_119%2F16166717959405Nh2T_JPEG%2FqypKL2DFNYOIGxzEJjgoJqo2.jpg"""
1,버건디,"카페,디저트",4.63,206,371,대구 중구 교동3길 27,21:00에 영업 종료,0507-1307-5087,,,,"{'디저트가 맛있어요': 99, '친절해요': 54, '커피가 맛있어요': 43, '음료가 맛있어요': 35, '특별한 메뉴가 있어요': 27, '매장이 청결해요': 27, '사진이 잘 나와요': 15, '대화하기 좋아요': 15, '인테리어가 멋져요': 11, '좌석이 편해요': 4, '가성비가 좋아요': 3, '집중하기 좋아요': 2, '차분한 분위기에요': 1, '아늑해요': 1, '화장실이 깨끗해요': 1}",126,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180111_144%2F1515604783302gxdFo_JPEG%2FvOl1eWK1KSJpWS1mbaFqaHC7.jpg"""
2,음악마을카페,카페,0.0,34,8,대구 중구 교동2길 25 지하1층,21:00에 영업 종료,0507-1306-2740,,"전문음악인들 건물인 음악마을이 직접운영하는 고품격 카페입니다. 모임하기 좋고 개인이 와도 편하게 쉴 수 있는 공간입니다.잔잔히 클래식음악이 흐르고 건강한 메뉴와 고급원두를 사용해서 맛도 좋아요. 착한 가격이고
인테리어도 우수한 장소입니다.
코너건물이어서 출입문이 두 개입니다
 피아노도 있고 개인연주도 신청받습니다 . 오전에는 취미교육이나 모임하실분 사용가능합니다
앞으로 매월 주말에는 Sing Along Time도 가질 예정입니다..",,"{'친절해요': 20, '인테리어가 멋져요': 16, '커피가 맛있어요': 15, '대화하기 좋아요': 15, '디저트가 맛있어요': 11, '음료가 맛있어요': 11, '가성비가 좋아요': 11, '매장이 청결해요': 9, '특별한 메뉴가 있어요': 5, '좌석이 편해요': 3, '사진이 잘 나와요': 3, '집중하기 좋아요': 3, '아늑해요': 2, '음악이 좋아요': 1, '주차하기 편해요': 1, '룸이 잘 되어있어요': 1, '화장실이 깨끗해요': 1}",34,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230624_206%2F1687568539968jOuVR_JPEG%2F20230624_095722.jpg"""
3,뉴블커피 교동점,"카페,디저트",0.0,29,1,대구 중구 교동2길 29-16 가동 1호,05:00에 영업 종료,0507-1467-0224,,,,"{'커피가 맛있어요': 10, '음료가 맛있어요': 10, '가성비가 좋아요': 6, '디저트가 맛있어요': 5, '특별한 메뉴가 있어요': 4, '친절해요': 3, '매장이 청결해요': 3}",27,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230517_219%2F1684322707342NUBzI_JPEG%2FKakaoTalk_20230517_202425791.jpg"""
4,이씨씨커피,"카페,디저트",4.56,1259,1162,대구 중구 종로 72,20:30에 라스트오더,0507-1421-3928,,이씨씨는 어울리커피라는 납품 업체를 기반으로 고객님들에게 다가가는 카페입니다. 고객과 소통하며 하루의 즐거움을 드릴 수 있는 그런 커피가 되고 싶습니다.,,"{'커피가 맛있어요': 537, '인테리어가 멋져요': 286, '디저트가 맛있어요': 182, '사진이 잘 나와요': 169, '음료가 맛있어요': 163, '친절해요': 151, '대화하기 좋아요': 133, '매장이 청결해요': 77, '뷰가 좋아요': 66, '특별한 메뉴가 있어요': 60, '가성비가 좋아요': 51, '좌석이 편해요': 30, '집중하기 좋아요': 30, '화장실이 깨끗해요': 28, '아늑해요': 6, '차분한 분위기에요': 3, '주차하기 편해요': 3, '음악이 좋아요': 1, '매장이 넓어요': 1, '종류가 다양해요': 1}",784,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210629_213%2F1624923691518EPzwR_JPEG%2FEjc9bumUF_H_jj1ZUUgzr41a.jpeg.jpg"""
5,구삼커피,"카페,디저트",4.7,309,293,대구 중구 봉산문화2길 16-3 구삼커피,21:00에 영업 종료,0507-1326-2623,,"수제푸딩과 음료를 판매합니다.
대구에서 푸딩을 찾는다면 여기입니다.
커스타드푸딩 및 다양한 푸딩이 준비되어 있습니다.

1993년 흔히 볼 수 있었던 소재와 현대에 사용되는 소재를 합쳐 레트로 퓨쳐리즘을 실현하는 공간으로 흔히 볼 수 있는 소재를 새로운 시각으로 다가가 새로운 경험을 선사하는 공간입니다.

내 가족이 먹는다는 마음으로 부드럽고 탱글탱글한 푸딩을 직접 수제로 만들어 고객님들께 달콤한 기억을 남겨드려요.",,"{'디저트가 맛있어요': 188, '인테리어가 멋져요': 163, '친절해요': 137, '사진이 잘 나와요': 118, '특별한 메뉴가 있어요': 116, '커피가 맛있어요': 106, '음료가 맛있어요': 86, '매장이 청결해요': 33, '대화하기 좋아요': 26, '가성비가 좋아요': 19, '좌석이 편해요': 13, '화장실이 깨끗해요': 8, '뷰가 좋아요': 8, '집중하기 좋아요': 4, '주차하기 편해요': 2, '컨셉이 독특해요': 1, '아늑해요': 1, '선물하기 좋아요': 1, '음악이 좋아요': 1, '비싼 만큼 가치있어요': 1, '종류가 다양해요': 1}",262,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230601_129%2F1685598769795O3qxN_JPEG%2FIMG_8170.jpeg"""
6,딥커피로스터스,"카페,디저트",4.53,756,1187,대구 중구 봉산문화2길 41 1층,20:30에 라스트오더,0507-1484-8340,,주차공간 없습니다. 주변 유료주차장 이용 부탁드립니다.,,"{'커피가 맛있어요': 362, '인테리어가 멋져요': 114, '친절해요': 113, '특별한 메뉴가 있어요': 89, '가성비가 좋아요': 79, '대화하기 좋아요': 77, '음료가 맛있어요': 75, '매장이 청결해요': 60, '디저트가 맛있어요': 52, '사진이 잘 나와요': 43, '집중하기 좋아요': 22, '뷰가 좋아요': 13, '좌석이 편해요': 11, '화장실이 깨끗해요': 5, '차분한 분위기에요': 2, '음악이 좋아요': 2, '종류가 다양해요': 2, '아늑해요': 1, '주차하기 편해요': 1, '매장이 넓어요': 1}",453,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201222_61%2F16086101773867psbu_JPEG%2FKIJlei8S8v85I550Ytau4bMZ.jpeg.jpg"""
7,이얼즈,"카페,디저트",0.0,3732,634,"대구 중구 공평로 79 . 1층,2층(동문동)",22:00에 라스트오더,0507-1310-4048,,"always, years !

대구 번화가의 중심 동성로 인근 교동에 위치한 이얼즈 입니다.
특별한 디저트 요크셔푸딩 과 고양이모양의 푸딩 그리고 인기많은 피스타치오 , 초코 젤라또 를 판매하고 있습니다. 커피는 직접 로스팅한 원두를 사용 하고 있으며 매장은 야외 테라스 1층 ,2층으로 구분 되어 있습니다. 테라스와 1층은 강아지 및 반려동물을 데려와 같이 즐기실수있으며 2층은 넓은 자리와 단체테이블 편한자리로 구성되어 있습니다. 또한 매장은 전체 키즈존이며 적절한 케어를 부탁드립니다. 이얼즈는 좋은 음악 , 공간 , 사람 으로 만들어 나가는 곳 이며
누구나 편하게 쉴수있는 곳 입니다. 이얼즈에서는 연인과 데이트 가족과 대화 , 친구와 즐거운 시간을 즐기실수 있을거에요 지금 이얼즈 이전에 대구 종로에서 이얼즈커피바 라는 상호로 영업 하였으며 지금은 교동 시청 건너 자리에 위치해 있습니다. 주차는 매장 앞 시청공영주차장 이용가능 합니다. 연인과 가족 친구 특별한 날 , 일상을 이얼즈에서 만끽해주세요 !",,"{'인테리어가 멋져요': 2103, '커피가 맛있어요': 1977, '디저트가 맛있어요': 1807, '음료가 맛있어요': 1513, '친절해요': 1400, '매장이 넓어요': 1086, '특별한 메뉴가 있어요': 1056, '사진이 잘 나와요': 904, '대화하기 좋아요': 788, '음악이 좋아요': 574, '음식이 빨리 나와요': 300, '좌석이 편해요': 249, '화장실이 깨끗해요': 165, '양이 많아요': 150, '반려동물과 가기 좋아요': 109, '매장이 청결해요': 82, '뷰가 좋아요': 30, '집중하기 좋아요': 18, '아늑해요': 16, '차분한 분위기에요': 15, '가성비가 좋아요': 15, '야외 공간이 멋져요': 14, '컨셉이 독특해요': 9, '음식이 맛있어요': 9, '종류가 다양해요': 4, '메뉴 구성이 알차요': 3, '오래 머무르기 좋아요': 3, '빵이 맛있어요': 2, '건강한 맛이에요': 2, '혼술하기 좋아요': 1, '재료가 신선해요': 1, '주차하기 편해요': 1, '특별한 날 가기 좋아요': 1, '단체모임 하기 좋아요': 1}",3710,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220712_177%2F16576020688332h5h8_JPEG%2F8D6DF056-0192-4B81-8468-020236D4C6AE.jpeg"""
8,오디너리하우스,"카페,디저트",4.54,2265,1329,대구 중구 동성로2길 21-8,22:00에 라스트오더,0507-1423-7826,,,,"{'디저트가 맛있어요': 903, '커피가 맛있어요': 634, '인테리어가 멋져요': 614, '음료가 맛있어요': 379, '사진이 잘 나와요': 259, '대화하기 좋아요': 255, '매장이 청결해요': 235, '특별한 메뉴가 있어요': 234, '친절해요': 212, '좌석이 편해요': 171, '뷰가 좋아요': 56, '가성비가 좋아요': 55, '화장실이 깨끗해요': 55, '집중하기 좋아요': 26, '주차하기 편해요': 10, '매장이 넓어요': 10, '종류가 다양해요': 4, '컨셉이 독특해요': 3, '음식이 빨리 나와요': 2, '음식이 맛있어요': 2, '차분한 분위기에요': 1, '메뉴 구성이 알차요': 1, '오래 머무르기 좋아요': 1}",1624,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220719_66%2F16582209497975mHqx_JPEG%2F62178AD4-CE2D-4703-80F5-67794F2BB26E.jpeg"""
9,아리츠,"카페,디저트",4.6,649,996,대구 중구 남성로 47 2층,20:30에 라스트오더,0507-1353-2755,,"약전골목 구석진 2층에 위치한 카페입니다.
매일 아침 프랑스밀과 유기농밀가루로 바게트와 디저트를 매장에서 직접 굽고 있습니다. 언제든 편안히 오셔서 여유롭게 즐기다 가세요!",,"{'디저트가 맛있어요': 224, '커피가 맛있어요': 202, '인테리어가 멋져요': 116, '음료가 맛있어요': 107, '특별한 메뉴가 있어요': 92, '대화하기 좋아요': 81, '사진이 잘 나와요': 62, '친절해요': 56, '매장이 청결해요': 30, '좌석이 편해요': 16, '가성비가 좋아요': 16, '뷰가 좋아요': 16, '집중하기 좋아요': 14, '화장실이 깨끗해요': 8, '아늑해요': 4, '음식이 맛있어요': 4, '차분한 분위기에요': 2, '빵이 맛있어요': 2, '주차하기 편해요': 2, '컨셉이 독특해요': 1, '메뉴 구성이 알차요': 1, '매장이 넓어요': 1, '건강한 맛이에요': 1}",410,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221216_39%2F1671157809192YWbSE_JPEG%2F6F1584A3-C57C-41C8-B4E7-7044CDC9F7F3.jpeg"""
