,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,만재네 신월성점,"육류,고기요리",0.0,1259,358,"대구 달서구 조암로 38 A동 1층 102, 103호",23:30에 라스트오더,0507-1324-2270,,"솥뚜껑에 전문 그릴러가 다 구워주는
대구 대표 고기 브랜드 [ 만재네 ]
-
직접 선별한 국내산 한돈만 고집하며
신선한 고기를 웻에이징하여 내어드립니다.
-
' 상즉인 '
장사란 이윤을 남기기 보다
사람을 남기기 위한 것이다.
- 한분, 한분 정성을 다해 모시겠습니다 -

-------------------------------------

대구 맛집 만재네는 최고급 참숯으로 초벌 후
고온의 솥뚜껑에 구워 육즙이 빠지지 않은
부드러운 목살,삼겹살을 제공해드리고 있습니다.
-
다양한 찬 구성으로 먹는 재미가 있는
고기집이며 고기와 함께 즐길 수 있는
주류도 판매하고 있어 술 한잔하기 좋은
고깃집, 술집입니다.
-
대형 평수로 단체석 및 넉넉한 테이블을
보유하고 있으며 회식, 가족 외식,
지인 모임 뿐만아니라 대구 데이트 장소로도
많이 찾아주고 계싶니다.
-
주기적인 고기 및 그릴 교육을 받은
전문 그릴러가 맛있게 구워주어
더욱 맛있는 대구 핫플입니다.
-
대구 삼덕동 맛집 - 삼덕본점
대구 종로 맛집 - 종로점
대구 교동 맛집 - 교동점
대구 범어동 맛집 - 범어점
대구 들안길 맛집 - 들안점
대구 신월성 맛집 - 신월성점
대구 고성동 맛집 - 고성점
-
대구에 7개 매장을 운영 중이며
전 지점 직영으로 운영되어
대구 어디에서나 동일한 맛을 즐길 수 있습니다.
-
( 주 )만재푸드는 [만재네]뿐만 아니라
종로와 들안길에 카페 맛집 [멘션5]와
세컨브랜드 [금강로스구이]도 같이
운영 중입니다, 많은 관심 부탁드립니다.
-
네이버 예약을 통해 예약하시면
보다 편리하게 신월성 삼겹살 맛집
만재네를 즐길 수 있습니다 ^_^
-
※ @manjae_official / @manjae_sinwolseong
인스타그램에 다양한 소식이 업데이트 되고 있으니,
팔로우 부탁드립니다. 감사합니다 !",,"{'음식이 맛있어요': 1119, '고기 질이 좋아요': 969, '친절해요': 657, '직접 잘 구워줘요': 577, '인테리어가 멋져요': 326, '매장이 청결해요': 324, '매장이 넓어요': 278, '양이 많아요': 252, '특별한 메뉴가 있어요': 196, '가성비가 좋아요': 126, '단체모임 하기 좋아요': 78, '주차하기 편해요': 56, '특별한 날 가기 좋아요': 32, '반찬이 잘 나와요': 30, '메뉴 구성이 알차요': 23, '재료가 신선해요': 19, '잡내가 적어요': 11, '혼밥하기 좋아요': 10, '뷰가 좋아요': 9, '아이와 가기 좋아요': 7, '음식이 빨리 나와요': 6, '건강한 맛이에요': 5, '아늑해요': 4, '환기가 잘 돼요': 3, '컨셉이 독특해요': 2, '좌석이 편해요': 1, '비싼 만큼 가치있어요': 1}",1252,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230811_144%2F16917248128528kOoP_JPEG%2F1_%25B8%25B8%25C0%25E7%25B3%25D7_%25B8%25DE%25C0%25CE_%25BB%25E7%25C1%25F8.jpg"""
1,공부해이스카 스터디카페 대곡도원점,스터디카페,4.67,58,36,대구 달서구 도원로 19 우영빌딩 3층,연중무휴,0507-1360-9258,,"365일 24시간 운영, CCTV 방범완비, 비대면발열체크기, 방역철저, 환기시스템 완비.
오픈석, 카페석, 집중실, 스터디룸 완비!!
커피, 간식 무료, 프린트 서비스.",,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201029_170%2F1603934914887RRCEx_JPEG%2FflCgeO1uFXUoPoAP2VYtNAvD.jpg"""
2,밥스딜라잇,베이커리,0.0,1693,440,"대구 달서구 장기로 231 1층,2층",22:00에 라스트오더,0507-1445-0044,,"매장에서 직접 로스팅한 원두로 내린 경쾌한 커피와
천연 발효하여 더욱 건강하고 풍미 가득한 빵을 여유롭게 즐길수 있는 베이커리 & 로스터리 카페입니다.
1층: 제빵실,로스팅룸, 빵과 커피 진열공간, 바리스타바,직원실,
2층: 라운지, 테라스, 화장실
3층: 루프탑",,"{'빵이 맛있어요': 778, '커피가 맛있어요': 491, '인테리어가 멋져요': 234, '친절해요': 206, '디저트가 맛있어요': 182, '주차하기 편해요': 175, '매장이 청결해요': 166, '대화하기 좋아요': 147, '종류가 다양해요': 130, '좌석이 편해요': 129, '음료가 맛있어요': 116, '매장이 넓어요': 96, '특별한 메뉴가 있어요': 85, '화장실이 깨끗해요': 81, '사진이 잘 나와요': 58, '단체모임 하기 좋아요': 48, '가성비가 좋아요': 42, '야외 공간이 멋져요': 28, '뷰가 좋아요': 19, '특별한 날 가기 좋아요': 7, '집중하기 좋아요': 6, '아늑해요': 3, '아이와 가기 좋아요': 3, '차분한 분위기에요': 2, '오래 머무르기 좋아요': 2}",1221,
3,핑크베어커리,"카페,디저트",0.0,87,86,대구 달서구 조암로 48 1층 핑크베어커리,23:00에 영업 종료,0507-1364-9036,,"안녕하세요 대구 월성동에 캐릭터 마카롱 맛집
핑크베어커리입니다 :)

매일 매장에서 직접 만드는 다양한 디저트와
하이틴한 인테리어로 눈길을 사로 잡는
아이와 데이트 하기 좋은 핑크 감성 까페 입니다
시즌별로 선물 하시기 좋은 마카롱 세트와
샌드위치+커피 단체 주문도 가능합니다.

[대구마카롱맛집,월성동카페,월성동마카롱,답례품 단체주문]",,"{'디저트가 맛있어요': 76, '인테리어가 멋져요': 46, '특별한 메뉴가 있어요': 40, '친절해요': 39, '음료가 맛있어요': 34, '사진이 잘 나와요': 33, '커피가 맛있어요': 25, '매장이 청결해요': 23, '주차하기 편해요': 17, '가성비가 좋아요': 16, '대화하기 좋아요': 6, '메뉴 구성이 알차요': 3, '선물하기 좋아요': 2, '포장이 깔끔해요': 2, '빵이 맛있어요': 1, '좌석이 편해요': 1, '컨셉이 독특해요': 1, '재료가 신선해요': 1, '아이와 가기 좋아요': 1, '집중하기 좋아요': 1, '종류가 다양해요': 1}",87,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230919_16%2F1695126671685Jb4qI_JPEG%2FKakaoTalk_20230918_165104556.jpg"""
4,롤링핀 대구수목원점,베이커리,0.0,374,159,대구 달서구 한실로6길 158,21:50에 영업 종료,053-241-3355,,"롤링핀 대구수목원점은 그리스 산토리니에 온 듯 한 탁 트인 정원과 갓 구운 빵냄새가 가득한 곳입니다.
저희 지점은 세 부분으로 나눠져있습니다.
-오데온관: 카페 본관인 오데온관에서는 브런치, 커피, 베이커리를 즐기실 수 있습니다.
-산토리니관: 카페 별관인 산토리니관에서는 커피, 베이커리를 즐기실 수 있습니다.
-빵공장: 빵공장에서는 롤링핀에서 만든 프리미엄 베이커리를 take-out 하실 수 있습니다.
브런치를 미리 예약하실 분은 053-241-3355로 연락해주시기 바랍니다.
롤링핀 대구수목원점을 찾아주셔서 감사드리며 오늘도 행복한 하루 보내세요:)",,"{'빵이 맛있어요': 247, '인테리어가 멋져요': 165, '커피가 맛있어요': 143, '뷰가 좋아요': 130, '사진이 잘 나와요': 92, '음료가 맛있어요': 54, '대화하기 좋아요': 41, '친절해요': 36, '특별한 메뉴가 있어요': 30, '매장이 청결해요': 21, '좌석이 편해요': 16, '주차하기 편해요': 16, '야외 공간이 멋져요': 12, '가성비가 좋아요': 11, '화장실이 깨끗해요': 11, '매장이 넓어요': 4, '집중하기 좋아요': 3, '디저트가 맛있어요': 2, '아이와 가기 좋아요': 2, '컨셉이 독특해요': 1, '건강한 맛이에요': 1, '단체모임 하기 좋아요': 1, '종류가 다양해요': 1}",362,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230713_208%2F16892431700612Wf5n_JPEG%2FKakaoTalk_20230711_155148523_01.jpg"""
5,베를린 에스프레소 바,카페,4.65,1266,738,대구 달서구 미리샘길 82 1층,11:00에 영업 시작,010-4889-1787,,"이름에서 보이듯 에스프레소 베이스의 커피 음료를 주로 판매합니다.
입맛에 맞지 않을 수 있으나 정돈되지 않은 맛의 커피는 팔지 않습니다.
모쪼록 잘 부탁드립니다.

Yeah, finally we opened the Coffee Bar, named Berlin.
It may not suit your taste, but we do not serve cup without plan and intention.
'we've got a plan'",,"{'커피가 맛있어요': 630, '친절해요': 228, '특별한 메뉴가 있어요': 215, '음료가 맛있어요': 158, '매장이 청결해요': 115, '인테리어가 멋져요': 72, '가성비가 좋아요': 69, '사진이 잘 나와요': 40, '디저트가 맛있어요': 32, '화장실이 깨끗해요': 19, '대화하기 좋아요': 12, '차분한 분위기에요': 5, '주차하기 편해요': 5, '집중하기 좋아요': 5, '아늑해요': 4, '뷰가 좋아요': 4, '컨셉이 독특해요': 1, '메뉴 구성이 알차요': 1, '야외 공간이 멋져요': 1, '차가 맛있어요': 1}",768,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201027_100%2F1603788772590cUHc8_JPEG%2Fiajb0DqAuyE9DdPWkn3wx2na.JPG.jpg"""
6,스테이블모먼트 월배점,"카페,디저트",4.53,3409,1000,대구 달서구 조암남로32길 24 스테이블모먼트,23:00에 영업 종료,0507-1361-1031,,"안녕하세요. 대구 달서구 대천동 소재의 대형 베이커리,브런치 카페 스테이블모먼트 입니다.
매일 아침 제빵사들이 직접 빵을 만들고 전문 바리스타들이 만든 맛있는 커피와 주문 즉시 제조하는 브런치 드시러 오세요:)",,"{'빵이 맛있어요': 903, '커피가 맛있어요': 864, '인테리어가 멋져요': 834, '디저트가 맛있어요': 506, '음료가 맛있어요': 427, '대화하기 좋아요': 299, '매장이 청결해요': 294, '주차하기 편해요': 293, '특별한 메뉴가 있어요': 286, '사진이 잘 나와요': 269, '뷰가 좋아요': 244, '친절해요': 240, '좌석이 편해요': 224, '화장실이 깨끗해요': 153, '집중하기 좋아요': 57, '가성비가 좋아요': 49, '매장이 넓어요': 15, '야외 공간이 멋져요': 5, '단체모임 하기 좋아요': 4, '종류가 다양해요': 4, '음식이 맛있어요': 2, '메뉴 구성이 알차요': 2, '오래 머무르기 좋아요': 2, '아늑해요': 1, '아이와 가기 좋아요': 1, '양이 많아요': 1, '음악이 좋아요': 1}",2359,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210820_197%2F16294682965949Sd9S_JPEG%2FMSFPRo63feFYlDX7WojHN-lL.jpg"""
7,초콜릿케이크,초콜릿전문점,0.0,64,69,대구 달서구 월배로40길 103 1층,22:00에 영업 종료,0507-1369-9140,,"안녕하세요.
상인동에 초콜릿과 케이크를 파는 초콜릿 케이크 입니다.
특별한날 특별한 사람에게 초콜릿과 케이크를 선물하는건 어떨까요?
단체 주문및 자세한 영업 내용은 인스타로 확인해 주세요.

홀 케이크 하루전 예약 부탁 드려요.
케이크 및 기타 문의는 전화 부탁드려요.",,"{'디저트가 맛있어요': 58, '선물하기 좋아요': 37, '친절해요': 37, '특별한 메뉴가 있어요': 30, '매장이 청결해요': 27, '인테리어가 멋져요': 16, '가성비가 좋아요': 9, '커피가 맛있어요': 5, '사진이 잘 나와요': 5, '음료가 맛있어요': 3, '대화하기 좋아요': 3, '주문제작을 잘해줘요': 1, '메뉴 구성이 알차요': 1, '종류가 다양해요': 1}",64,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231101_192%2F1698838026914DrUlH_JPEG%2F1000008742.jpg"""
8,베이커리 라누,베이커리,0.0,332,110,대구 달서구 한실로6길 84-26 베이커리 라누,2023.10.,053-633-1207,,"- 인스타그램에 매일 빵 라인업 있어요
- 대구 달서구 대곡동 한실로 8길 84-26
- 053-633-1207
- 포장, 배달, 택배 가능
- 제일 인기 있는 제품 '퀸아망' 스마트 스토어 주문 가능",,"{'빵이 맛있어요': 291, '친절해요': 185, '특별한 메뉴가 있어요': 164, '매장이 청결해요': 103, '커피가 맛있어요': 97, '인테리어가 멋져요': 71, '주차하기 편해요': 52, '음료가 맛있어요': 39, '사진이 잘 나와요': 23, '가성비가 좋아요': 17, '뷰가 좋아요': 13, '대화하기 좋아요': 6, '화장실이 깨끗해요': 5, '디저트가 맛있어요': 4, '차분한 분위기에요': 3, '비싼 만큼 가치있어요': 2, '아늑해요': 1, '음식이 맛있어요': 1, '메뉴 구성이 알차요': 1, '야외 공간이 멋져요': 1, '반려동물과 가기 좋아요': 1, '집중하기 좋아요': 1, '건강한 맛이에요': 1, '종류가 다양해요': 1}",328,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220723_234%2F16585460805716Gjxh_JPEG%2F10B260B7-EDB5-457A-839B-D4F5793300B4.jpeg"""
9,소베,베이커리,0.0,673,167,대구 달서구 월곡로53동길 52 1층,19:00에 영업 종료,0507-1371-2296,,"빵 나오는 시간입니다
 8:00~9:00 스콘류
9:00~10:00 생식빵
10:00~11:00 크루아상 몽블랑등 페스츄리
11:00~12:00 크림치즈빵 밤팥빵 아몬드 크루아상
12:00~1:00 브리오슈
이상입니다 감사합니다~",,"{'빵이 맛있어요': 558, '친절해요': 216, '특별한 메뉴가 있어요': 203, '가성비가 좋아요': 91, '매장이 청결해요': 90, '커피가 맛있어요': 32, '음료가 맛있어요': 18, '인테리어가 멋져요': 17, '주차하기 편해요': 10, '사진이 잘 나와요': 9, '좌석이 편해요': 7, '디저트가 맛있어요': 6, '대화하기 좋아요': 6, '비싼 만큼 가치있어요': 5, '뷰가 좋아요': 5, '음식이 맛있어요': 3, '집중하기 좋아요': 3, '건강한 맛이에요': 3, '화장실이 깨끗해요': 3, '메뉴 구성이 알차요': 2, '재료가 신선해요': 1, '종류가 다양해요': 1}",669,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220307_6%2F16466286817741Nouc_JPEG%2F1645695492914-0.jpg"""
