,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,피쉬커피바,"카페,디저트",0.0,55,100,대구 중구 국채보상로 634 지하1층,22:30에 라스트오더,0504-2015-5680,,"대구 다양한 종류의 커피, 위스키, 하이볼, 와인을 즐기실 수 있는 카페입니다!",,"{'커피가 맛있어요': 28, '인테리어가 멋져요': 21, '대화하기 좋아요': 17, '음료가 맛있어요': 15, '친절해요': 11, '사진이 잘 나와요': 11, '디저트가 맛있어요': 10, '특별한 메뉴가 있어요': 7, '매장이 청결해요': 6, '가성비가 좋아요': 4, '집중하기 좋아요': 3, '음악이 좋아요': 2, '혼술하기 좋아요': 1, '기본 안주가 좋아요': 1, '오래 머무르기 좋아요': 1, '뷰가 좋아요': 1}",52,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230502_33%2F1683003021223UqMjz_JPEG%2FKakaoTalk_20230411_175915950_19.jpg"""
1,마이커피컬로맨스,"카페,디저트",4.54,616,456,대구 중구 동성로4길 93 마이커피컬로맨스,22:00에 영업 종료,053-424-4783,,"국내 원조 자몽 빙수와 다양한 빙수 메뉴를 맛볼 수 있는 카페. 이 외에도 맛과 비쥬얼이 최강인 다양한 와플과 크로플, 30가지 이상의 검증된 다양한 음료가 있어 디저트의 끝판왕을 만나볼 수 있다",,"{'디저트가 맛있어요': 175, '커피가 맛있어요': 130, '대화하기 좋아요': 121, '음료가 맛있어요': 114, '친절해요': 81, '특별한 메뉴가 있어요': 67, '좌석이 편해요': 61, '매장이 청결해요': 48, '인테리어가 멋져요': 47, '집중하기 좋아요': 35, '가성비가 좋아요': 25, '화장실이 깨끗해요': 12, '사진이 잘 나와요': 8, '뷰가 좋아요': 7, '아늑해요': 4, '매장이 넓어요': 4, '주차하기 편해요': 3, '차분한 분위기에요': 2}",417,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230615_234%2F1686804171963BkRfm_JPEG%2F02.jpg"""
2,오디너리하우스,"카페,디저트",4.54,2265,1329,대구 중구 동성로2길 21-8,22:00에 라스트오더,0507-1423-7826,,,,"{'디저트가 맛있어요': 903, '커피가 맛있어요': 634, '인테리어가 멋져요': 614, '음료가 맛있어요': 379, '사진이 잘 나와요': 259, '대화하기 좋아요': 255, '매장이 청결해요': 235, '특별한 메뉴가 있어요': 234, '친절해요': 212, '좌석이 편해요': 171, '뷰가 좋아요': 56, '가성비가 좋아요': 55, '화장실이 깨끗해요': 55, '집중하기 좋아요': 26, '주차하기 편해요': 10, '매장이 넓어요': 10, '종류가 다양해요': 4, '컨셉이 독특해요': 3, '음식이 빨리 나와요': 2, '음식이 맛있어요': 2, '차분한 분위기에요': 1, '메뉴 구성이 알차요': 1, '오래 머무르기 좋아요': 1}",1624,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220719_66%2F16582209497975mHqx_JPEG%2F62178AD4-CE2D-4703-80F5-67794F2BB26E.jpeg"""
3,이얼즈,"카페,디저트",0.0,3732,634,"대구 중구 공평로 79 . 1층,2층(동문동)",22:00에 라스트오더,0507-1310-4048,,"always, years !

대구 번화가의 중심 동성로 인근 교동에 위치한 이얼즈 입니다.
특별한 디저트 요크셔푸딩 과 고양이모양의 푸딩 그리고 인기많은 피스타치오 , 초코 젤라또 를 판매하고 있습니다. 커피는 직접 로스팅한 원두를 사용 하고 있으며 매장은 야외 테라스 1층 ,2층으로 구분 되어 있습니다. 테라스와 1층은 강아지 및 반려동물을 데려와 같이 즐기실수있으며 2층은 넓은 자리와 단체테이블 편한자리로 구성되어 있습니다. 또한 매장은 전체 키즈존이며 적절한 케어를 부탁드립니다. 이얼즈는 좋은 음악 , 공간 , 사람 으로 만들어 나가는 곳 이며
누구나 편하게 쉴수있는 곳 입니다. 이얼즈에서는 연인과 데이트 가족과 대화 , 친구와 즐거운 시간을 즐기실수 있을거에요 지금 이얼즈 이전에 대구 종로에서 이얼즈커피바 라는 상호로 영업 하였으며 지금은 교동 시청 건너 자리에 위치해 있습니다. 주차는 매장 앞 시청공영주차장 이용가능 합니다. 연인과 가족 친구 특별한 날 , 일상을 이얼즈에서 만끽해주세요 !",,"{'인테리어가 멋져요': 2103, '커피가 맛있어요': 1977, '디저트가 맛있어요': 1807, '음료가 맛있어요': 1513, '친절해요': 1400, '매장이 넓어요': 1086, '특별한 메뉴가 있어요': 1056, '사진이 잘 나와요': 904, '대화하기 좋아요': 788, '음악이 좋아요': 574, '음식이 빨리 나와요': 300, '좌석이 편해요': 249, '화장실이 깨끗해요': 165, '양이 많아요': 150, '반려동물과 가기 좋아요': 109, '매장이 청결해요': 82, '뷰가 좋아요': 30, '집중하기 좋아요': 18, '아늑해요': 16, '차분한 분위기에요': 15, '가성비가 좋아요': 15, '야외 공간이 멋져요': 14, '컨셉이 독특해요': 9, '음식이 맛있어요': 9, '종류가 다양해요': 4, '메뉴 구성이 알차요': 3, '오래 머무르기 좋아요': 3, '빵이 맛있어요': 2, '건강한 맛이에요': 2, '혼술하기 좋아요': 1, '재료가 신선해요': 1, '주차하기 편해요': 1, '특별한 날 가기 좋아요': 1, '단체모임 하기 좋아요': 1}",3710,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220712_177%2F16576020688332h5h8_JPEG%2F8D6DF056-0192-4B81-8468-020236D4C6AE.jpeg"""
4,티클래스,"카페,디저트",4.6,2183,581,대구 중구 동성로2길 87,22:30에 라스트오더,053-252-3555,,"2.28공원을 내려다보는 2,3층 건물, 벽돌과 나무로 된 실내가 아늑한 분위기를 주는 대구의 융드립 전문 로스터리 카페입니다

다양한 커피와 차 종류가 준비되어 있으며 시그니처 크레이프 케이크 등 다양한 디저트도 함께 즐기실 수 있습니다

* 홀케이크 예약 및 케이크 포장 가능합니다

* [ 커피 토크 ] 티크래스 대표의 커피 이론 토크 강연 신청 가능합니다 ( 상단 링크 참조 )

모든 문의는 매장 전화로 부탁드립니다",,"{'디저트가 맛있어요': 846, '커피가 맛있어요': 799, '음료가 맛있어요': 421, '친절해요': 369, '대화하기 좋아요': 310, '특별한 메뉴가 있어요': 284, '좌석이 편해요': 181, '인테리어가 멋져요': 142, '매장이 청결해요': 123, '집중하기 좋아요': 104, '뷰가 좋아요': 99, '화장실이 깨끗해요': 66, '가성비가 좋아요': 41, '사진이 잘 나와요': 40, '매장이 넓어요': 15, '차분한 분위기에요': 8, '주차하기 편해요': 8, '비싼 만큼 가치있어요': 6, '아늑해요': 5, '오래 머무르기 좋아요': 4, '빵이 맛있어요': 2, '음악이 좋아요': 2, '차가 맛있어요': 2, '종류가 다양해요': 2, '혼밥하기 좋아요': 1, '메뉴 구성이 알차요': 1}",1406,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230504_297%2F1683195036438Dt7SB_PNG%2F%25BF%25EB%25B7%25AE%25C0%25DB%25C0%25BA.png"""
5,더기커피,"카페,디저트",4.72,701,684,대구 중구 중앙대로 376-20 1F,19:30에 라스트오더,0507-1312-4384,,"동성로 통신골목에 위치한 더기커피는
커피도 하나의 예술이며 바리스타는
한 명의 아티스트다 라는 슬로건을 가지고
커피 한 잔에 가치를 담아 정성스럽게
준비하고 있습니다.
저희 매장의 시그니처 음료는 라떼는 일반 우유를 사용하지 않고 원두 특성에 맞는 우유를 개발하여 블랜딩 된 우유를 사용하고 있습니다.
커피와 함께하기 좋은 구움과자를 매일 아침 당일 생산하고 있습니다.",,"{'커피가 맛있어요': 377, '디저트가 맛있어요': 201, '친절해요': 141, '음료가 맛있어요': 100, '특별한 메뉴가 있어요': 75, '인테리어가 멋져요': 58, '매장이 청결해요': 49, '아늑해요': 48, '가성비가 좋아요': 47, '대화하기 좋아요': 47, '차분한 분위기에요': 42, '음악이 좋아요': 21, '포장이 깔끔해요': 15, '사진이 잘 나와요': 12, '선물하기 좋아요': 5, '좌석이 편해요': 2, '특별한 날 가기 좋아요': 2, '음식이 빨리 나와요': 1, '음식이 맛있어요': 1, '주차하기 편해요': 1, '집중하기 좋아요': 1, '화장실이 깨끗해요': 1, '종류가 다양해요': 1, '뷰가 좋아요': 1}",487,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220307_67%2F1646655468242RBkBK_JPEG%2FD40B6C33-3F91-4F48-8EC9-A2FAD3D99B12.jpeg"""
6,마마다이닝,"카페,디저트",4.84,4444,2381,대구 중구 동성로2길 21-5 마마다이닝,연중무휴,0507-1374-2778,,"안녕하세요!
동성로 빙수 맛집 마마다이닝 카페 입니다.

저희 카페에서는 과일을 직접 끓여 수제로 만들어 믿고 드실 수 있습니다.
또한, 프리미엄 원두와 신선한 과일들로 직접 맛있는 빙수를 만드는 수제 디저트 카페입니다.

!!배달의 민족이나 네이버 플레이스를 통한 주문 및 배달 가능!!

대구푸딩빙수맛집 대구빙수맛집 동성로빙수맛집",,"{'디저트가 맛있어요': 1870, '인테리어가 멋져요': 1434, '사진이 잘 나와요': 1280, '음료가 맛있어요': 1237, '친절해요': 1161, '특별한 메뉴가 있어요': 908, '커피가 맛있어요': 733, '매장이 청결해요': 591, '대화하기 좋아요': 404, '좌석이 편해요': 361, '가성비가 좋아요': 301, '뷰가 좋아요': 290, '주차하기 편해요': 103, '화장실이 깨끗해요': 88, '집중하기 좋아요': 62, '매장이 넓어요': 20, '음식이 맛있어요': 12, '양이 많아요': 12, '컨셉이 독특해요': 8, '메뉴 구성이 알차요': 7, '음악이 좋아요': 6, '종류가 다양해요': 6, '비싼 만큼 가치있어요': 5, '재료가 신선해요': 4, '오래 머무르기 좋아요': 4, '단체모임 하기 좋아요': 3, '특별한 날 가기 좋아요': 2, '차분한 분위기에요': 1, '빵이 맛있어요': 1, '아늑해요': 1, '음식이 빨리 나와요': 1, '선물하기 좋아요': 1, '아이와 가기 좋아요': 1, '파티하기 좋아요': 1, '건강한 맛이에요': 1}",2917,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230227_27%2F1677484703928Rnasb_PNG%2F%25C7%25AA%25B5%25F9_%25BA%25F9%25BC%25F6_1_%25BA%25B8%25C1%25A4.png"""
7,카페 루시드,카페,4.67,1429,1398,대구 중구 동성로4길 94,20:10에 라스트오더,053-422-7020,,"프리미엄 디저트를 표방하는 루시드는 르 꼬르동블루를 수료한 오너쉐프 카페로 좋은 재료는 물론이고 좋은 맛을 위한 노력을 아끼지 않고 운영하고 있는 10년이상 대구 대표 디저트 카페입니다.
대구 최초 프리미엄 빙수를 만들어 빙수 판도를 바꾼 매장답게 여름철에는 빙수가 유명하며, 자체 개발 레시피로 선보이는 매 시즌 음료와 디저트는 계절마다 꼭 드셔 보셔야 할 필수템입니다.",,"{'디저트가 맛있어요': 638, '특별한 메뉴가 있어요': 479, '친절해요': 164, '매장이 청결해요': 156, '커피가 맛있어요': 138, '음료가 맛있어요': 123, '대화하기 좋아요': 101, '인테리어가 멋져요': 98, '좌석이 편해요': 74, '사진이 잘 나와요': 68, '화장실이 깨끗해요': 49, '가성비가 좋아요': 24, '뷰가 좋아요': 11, '매장이 넓어요': 8, '집중하기 좋아요': 7, '음식이 맛있어요': 5, '양이 많아요': 3, '주차하기 편해요': 2, '비싼 만큼 가치있어요': 2, '아늑해요': 1, '혼밥하기 좋아요': 1, '음식이 빨리 나와요': 1, '메뉴 구성이 알차요': 1, '룸이 잘 되어있어요': 1}",994,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230923_119%2F1695479513812wUXAs_JPEG%2Ftemp_file.jpg"""
8,코즈,"카페,디저트",0.0,510,645,대구 중구 달구벌대로 2125-8 COZ,22:00에 영업 종료,0507-1471-7118,,"안녕하세요.

통신골목에 위치한 아늑한 카페 코즈입니다.
당일 아침 반죽을 통해 맛있는 스콘을 만들고 있습니다.
추후 다양한 디저트와 맛있는 커피를 제공할 수 있도록
노력하겠습니다.",,"{'커피가 맛있어요': 151, '디저트가 맛있어요': 147, '친절해요': 102, '음료가 맛있어요': 101, '인테리어가 멋져요': 81, '특별한 메뉴가 있어요': 53, '대화하기 좋아요': 51, '사진이 잘 나와요': 45, '매장이 청결해요': 41, '가성비가 좋아요': 16, '좌석이 편해요': 11, '뷰가 좋아요': 9, '집중하기 좋아요': 8, '화장실이 깨끗해요': 5, '주차하기 편해요': 2, '빵이 맛있어요': 1, '아늑해요': 1}",328,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231031_10%2F1698731408548HNcs6_JPEG%2FKakaoTalk_20231031_144928544.jpg"""
9,넌테이블,"카페,디저트",4.67,607,928,대구 중구 경상감영길 62 1층 넌테이블,20:00에 영업 종료,0507-1314-1327,,"테이블이 없는 형태의 공간을 재해석하고, 그 속에서 보여주는 미니멀함과 신선한 커피를 제공하는 브랜드입니다.

고품질의 스페셜티커피를 지향하고 OEM로스팅을 통해 자사브랜드만의 블랜딩원두를 생산합니다. 그 밖의 원두납품과 컨설팅을 같이 병행하는 커피전문점입니다.",,"{'커피가 맛있어요': 288, '친절해요': 129, '사진이 잘 나와요': 106, '음료가 맛있어요': 84, '인테리어가 멋져요': 84, '가성비가 좋아요': 73, '뷰가 좋아요': 73, '디저트가 맛있어요': 72, '매장이 청결해요': 51, '특별한 메뉴가 있어요': 47, '대화하기 좋아요': 23, '주차하기 편해요': 4, '집중하기 좋아요': 3, '좌석이 편해요': 2, '컨셉이 독특해요': 2, '음식이 빨리 나와요': 2, '아늑해요': 1, '음악이 좋아요': 1, '특별한 날 가기 좋아요': 1, '화장실이 깨끗해요': 1}",364,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231020_29%2F16977654672544hw6d_JPEG%2FIMG_0163.jpeg"""
