,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,샌드위듀,"카페,디저트",4.85,142,120,대구 수성구 들안로28길 24-40 1층,10:00에 영업 시작,0507-1473-0225,,,,"{'음식이 맛있어요': 32, '친절해요': 30, '재료가 신선해요': 23, '매장이 청결해요': 20, '가성비가 좋아요': 16, '특별한 메뉴가 있어요': 15, '양이 많아요': 9, '커피가 맛있어요': 8, '음료가 맛있어요': 8, '디저트가 맛있어요': 7, '인테리어가 멋져요': 6, '혼밥하기 좋아요': 5, '좌석이 편해요': 2, '포장이 깔끔해요': 1, '대화하기 좋아요': 1, '건강한 맛이에요': 1}",68,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221031_153%2F1667216909707z5x5L_JPEG%2FKakaoTalk_20211004_190508489_09.jpg"""
1,읍천리382 두산점,카페,4.65,335,112,대구 수성구 청수로24길 64 1층 읍천리382,09:00에 영업 시작,0507-0288-7574,,,,"{'음료가 맛있어요': 155, '디저트가 맛있어요': 143, '커피가 맛있어요': 104, '인테리어가 멋져요': 73, '매장이 청결해요': 72, '특별한 메뉴가 있어요': 69, '가성비가 좋아요': 58, '친절해요': 57, '대화하기 좋아요': 46, '좌석이 편해요': 25, '사진이 잘 나와요': 24, '화장실이 깨끗해요': 15, '주차하기 편해요': 14, '뷰가 좋아요': 11, '집중하기 좋아요': 10, '건강한 맛이에요': 2, '음식이 맛있어요': 1, '메뉴 구성이 알차요': 1, '오래 머무르기 좋아요': 1, '종류가 다양해요': 1}",290,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_69%2F1625724000166iaOR3_JPEG%2Fm6UFFMq0jNUdwXiU4NYi_lKW.jpeg.jpg"""
2,디저트39 대구수성못점,카페,0.0,111,47,대구 수성구 수성못길 18 디저트39 대구수성못점,12:00에 영업 시작,053-768-3999,,,,"{'디저트가 맛있어요': 87, '음료가 맛있어요': 68, '커피가 맛있어요': 53, '인테리어가 멋져요': 44, '뷰가 좋아요': 35, '친절해요': 34, '특별한 메뉴가 있어요': 26, '가성비가 좋아요': 25, '사진이 잘 나와요': 24, '매장이 청결해요': 21, '대화하기 좋아요': 14, '좌석이 편해요': 8, '집중하기 좋아요': 5, '화장실이 깨끗해요': 4, '음식이 맛있어요': 1}",111,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230918_152%2F16950239637896cGJN_JPEG%2FKakaoTalk_20230918_115221630_11.jpg"""
3,목련양과,"카페,디저트",4.7,430,567,대구 수성구 들안로8길 29 1층,11:00에 영업 시작,070-8825-2022,,,,"{'디저트가 맛있어요': 204, '특별한 메뉴가 있어요': 166, '친절해요': 94, '음료가 맛있어요': 82, '인테리어가 멋져요': 81, '커피가 맛있어요': 74, '사진이 잘 나와요': 59, '매장이 청결해요': 55, '대화하기 좋아요': 32, '좌석이 편해요': 11, '가성비가 좋아요': 9, '화장실이 깨끗해요': 9, '뷰가 좋아요': 9, '집중하기 좋아요': 8, '차분한 분위기에요': 3, '아늑해요': 3, '비싼 만큼 가치있어요': 3, '메뉴 구성이 알차요': 2, '주차하기 편해요': 2, '컨셉이 독특해요': 1, '재료가 신선해요': 1}",307,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221213_91%2F16709082490365x6p2_JPEG%2FBAB02C12-E12E-4D41-99EC-B0B089629679.jpeg"""
4,포켓,"카페,디저트",0.0,1228,861,대구 수성구 수성못길 20,08:00에 영업 시작,070-7766-9929,,,,"{'뷰가 좋아요': 307, '커피가 맛있어요': 288, '디저트가 맛있어요': 280, '음료가 맛있어요': 150, '친절해요': 113, '인테리어가 멋져요': 112, '매장이 청결해요': 107, '사진이 잘 나와요': 93, '대화하기 좋아요': 88, '특별한 메뉴가 있어요': 48, '좌석이 편해요': 40, '주차하기 편해요': 33, '가성비가 좋아요': 18, '화장실이 깨끗해요': 13, '집중하기 좋아요': 8, '음식이 맛있어요': 1, '야외 공간이 멋져요': 1}",729,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200126_153%2F1580036750306xgGo0_JPEG%2FUcC17iwYtczentm3ih0Rszhn.jpeg.jpg"""
5,데우스커피,"카페,디저트",4.64,1147,1128,대구 수성구 동대구로14길 15-6 2층,11:00에 영업 시작,0507-1434-2222,,,,"{'커피가 맛있어요': 433, '디저트가 맛있어요': 205, '음료가 맛있어요': 146, '특별한 메뉴가 있어요': 123, '친절해요': 96, '대화하기 좋아요': 91, '매장이 청결해요': 89, '인테리어가 멋져요': 83, '사진이 잘 나와요': 45, '좌석이 편해요': 36, '주차하기 편해요': 31, '화장실이 깨끗해요': 23, '가성비가 좋아요': 21, '집중하기 좋아요': 14, '뷰가 좋아요': 14, '아늑해요': 2, '매장이 넓어요': 2, '차분한 분위기에요': 1, '비싼 만큼 가치있어요': 1}",634,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181015_288%2F1539593051823IUwfw_JPEG%2FS6ZqSCKQMeHlOcAKSg4L8hRO.jpeg.jpg"""
6,브마롱베이커리,"카페,디저트",4.58,236,367,대구 수성구 동대구로14길 29 1층 브마롱,11:40에 영업 시작,0507-1477-5101,,,,"{'친절해요': 114, '디저트가 맛있어요': 83, '특별한 메뉴가 있어요': 83, '매장이 청결해요': 70, '빵이 맛있어요': 59, '인테리어가 멋져요': 56, '가성비가 좋아요': 38, '사진이 잘 나와요': 25, '음료가 맛있어요': 14, '커피가 맛있어요': 11, '대화하기 좋아요': 6, '주문제작을 잘해줘요': 4, '음식이 맛있어요': 4, '선물하기 좋아요': 4, '주차하기 편해요': 4, '뷰가 좋아요': 4, '좌석이 편해요': 2, '아늑해요': 2, '매장이 넓어요': 2, '음식이 빨리 나와요': 1, '아이와 가기 좋아요': 1, '메뉴 구성이 알차요': 1, '포장이 깔끔해요': 1, '반려동물과 가기 좋아요': 1, '비싼 만큼 가치있어요': 1, '특별한 날 가기 좋아요': 1, '집중하기 좋아요': 1, '종류가 다양해요': 1}",186,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231009_185%2F16968464300259kYpO_JPEG%2FIMG_6211.jpeg"""
7,팜테이블 수성못점,베이커리,4.46,1793,540,대구 수성구 용학로 115 2동,11/17 휴무,053-245-9111,,,,"{'빵이 맛있어요': 465, '특별한 메뉴가 있어요': 250, '커피가 맛있어요': 224, '음료가 맛있어요': 179, '인테리어가 멋져요': 143, '매장이 청결해요': 134, '대화하기 좋아요': 134, '친절해요': 120, '좌석이 편해요': 105, '주차하기 편해요': 87, '사진이 잘 나와요': 56, '뷰가 좋아요': 46, '화장실이 깨끗해요': 32, '가성비가 좋아요': 25, '집중하기 좋아요': 18, '디저트가 맛있어요': 8, '매장이 넓어요': 4, '음식이 맛있어요': 3, '재료가 신선해요': 1, '단체모임 하기 좋아요': 1}",875,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181031_145%2F1540997311897sRhqk_JPEG%2FxciGV83BDDFsy1H_DfoxcPZd.jpeg.jpg"""
8,아트플렉스 수성못,"카페,디저트",4.4,782,409,대구 수성구 용학로 92-4 수성스퀘어 1층 106호 아트플렉스,10:00에 영업 시작,0507-1441-8278,,,,"{'인테리어가 멋져요': 255, '커피가 맛있어요': 196, '디저트가 맛있어요': 181, '음료가 맛있어요': 113, '매장이 청결해요': 108, '사진이 잘 나와요': 107, '뷰가 좋아요': 104, '대화하기 좋아요': 86, '좌석이 편해요': 80, '특별한 메뉴가 있어요': 62, '주차하기 편해요': 57, '친절해요': 56, '화장실이 깨끗해요': 27, '가성비가 좋아요': 14, '집중하기 좋아요': 10, '차분한 분위기에요': 4, '매장이 넓어요': 2, '컨셉이 독특해요': 1, '음악이 좋아요': 1, '단체모임 하기 좋아요': 1}",522,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200912_111%2F1599901315672Bm0fq_JPEG%2FkWkOhbnpkRN8hvZ-_TnMaBO7.jpg"""
9,폴 바셋 대구 수성못점,카페,0.0,210,114,대구 수성구 수성못길 28,09:00에 영업 시작,053-763-1970,,,,"{'커피가 맛있어요': 146, '뷰가 좋아요': 110, '디저트가 맛있어요': 56, '음료가 맛있어요': 56, '인테리어가 멋져요': 52, '사진이 잘 나와요': 29, '친절해요': 24, '특별한 메뉴가 있어요': 24, '대화하기 좋아요': 22, '매장이 청결해요': 19, '좌석이 편해요': 14, '집중하기 좋아요': 10, '주차하기 편해요': 8, '가성비가 좋아요': 4, '매장이 넓어요': 3, '화장실이 깨끗해요': 2, '차분한 분위기에요': 1, '야외 공간이 멋져요': 1}",202,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230523_279%2F1684816146811poO9g_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5.jpeg"""
