,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
0,마고노더니스_마고플레인태전점,"카페,디저트",0.0,2590,366,대구 북구 팔거천서로 35 태전동 1073-1번지,09:00에 영업 시작,0507-1365-5457,,,,"{'디저트가 맛있어요': 1581, '커피가 맛있어요': 1341, '인테리어가 멋져요': 1082, '음료가 맛있어요': 792, '매장이 청결해요': 719, '뷰가 좋아요': 587, '친절해요': 549, '주차하기 편해요': 504, '좌석이 편해요': 364, '특별한 메뉴가 있어요': 341, '대화하기 좋아요': 341, '사진이 잘 나와요': 333, '화장실이 깨끗해요': 318, '가성비가 좋아요': 150, '집중하기 좋아요': 92, '매장이 넓어요': 24, '빵이 맛있어요': 14, '종류가 다양해요': 6, '메뉴 구성이 알차요': 4, '오래 머무르기 좋아요': 4, '단체모임 하기 좋아요': 3, '음식이 맛있어요': 2, '아이와 가기 좋아요': 2, '룸이 잘 되어있어요': 2, '차분한 분위기에요': 1, '아늑해요': 1, '음식이 빨리 나와요': 1, '재료가 신선해요': 1, '선물하기 좋아요': 1, '야외 공간이 멋져요': 1, '비싼 만큼 가치있어요': 1, '특별한 날 가기 좋아요': 1, '건강한 맛이에요': 1, '차가 맛있어요': 1}",2575,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230111_140%2F1673423410796uwzES_JPEG%2FKakaoTalk_20230111_164925724.jpg"""
1,달다구니 칠곡베이스볼점,"카페,디저트",0.0,47,11,대구 북구 구암로 59 제1동 111호,11:00에 영업 시작,0507-1487-5015,,,,"{'디저트가 맛있어요': 33, '커피가 맛있어요': 23, '친절해요': 23, '인테리어가 멋져요': 19, '특별한 메뉴가 있어요': 18, '매장이 청결해요': 18, '음료가 맛있어요': 13, '주차하기 편해요': 6, '사진이 잘 나와요': 4, '재료가 신선해요': 2, '가성비가 좋아요': 2, '빵이 맛있어요': 1, '좌석이 편해요': 1, '컨셉이 독특해요': 1, '아늑해요': 1, '음식이 맛있어요': 1, '양이 많아요': 1, '비싼 만큼 가치있어요': 1, '대화하기 좋아요': 1, '종류가 다양해요': 1}",47,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230915_168%2F16947644996882IFuG_JPEG%2FKakaoTalk_20230915_140623944.jpg"""
2,행복한입,"카페,디저트",0.0,162,139,대구 북구 칠곡중앙대로71길 9 1층,12:30에 영업 시작,,,,,"{'디저트가 맛있어요': 98, '커피가 맛있어요': 77, '친절해요': 69, '인테리어가 멋져요': 67, '특별한 메뉴가 있어요': 45, '사진이 잘 나와요': 44, '음료가 맛있어요': 43, '매장이 청결해요': 28, '대화하기 좋아요': 10, '가성비가 좋아요': 5, '주차하기 편해요': 4, '화장실이 깨끗해요': 4, '좌석이 편해요': 3, '집중하기 좋아요': 2}",159,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221128_65%2F16696306174513WPvd_JPEG%2FD5C62C5F-3DDC-4055-8C82-7E527F1CE134.jpeg"""
3,버디앤케이크,케이크전문,0.0,54,48,대구 북구 대천로 13 버디앤케이크(buddyncake),10:00에 영업 시작,0507-1360-3728,,,,"{'디저트가 맛있어요': 46, '친절해요': 39, '선물하기 좋아요': 38, '특별한 메뉴가 있어요': 24, '매장이 청결해요': 23, '가성비가 좋아요': 16, '사진이 잘 나와요': 7, '주차하기 편해요': 6, '인테리어가 멋져요': 5, '주문제작을 잘해줘요': 3, '음료가 맛있어요': 3, '커피가 맛있어요': 2, '비싼 만큼 가치있어요': 1, '특별한 날 가기 좋아요': 1}",54,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230516_30%2F1684227766880Qpzz3_JPEG%2FKakaoTalk_20230516_175907270_06.jpg"""
4,꼬모맨션 칠곡점,"카페,디저트",0.0,876,289,대구 북구 팔거천동로4길 2 1층,10:00에 영업 시작,0507-1371-6685,,,,"{'디저트가 맛있어요': 553, '친절해요': 362, '커피가 맛있어요': 352, '인테리어가 멋져요': 351, '매장이 청결해요': 296, '음료가 맛있어요': 269, '사진이 잘 나와요': 183, '특별한 메뉴가 있어요': 147, '대화하기 좋아요': 114, '화장실이 깨끗해요': 50, '좌석이 편해요': 47, '가성비가 좋아요': 46, '뷰가 좋아요': 27, '주차하기 편해요': 16, '집중하기 좋아요': 15, '반려동물과 가기 좋아요': 5, '종류가 다양해요': 3, '음악이 좋아요': 2, '빵이 맛있어요': 1, '혼밥하기 좋아요': 1, '음식이 맛있어요': 1, '재료가 신선해요': 1, '메뉴 구성이 알차요': 1, '건강한 맛이에요': 1}",787,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230814_237%2F1692012227411wlnLy_JPEG%2FIMG_1119.jpeg"""
5,스타벅스 대구칠곡대로DT점,카페,4.61,5348,148,대구 북구 칠곡중앙대로 348-1,,1522-3232,,,,"{'커피가 맛있어요': 1343, '친절해요': 673, '음료가 맛있어요': 629, '디저트가 맛있어요': 461, '매장이 청결해요': 320, '대화하기 좋아요': 270, '주차하기 편해요': 234, '좌석이 편해요': 174, '집중하기 좋아요': 173, '특별한 메뉴가 있어요': 149, '인테리어가 멋져요': 145, '화장실이 깨끗해요': 128, '가성비가 좋아요': 81, '뷰가 좋아요': 80, '사진이 잘 나와요': 77, '매장이 넓어요': 2, '음악이 좋아요': 1, '종류가 다양해요': 1}",2772,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
6,카페 얼바인2016,"카페,디저트",4.76,188,146,대구 북구 칠곡중앙대로63길 9-11,08:00에 영업 시작,070-7807-1664,,,,"{'커피가 맛있어요': 76, '디저트가 맛있어요': 64, '친절해요': 37, '음료가 맛있어요': 35, '매장이 청결해요': 22, '인테리어가 멋져요': 14, '가성비가 좋아요': 14, '특별한 메뉴가 있어요': 14, '대화하기 좋아요': 14, '사진이 잘 나와요': 6, '집중하기 좋아요': 5, '뷰가 좋아요': 5, '좌석이 편해요': 2, '아늑해요': 1, '화장실이 깨끗해요': 1}",117,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230612_33%2F1686532784486qwMrm_JPEG%2FAF7586D6-B35C-479B-B0F9-F97B57F12627.jpeg"""
7,토카커피,"카페,디저트",0.0,136,33,대구 북구 태암로 15 1층,10:30에 영업 시작,0507-1345-7038,,,,"{'커피가 맛있어요': 94, '디저트가 맛있어요': 87, '친절해요': 74, '음료가 맛있어요': 68, '인테리어가 멋져요': 66, '매장이 청결해요': 55, '가성비가 좋아요': 33, '사진이 잘 나와요': 24, '대화하기 좋아요': 24, '특별한 메뉴가 있어요': 16, '집중하기 좋아요': 14, '화장실이 깨끗해요': 13, '좌석이 편해요': 9, '컨셉이 독특해요': 1, '아이와 가기 좋아요': 1, '음악이 좋아요': 1, '야외 공간이 멋져요': 1, '주차하기 편해요': 1, '반려동물과 가기 좋아요': 1, '종류가 다양해요': 1}",136,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230423_174%2F1682179837642jQ61c_JPEG%2F%25C5%25E4%25C4%25AB.jpg"""
8,더하다커피,"카페,디저트",0.0,304,225,"대구 북구 태전로6길 17 1층,2층",10:00에 영업 시작,0507-1304-6297,,,,"{'커피가 맛있어요': 203, '인테리어가 멋져요': 120, '음료가 맛있어요': 117, '디저트가 맛있어요': 115, '친절해요': 106, '사진이 잘 나와요': 81, '매장이 청결해요': 76, '대화하기 좋아요': 70, '특별한 메뉴가 있어요': 48, '가성비가 좋아요': 45, '집중하기 좋아요': 43, '뷰가 좋아요': 26, '좌석이 편해요': 25, '화장실이 깨끗해요': 23, '주차하기 편해요': 4, '아늑해요': 1, '메뉴 구성이 알차요': 1}",301,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230329_88%2F1680058637833iLeXU_JPEG%2FKakaoTalk_20230210_165419955_15.jpg"""
9,할리스 대구관음점,카페,4.48,685,39,대구 북구 구암로 59,08:00에 영업 시작,053-324-6122,,,,"{'커피가 맛있어요': 233, '음료가 맛있어요': 100, '디저트가 맛있어요': 70, '대화하기 좋아요': 68, '친절해요': 55, '매장이 청결해요': 37, '주차하기 편해요': 30, '좌석이 편해요': 28, '가성비가 좋아요': 25, '집중하기 좋아요': 23, '특별한 메뉴가 있어요': 21, '인테리어가 멋져요': 16, '화장실이 깨끗해요': 15, '뷰가 좋아요': 12, '사진이 잘 나와요': 6}",439,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210302_125%2F161464487124061agC_JPEG%2FK15utTFWXeuNEny1JMXiV57W.jpg"""
